"","percent_sector","SupportSetting","DH_GEOGRAPHY_NAME","ActivityProvision","ITEMVALUE","year"
"1",28.2172373081464,"Residential","Barnsley","In House",12428,2001
"2",71.7827626918536,"Residential","Barnsley","External",31616,2001
"3",31.485801936041,"Residential","Birmingham","In House",48854,2001
"4",68.514198063959,"Residential","Birmingham","External",106308,2001
"5",32.1626617375231,"Residential","Bolton","In House",14268,2001
"6",67.8373382624769,"Residential","Bolton","External",30094,2001
"7",NA,"Residential","Bradford","In House",NA,2001
"8",NA,"Residential","Bradford","External",NA,2001
"9",39.1935483870968,"Residential","Bury","In House",12636,2001
"10",60.8064516129032,"Residential","Bury","External",19604,2001
"11",33.8983559342374,"Residential","Calderdale","In House",11299,2001
"12",66.1016440657626,"Residential","Calderdale","External",22033,2001
"13",NA,"Residential","Coventry","In House",NA,2001
"14",NA,"Residential","Coventry","External",NA,2001
"15",24.3125599232982,"Residential","Doncaster","In House",12679,2001
"16",75.6874400767018,"Residential","Doncaster","External",39471,2001
"17",28.3068783068783,"Residential","Dudley","In House",11128,2001
"18",71.6931216931217,"Residential","Dudley","External",28184,2001
"19",32.0512935138784,"Residential","Gateshead","In House",14339.3,2001
"20",67.9487064861216,"Residential","Gateshead","External",30399.3,2001
"21",38.0001262148176,"Residential","Kirklees","In House",24086,2001
"22",61.9998737851824,"Residential","Kirklees","External",39298,2001
"23",NA,"Residential","Knowsley","In House",NA,2001
"24",NA,"Residential","Knowsley","External",18669,2001
"25",39.3882012861677,"Residential","Leeds","In House",43058,2001
"26",60.6117987138323,"Residential","Leeds","External",66259,2001
"27",16.1410329456715,"Residential","Liverpool","In House",14448,2001
"28",83.8589670543285,"Residential","Liverpool","External",75063,2001
"29",2.2834116856951,"Residential","Manchester","In House",1768,2001
"30",97.7165883143049,"Residential","Manchester","External",75660,2001
"31",9.77255204317656,"Residential","Newcastle%20upon%20Tyne","In House",5070,2001
"32",90.2274479568234,"Residential","Newcastle%20upon%20Tyne","External",46810,2001
"33",NA,"Residential","North%20Tyneside","In House",NA,2001
"34",NA,"Residential","North%20Tyneside","External",NA,2001
"35",21.266705403835,"Residential","Oldham","In House",9516,2001
"36",78.733294596165,"Residential","Oldham","External",35230,2001
"37",24.6129180027485,"Residential","Rochdale","In House",10746,2001
"38",75.3870819972515,"Residential","Rochdale","External",32914,2001
"39",30.2762430939227,"Residential","Rotherham","In House",14248,2001
"40",69.7237569060774,"Residential","Rotherham","External",32812,2001
"41",28.8820395192698,"Residential","Salford","In House",12088,2001
"42",71.1179604807302,"Residential","Salford","External",29765,2001
"43",35.7509994288978,"Residential","Sandwell","In House",16276,2001
"44",64.2490005711022,"Residential","Sandwell","External",29250,2001
"45",18.1362429961663,"Residential","Sefton","In House",8610,2001
"46",81.8637570038337,"Residential","Sefton","External",38864,2001
"47",27.0214414879876,"Residential","Sheffield","In House",27196,2001
"48",72.9785585120124,"Residential","Sheffield","External",73450,2001
"49",35.265069814962,"Residential","Solihull","In House",6213,2001
"50",64.734930185038,"Residential","Solihull","External",11405,2001
"51",31.0463898559339,"Residential","South%20Tyneside","In House",10969,2001
"52",68.9536101440661,"Residential","South%20Tyneside","External",24362,2001
"53",41.6257769054629,"Residential","St.%20Helens","In House",10180,2001
"54",58.3742230945371,"Residential","St.%20Helens","External",14276,2001
"55",0,"Residential","Stockport","In House",0,2001
"56",100,"Residential","Stockport","External",50493,2001
"57",15.6465454309492,"Residential","Sunderland","In House",9645,2001
"58",84.3534545690508,"Residential","Sunderland","External",51998,2001
"59",NA,"Residential","Tameside","In House",NA,2001
"60",NA,"Residential","Tameside","External",34118,2001
"61",50.0741839762611,"Residential","Trafford","In House",17550,2001
"62",49.9258160237389,"Residential","Trafford","External",17498,2001
"63",23.2430310168826,"Residential","Wakefield","In House",15392,2001
"64",76.7569689831174,"Residential","Wakefield","External",50830,2001
"65",42.2314694408322,"Residential","Walsall","In House",16238,2001
"66",57.7685305591678,"Residential","Walsall","External",22212,2001
"67",3.39995098366865,"Residential","Wigan","In House",1526,2001
"68",96.6000490163313,"Residential","Wigan","External",43357,2001
"69",13.895999598454,"Residential","Wirral","In House",5537,2001
"70",86.104000401546,"Residential","Wirral","External",34309,2001
"71",26.1649830723074,"Residential","Wolverhampton","In House",9506,2001
"72",73.8350169276926,"Residential","Wolverhampton","External",26825,2001
"73",24.9862648602523,"Residential","TOTAL%20Metropolitan%20Districts","In House",427500,2001
"74",75.0137351397477,"Residential","TOTAL%20Metropolitan%20Districts","External",1283440,2001
"75",0,"Residential","Bedfordshire","In House",0,2001
"76",100,"Residential","Bedfordshire","External",48152,2001
"77",22.0140829328266,"Residential","Buckinghamshire","In House",9848,2001
"78",77.9859170671733,"Residential","Buckinghamshire","External",34887,2001
"79",41.9858156028369,"Residential","Cambridgeshire","In House",30784,2001
"80",58.0141843971631,"Residential","Cambridgeshire","External",42536,2001
"81",16.3895630335301,"Residential","Cheshire","In House",13574,2001
"82",83.6104369664699,"Residential","Cheshire","External",69247,2001
"83",0,"Residential","Cornwall","In House",0,2001
"84",100,"Residential","Cornwall","External",74423,2001
"85",40.5409740988907,"Residential","Cumbria","In House",32854,2001
"86",59.4590259011093,"Residential","Cumbria","External",48185,2001
"87",40.4487800115531,"Residential","Derbyshire","In House",49716,2001
"88",59.5512199884469,"Residential","Derbyshire","External",73195,2001
"89",20.63298348385,"Residential","Devon","In House",32968,2001
"90",79.36701651615,"Residential","Devon","External",126815,2001
"91",28.3886630315408,"Residential","Dorset","In House",14734,2001
"92",71.6113369684592,"Residential","Dorset","External",37167,2001
"93",38.2608851492424,"Residential","Durham","In House",42698,2001
"94",61.7391148507576,"Residential","Durham","External",68899,2001
"95",18.9245359160613,"Residential","East%20Sussex","In House",9379,2001
"96",81.0754640839387,"Residential","East%20Sussex","External",40181,2001
"97",21.0770707321789,"Residential","Essex","In House",61051,2001
"98",78.9229292678211,"Residential","Essex","External",228605,2001
"99",2.87520672546858,"Residential","Gloucestershire","In House",1669,2001
"100",97.1247932745314,"Residential","Gloucestershire","External",56379,2001
"101",33.3941955148499,"Residential","Hampshire","In House",45358,2001
"102",66.6058044851501,"Residential","Hampshire","External",90468,2001
"103",NA,"Residential","Hertfordshire","In House",NA,2001
"104",NA,"Residential","Hertfordshire","External",158308,2001
"105",NA,"Residential","Isles%20of%20Scilly","In House",NA,2001
"106",NA,"Residential","Isles%20of%20Scilly","External",NA,2001
"107",NA,"Residential","Kent","In House",0,2001
"108",NA,"Residential","Kent","External",0,2001
"109",24.9048286107601,"Residential","Lancashire","In House",61692,2001
"110",75.0951713892399,"Residential","Lancashire","External",186019,2001
"111",28.9974985568597,"Residential","Leicestershire","In House",24112,2001
"112",71.0025014431403,"Residential","Leicestershire","External",59040,2001
"113",15.6054588655098,"Residential","Lincolnshire","In House",18193,2001
"114",84.3945411344902,"Residential","Lincolnshire","External",98388,2001
"115",29.4965084404367,"Residential","Norfolk","In House",44225,2001
"116",70.5034915595633,"Residential","Norfolk","External",105708,2001
"117",45.5353354105794,"Residential","North%20Yorkshire","In House",37558,2001
"118",54.4646645894206,"Residential","North%20Yorkshire","External",44923,2001
"119",41.9479744826261,"Residential","Northamptonshire","In House",41492,2001
"120",58.0520255173738,"Residential","Northamptonshire","External",57421,2001
"121",22.5905277103113,"Residential","Northumberland","In House",16370,2001
"122",77.4094722896887,"Residential","Northumberland","External",56094,2001
