"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"1","C1","assessment_care_management","BARNSLEY","In House","2368.44754690552",2001,100
"2","C1","assessment_care_management","BARNSLEY","External","0",2001,0
"3","C1","assessment_care_management","BARNSLEY","Total","2368.44754690552",2001,100
"4","C1","assessment_care_management","BIRMINGHAM","In House","7875.86940305041",2001,100
"5","C1","assessment_care_management","BIRMINGHAM","External","0",2001,0
"6","C1","assessment_care_management","BIRMINGHAM","Total","7875.86940305041",2001,100
"7","C1","assessment_care_management","BOLTON","In House","2461",2001,100
"8","C1","assessment_care_management","BOLTON","External","0",2001,0
"9","C1","assessment_care_management","BOLTON","Total","2461",2001,100
"10","C1","assessment_care_management","BRADFORD","In House","5919.70154553049",2001,100
"11","C1","assessment_care_management","BRADFORD","External","0",2001,0
"12","C1","assessment_care_management","BRADFORD","Total","5919.70154553049",2001,100
"13","C1","assessment_care_management","BURY","In House","2263",2001,100
"14","C1","assessment_care_management","BURY","External","0",2001,0
"15","C1","assessment_care_management","BURY","Total","2263",2001,100
"16","C1","assessment_care_management","CALDERDALE","In House","1871.57047810478",2001,100
"17","C1","assessment_care_management","CALDERDALE","External","0",2001,0
"18","C1","assessment_care_management","CALDERDALE","Total","1871.57047810478",2001,100
"19","C1","assessment_care_management","COVENTRY","In House","3948.21925218003",2001,99.9999999999999
"20","C1","assessment_care_management","COVENTRY","External","0",2001,0
"21","C1","assessment_care_management","COVENTRY","Total","3948.21925218003",2001,100
"22","C1","assessment_care_management","DONCASTER","In House","3905.31542785759",2001,100
"23","C1","assessment_care_management","DONCASTER","External","0",2001,0
"24","C1","assessment_care_management","DONCASTER","Total","3905.31542785759",2001,100
"25","C1","assessment_care_management","DUDLEY","In House","4546",2001,100
"26","C1","assessment_care_management","DUDLEY","External","0",2001,0
"27","C1","assessment_care_management","DUDLEY","Total","4546",2001,100
"28","C1","assessment_care_management","GATESHEAD","In House","2688",2001,98.4615384615385
"29","C1","assessment_care_management","GATESHEAD","External","42",2001,1.53846153846154
"30","C1","assessment_care_management","GATESHEAD","Total","2730",2001,100
"31","C1","assessment_care_management","KIRKLEES","In House","5148",2001,99.1143627262226
"32","C1","assessment_care_management","KIRKLEES","External","46",2001,0.885637273777436
"33","C1","assessment_care_management","KIRKLEES","Total","5194",2001,100
"34","C1","assessment_care_management","KNOWSLEY","In House","1733.33952611515",2001,99.2211597043078
"35","C1","assessment_care_management","KNOWSLEY","External","13.6059150394682",2001,0.778840295692095
"36","C1","assessment_care_management","KNOWSLEY","Total","1746.94544115462",2001,100
"37","C1","assessment_care_management","LEEDS","In House","6721",2001,100
