"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"1","C2","Nursing home placements","BARNSLEY","In House",0,2001,0
"2","C2","Nursing home placements","BARNSLEY","External",2901,2001,100
"3","C2","Nursing home placements","BARNSLEY","Total",2901,2001,100
"4","C3","Residential care home placements","BARNSLEY","In House",6571.5715793301,2001,65.6528756225739
"5","C3","Residential care home placements","BARNSLEY","External",3438,2001,34.3471243774261
"6","C3","Residential care home placements","BARNSLEY","Total",10009.5715793301,2001,100
"7","C4","Supported and other accommodation","BARNSLEY","In House",0,2001,NA
"8","C4","Supported and other accommodation","BARNSLEY","External",0,2001,NA
"9","C4","Supported and other accommodation","BARNSLEY","Total",0,2001,NA
"10","C5","Direct payments","BARNSLEY","In House",0,2001,NA
"11","C5","Direct payments","BARNSLEY","External",0,2001,NA
"12","C5","Direct payments","BARNSLEY","Total",0,2001,NA
"13","C6","Home care","BARNSLEY","In House",5085.01604790362,2001,75.0000591735459
"14","C6","Home care","BARNSLEY","External",1695,2001,24.9999408264541
"15","C6","Home care","BARNSLEY","Total",6780.01604790362,2001,100
"16","C11","Total over 65","BARNSLEY","In House",15462.7230900639,2001,65.3491000262659
"17","C11","Total over 65","BARNSLEY","External",8199,2001,34.6508999737341
"18","C11","Total over 65","BARNSLEY","Total",23661.7230900639,2001,100
"19","D11","U65 PHYSICAL DISABILITY","BARNSLEY","In House",2107.71918674563,2001,69.6370907474863
"20","D11","U65 PHYSICAL DISABILITY","BARNSLEY","External",919,2001,30.3629092525138
"21","D11","U65 PHYSICAL DISABILITY","BARNSLEY","Total",3026.71918674563,2001,100
"22","E11","U65 LEARNING DISABILITY","BARNSLEY","In House",3153.98976881891,2001,53.1781353830761
"23","E11","U65 LEARNING DISABILITY","BARNSLEY","External",2777,2001,46.8218646169239
"24","E11","U65 LEARNING DISABILITY","BARNSLEY","Total",5930.98976881891,2001,100
"25","F11","U65 MENTAL HEALTH","BARNSLEY","In House",2159.35748574999,2001,81.320782506243
"26","F11","U65 MENTAL HEALTH","BARNSLEY","External",496,2001,18.6792174937571
"27","F11","U65 MENTAL HEALTH","BARNSLEY","Total",2655.35748574999,2001,100
"28","C2","Nursing home placements","BIRMINGHAM","In House",0,2001,0
"29","C2","Nursing home placements","BIRMINGHAM","External",32250.9810355998,2001,100
"30","C2","Nursing home placements","BIRMINGHAM","Total",32250.9810355998,2001,100
"31","C3","Residential care home placements","BIRMINGHAM","In House",24829.6086854501,2001,47.2357982435129
"32","C3","Residential care home placements","BIRMINGHAM","External",27735.6270229569,2001,52.7642017564872
"33","C3","Residential care home placements","BIRMINGHAM","Total",52565.235708407,2001,100
"34","C4","Supported and other accommodation","BIRMINGHAM","In House",364.001667046071,2001,100
"35","C4","Supported and other accommodation","BIRMINGHAM","External",0,2001,0
