"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Darlington,"1,060.47","1,051.66","1,139.05","1,012.10","1,033.94","1,061.01","1,084.53","1,205.59","1,090.68","1,104.99"
County Durham,"1,141.83","1,082.33","1,108.31","1,119.90","1,085.48","1,099.14","1,062.32","1,261.60","1,154.27","1,122.25"
Hartlepool,"1,099.16","1,123.68","1,235.57","1,129.77","1,185.05","1,142.89","1,131.71","1,307.06","1,173.44","1,131.33"
Middlesbrough,"1,190.90","1,305.46","1,287.93","1,274.05","1,302.73","1,219.98","1,186.93","1,396.73","1,309.75","1,210.74"
Northumberland,"1,020.37",988.25,"1,022.98","1,023.17",996.87,"1,011.63",964.00,"1,032.63","1,022.70",972.71
Redcar and Cleveland,"1,073.47","1,019.81","1,107.71","1,082.45","1,072.19","1,078.55","1,034.12","1,197.41","1,090.38","1,094.17"
Stockton-on-Tees,"1,039.40","1,063.10","1,114.18","1,116.80","1,070.94","1,110.74","1,040.74","1,203.35","1,050.70","1,070.67"
Gateshead,"1,123.87","1,117.24","1,151.17","1,141.65","1,116.28","1,106.93","1,031.35","1,236.47","1,123.86","1,105.16"
Newcastle upon Tyne,"1,026.65","1,126.61","1,177.33","1,105.75","1,064.74","1,094.85","1,057.38","1,224.01","1,075.30","1,069.91"
North Tyneside,"1,087.12","1,091.94","1,113.62","1,043.70","1,110.74","1,052.15","1,050.66","1,112.36","1,111.04","1,092.63"
South Tyneside,"1,111.26","1,085.43","1,155.49","1,128.51","1,129.60","1,220.01","1,085.67","1,293.35","1,123.58","1,140.02"
Sunderland,"1,208.71","1,178.87","1,207.23","1,152.83","1,157.56","1,140.03","1,153.06","1,308.35","1,217.09","1,149.42"
Blackburn with Darwen,"1,156.40","1,174.38","1,178.30","1,251.80","1,169.20","1,143.05","1,180.35","1,339.49","1,314.77","1,258.85"
Blackpool,"1,256.09","1,232.93","1,371.19","1,273.79","1,276.40","1,302.34","1,234.17","1,404.81","1,382.78","1,302.39"
Cheshire East,925.94,873.52,929.72,931.34,908.65,926.12,891.82,982.76,904.33,923.37
Cheshire West and Chester,965.46,952.06,974.49,999.39,955.57,937.39,930.44,"1,017.69",951.39,951.94
Halton,"1,235.09","1,179.87","1,201.01","1,194.06","1,118.80","1,176.38","1,064.88","1,250.40","1,130.46","1,196.97"
Warrington,"1,143.51","1,072.89","1,097.20","1,037.69","1,032.24","1,038.34","1,032.55","1,119.16","1,056.98","1,018.77"
Cumbria,995.31,954.00,989.86,982.01,982.50,950.25,936.87,"1,104.35","1,046.57","1,006.54"
Bolton,"1,114.72","1,068.77","1,125.75","1,093.85","1,068.59","1,085.80","1,056.71","1,239.51","1,170.30","1,159.33"
Bury,"1,110.82","1,076.92","1,161.92","1,095.05","1,107.91","1,016.78",988.33,"1,228.08","1,152.52","1,113.37"
Manchester,"1,271.99","1,310.55","1,316.70","1,289.84","1,267.36","1,209.43","1,202.21","1,518.11","1,353.93","1,272.87"
Oldham,"1,098.28","1,220.39","1,201.67","1,160.91","1,130.98","1,093.14","1,141.10","1,324.24","1,218.17","1,196.62"
Rochdale,"1,133.22","1,164.17","1,162.27","1,173.84","1,165.06","1,122.56","1,104.21","1,373.52","1,224.02","1,168.27"
Salford,"1,214.05","1,168.86","1,202.79","1,170.71","1,173.21","1,173.95","1,094.94","1,409.70","1,219.83","1,270.84"
Stockport,981.24,932.25,975.07,914.48,944.23,927.32,932.06,"1,039.39",934.43,988.24
Tameside,"1,235.27","1,134.33","1,225.22","1,160.36","1,198.55","1,276.00","1,174.99","1,393.97","1,214.01","1,206.29"
Trafford,967.88,907.65,948.35,921.80,958.37,878.57,921.68,"1,054.81",961.79,962.76
