"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,LC01b Accidental falls,,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Deaths,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Darlington,8,9,8,10,10,5,7,15,16,19
County Durham,51,46,60,48,64,61,44,90,61,98
Hartlepool,5,10,7,5,8,5,8,7,7,8
Middlesbrough,10,19,12,9,6,18,24,17,18,22
Northumberland,25,47,63,74,52,53,63,25,41,49
Redcar and Cleveland,6,16,12,9,12,10,27,26,17,24
Stockton-on-Tees,12,17,17,16,14,15,17,20,20,25
Gateshead,11,25,17,14,6,12,12,12,20,25
Newcastle upon Tyne,20,31,15,41,18,30,35,30,32,41
North Tyneside,40,50,36,39,35,46,59,32,39,34
South Tyneside,12,14,17,15,10,24,7,14,19,14
Sunderland,24,15,18,22,32,22,25,32,14,25
Blackburn with Darwen,18,13,12,16,15,20,19,13,6,20
Blackpool,8,16,18,16,6,15,16,17,16,18
Cheshire East,36,44,57,73,53,57,58,42,43,64
Cheshire West and Chester,32,55,53,65,57,52,54,37,42,62
Halton,8,7,14,14,16,5,10,13,14,24
Warrington,14,17,29,23,35,18,28,20,24,25
Cumbria,62,60,43,38,40,58,56,49,46,75
Bolton,37,35,26,51,31,28,31,24,43,47
Bury,21,20,25,29,28,25,34,27,30,26
Manchester,51,52,59,68,38,50,60,88,70,44
Oldham,12,29,28,23,24,24,32,23,37,49
Rochdale,17,30,27,27,27,34,31,24,42,34
Salford,37,28,30,32,26,34,31,30,45,29
Stockport,65,55,68,63,67,55,63,68,61,71
Tameside,46,49,43,56,33,43,38,35,31,71
Trafford,42,38,44,40,37,37,51,32,49,42
Wigan,30,42,33,29,48,42,47,27,44,47
Lancashire,109,113,126,95,123,144,119,147,144,158
Knowsley,16,10,14,10,21,14,18,20,29,28
Liverpool,69,66,83,60,74,74,67,52,84,110
Sefton,39,39,45,38,29,51,36,51,54,69
St. Helens,9,13,17,12,12,9,14,31,39,45
Wirral,36,70,61,60,56,70,69,51,73,98
East Riding of Yorkshire,19,22,27,23,19,15,24,21,29,77
"Kingston upon Hull, City of",7,14,14,17,21,18,20,8,19,34
North East Lincolnshire,8,5,9,9,6,12,9,6,5,10
North Lincolnshire,12,6,14,11,7,17,14,0,9,9
York,14,20,13,18,18,13,30,23,32,45
North Yorkshire,41,51,58,66,63,71,66,63,86,121
Barnsley,13,15,30,12,23,27,27,24,36,30
Doncaster,16,29,26,22,25,38,24,19,18,40
Rotherham,22,17,23,26,19,32,27,31,24,20
Sheffield,50,44,63,62,44,70,47,56,46,58
Bradford,44,30,40,27,21,50,42,39,35,53
Calderdale,21,18,18,17,13,24,20,13,24,25
Kirklees,27,24,28,31,17,29,32,28,45,51
Leeds,44,50,78,64,68,73,74,81,90,100
Wakefield,23,30,26,25,34,24,35,30,44,53
Derby,27,31,41,30,26,33,52,36,47,61
Leicester,29,27,48,28,27,26,28,46,38,45
Nottingham,9,10,13,12,8,14,14,14,34,41
Rutland,0,5,5,5,5,0,7,8,12,11
Derbyshire,82,107,109,125,127,143,159,152,140,172
Leicestershire,70,63,83,69,73,62,78,111,103,122
Lincolnshire,37,49,59,50,57,80,71,78,88,117
Nottinghamshire,32,34,46,45,45,54,48,69,91,100
North Northamptonshire,10,19,16,22,15,23,14,21,24,38
West Northamptonshire,17,19,13,22,33,25,14,26,43,50
"Herefordshire, County of",8,12,14,24,14,13,17,22,18,18
Shropshire,31,19,42,43,38,46,57,30,65,53
Stoke-on-Trent,55,30,45,44,48,59,33,37,50,36
Telford and Wrekin,10,9,13,13,13,23,12,15,12,20
Staffordshire,135,115,171,136,134,189,162,183,172,155
Warwickshire,42,43,91,86,98,91,94,85,98,100
Birmingham,113,130,103,98,132,137,131,120,133,135
Coventry,32,40,37,38,58,38,41,41,31,50
Dudley,21,28,68,55,70,50,64,75,57,79
Sandwell,18,26,46,45,41,40,42,48,41,48
Solihull,26,20,20,24,39,27,33,32,40,51
Walsall,30,22,42,42,52,48,60,49,37,55
Wolverhampton,22,29,55,34,38,33,38,39,30,36
Worcestershire,41,62,82,108,126,117,87,75,111,107
Bedford,5,10,14,19,20,14,12,12,9,8
Central Bedfordshire,17,5,26,22,29,25,13,15,13,21
Luton,5,14,18,14,7,14,5,5,0,14
