"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bath and North East Somerset UA","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","44.986141103791375","0","44.986141103791375","0","44.986141103791375","44.986141103791375","0","0","0","0","44.986141103791375","44.986141103791375",NA,"44.986141103791375"
"A2","Registration and inspection","381.24000218680806","1","380.24000218680806","0","381.24000218680806","380.24000218680806","67","0","0","67","313.24000218680806","314.24000218680806",NA,"380.24000218680806"
"A3","Complaints procedures","35.346253724407511","0","35.346253724407511","0","35.346253724407511","35.346253724407511","0","0","0","0","35.346253724407511","35.346253724407511",NA,"35.346253724407511"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","461.57239701500697","1","460.57239701500697","0","461.57239701500697","460.57239701500697","67","0","0","67","393.57239701500697","394.57239701500697",NA,"460.57239701500697"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","1858.2849684279583","1","1857.2849684279583","33.204056528988872","1891.4890249569471","1890.4890249569471","0","0","37","37","1853.4890249569471","1854.4890249569471",NA,"1853.4890249569471"
"BA2","GALRO","7.4976901839652301","0","7.4976901839652301","98.541070989257307","106.03876117322254","106.03876117322254","0","0","0","0","106.03876117322254","106.03876117322254",NA,"106.03876117322254"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","1865.7826586119236","1","1864.7826586119236","131.74512751824619","1997.5277861301697","1996.5277861301697","0","0","37","37","1959.5277861301697","1960.5277861301697",NA,"1959.5277861301697"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","0","0","592.31752453325316","592.31752453325316","592.31752453325316","0","0","0","0","592.31752453325316","592.31752453325316",NA,"592.31752453325316"
"BB2","Secure accommodation (welfare)","0","0","0","145.66940928846731","145.66940928846731","145.66940928846731","0","0","0","0","145.66940928846731","145.66940928846731",NA,"145.66940928846731"
"BB3","Fostering services","1382.7171910450209","1","1381.7171910450209","296.69431156548126","1679.4115026105021","1678.4115026105021","0","0","0","0","1678.4115026105021","1679.4115026105021",NA,"1678.4115026105021"
"BB4","Other children looked after services","138.53183172511822","10","128.53183172511822","52.483831287756608","191.01566301287482","181.01566301287482","0","0","1","1","180.01566301287482","190.01566301287482",NA,"180.01566301287482"
"BB5","Total children looked after (lines BB1 to BB4)","1521.2490227701392","11","1510.2490227701392","1087.1650766749583","2608.4140994450972","2597.4140994450972","0","0","1","1","2596.4140994450972","2607.4140994450972",NA,"2596.4140994450972"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","383.38681901429624","16","367.38681901429624","74.976901839652299","458.36372085394851","442.36372085394851","0","0","0","0","442.36372085394851","458.36372085394851",NA,"442.36372085394851"
"BC2","Services for under 8s","816.41814504004594","87","729.41814504004594","14.99538036793046","831.41352540797641","744.41352540797641","2","0","0","2","742.41352540797641","829.41352540797641",NA,"744.41352540797641"
"BC3","Home care","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","343.82264986469124","0","343.82264986469124","116.74974715031573","460.57239701500697","460.57239701500697","0","0","0","0","460.57239701500697","460.57239701500697",NA,"460.57239701500697"
"BC6","Total family support services (lines BC1 to BC5)","1543.6276139190336","103","1440.6276139190336","206.72202935789849","1750.3496432769321","1647.3496432769321","2","0","0","2","1645.3496432769321","1748.3496432769321",NA,"1647.3496432769321"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD2","Youth offender teams","146.74050788617663","0","146.74050788617663","0","146.74050788617663","146.74050788617663","0","0","0","0","146.74050788617663","146.74050788617663",NA,"146.74050788617663"
"BD3","Other youth justice services","43.91504250608206","0","43.91504250608206","97.469972391547984","141.38501489763004","141.38501489763004","0","0","0","0","141.38501489763004","141.38501489763004",NA,"141.38501489763004"
"BD4","Total youth justice (lines BD1 to BD3)","190.6555503922587","0","190.6555503922587","97.469972391547984","288.12552278380667","288.12552278380667","0","0","0","0","288.12552278380667","288.12552278380667",NA,"288.12552278380667"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","116.74974715031573","0","116.74974715031573","0","116.74974715031573","116.74974715031573","4","0","65","69","47.749747150315727","47.749747150315727",NA,"51.749747150315727"
"BE2","Leaving care services","62.123718667140473","0","62.123718667140473","0","62.123718667140473","62.123718667140473","0","0","0","0","62.123718667140473","62.123718667140473",NA,"62.123718667140473"
"BE3","Other other children's and families services","36.417352322116827","0","36.417352322116827","107.10985977093185","143.52721209304866","143.52721209304866","0","0","0","0","143.52721209304866","143.52721209304866",NA,"143.52721209304866"
"BE4","Total other children's and families services (lines BE1 to BE3)","215.29081813957305","0","215.29081813957305","107.10985977093185","322.4006779105049","322.4006779105049","4","0","65","69","253.4006779105049","253.4006779105049",NA,"257.4006779105049"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","5336.6056638329292","115","5221.6056638329292","1630.2120657135829","6966.8177295465121","6851.8177295465121","6","0","103","109","6742.8177295465121","6857.8177295465121",NA,"6748.8177295465121"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","1539.4576989311975","11","1528.4576989311975","164.94918404723506","1704.4068829784326","1693.4068829784326","0","0","0","0","1693.4068829784326","1704.4068829784326",NA,"1693.4068829784326"
"C2","Nursing home placements","0","0","0","6318.4106278872696","6318.4106278872696","6318.4106278872696","2286","0","0","2286","4032.4106278872696","4032.4106278872696",NA,"6318.4106278872696"
"C3","Residential care home placements","4351.4498264221083","247","4104.4498264221083","3049.4177076784299","7400.8675341005383","7153.8675341005383","2540","0","0","2540","4613.8675341005383","4860.8675341005383",NA,"7153.8675341005383"
"C4","Supported and other accommodation","289.05442418609738","2","287.05442418609738","4.2843943908372744","293.33881857693467","291.33881857693467","13","0","0","13","278.33881857693467","280.33881857693467",NA,"291.33881857693467"
"C5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C6","Home care","2937.9569745510207","16","2921.9569745510207","883.65634311018778","3821.6133176612084","3805.6133176612084","629","0","0","629","3176.6133176612084","3192.6133176612084",NA,"3805.6133176612084"
"C7","Day care","181.16709947243254","28","153.16709947243254","43.91504250608206","225.08214197851458","197.08214197851458","13","0","1","14","183.08214197851458","211.08214197851458",NA,"196.08214197851458"
"C8","Equipment and adaptations","204.58907142661891","30","174.58907142661891","0","204.58907142661891","174.58907142661891","0","0","0","0","174.58907142661891","204.58907142661891",NA,"174.58907142661891"
"C9","Meals","404.8752699341224","0","404.8752699341224","0","404.8752699341224","404.8752699341224","250","0","0","250","154.8752699341224","154.8752699341224",NA,"404.8752699341224"
"C10","Other services to older people","159.74050788617663","13","146.74050788617663","348.10704425552854","507.84755214170514","494.84755214170514","0","0","0","0","494.84755214170514","507.84755214170514",NA,"494.84755214170514"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","10068.290872809774","347","9721.2908728097736","10812.740343875568","20881.03121668534","20534.03121668534","5731","0","1","5732","14802.03121668534","15149.03121668534",NA,"20533.03121668534"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","160.66478965639777","0","160.66478965639777","4.2843943908372744","164.94918404723504","164.94918404723504","0","0","0","0","164.94918404723504","164.94918404723504",NA,"164.94918404723504"
"D2","Nursing home placements","0","0","0","325.61397370363284","325.61397370363284","325.61397370363284","136","0","0","136","189.61397370363284","189.61397370363284",NA,"325.61397370363284"
"D3","Residential care home placements","0","0","0","657.65453899352156","657.65453899352156","657.65453899352156","236","0","0","236","421.65453899352156","421.65453899352156",NA,"657.65453899352156"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D5","Direct payments","0","0","0","338.46715687614466","338.46715687614466","338.46715687614466","0","0","0","0","338.46715687614466","338.46715687614466",NA,"338.46715687614466"
"D6","Home care","207.72202935789846","1","206.72202935789846","23.564169149605007","231.28619850750346","230.28619850750346","26","0","0","26","204.28619850750346","205.28619850750346",NA,"230.28619850750346"
"D7","Day care","190.52259246097915","32","158.52259246097915","11.782084574802504","202.30467703578165","170.30467703578165","4","0","0","4","166.30467703578165","198.30467703578165",NA,"170.30467703578165"
"D8","Equipment and adaptations","44.48845091982615","7","37.48845091982615","0","44.48845091982615","37.48845091982615","0","0","0","0","37.48845091982615","44.48845091982615",NA,"37.48845091982615"
"D9","Meals","12.853183172511823","0","12.853183172511823","0","12.853183172511823","12.853183172511823","8","0","0","8","4.8531831725118231","4.8531831725118231",NA,"12.853183172511823"
"D10","Other services to adults with a physical disability or sensory impairment","11.782084574802504","0","11.782084574802504","130.67402892053687","142.45611349533937","142.45611349533937","0","0","0","0","142.45611349533937","142.45611349533937",NA,"142.45611349533937"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","628.03313014241598","40","588.03313014241598","1492.0403466090806","2120.0734767514969","2080.0734767514969","410","0","0","410","1670.0734767514969","1710.0734767514969",NA,"2080.0734767514969"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","157.23819807014186","3","154.23819807014186","0","157.23819807014186","154.23819807014186","0","0","0","0","154.23819807014186","157.23819807014186",NA,"154.23819807014186"
"E2","Nursing home placements","0","0","0","32.132957931279556","32.132957931279556","32.132957931279556","10","0","0","10","22.132957931279556","22.132957931279556",NA,"32.132957931279556"
"E3","Residential care home placements","364.61397370363284","39","325.61397370363284","3498.2080201186345","3862.8219938222674","3823.8219938222674","1050","0","0","1050","2773.8219938222674","2812.8219938222674",NA,"3823.8219938222674"
"E4","Supported and other accommodation","318.97408632424896","3","315.97408632424896","22.493070551895688","341.46715687614466","338.46715687614466","22","0","0","22","316.46715687614466","319.46715687614466",NA,"338.46715687614466"
"E5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E6","Home care","255.99256485252712","0","255.99256485252712","48.199436896919337","304.19200174944649","304.19200174944649","50","0","0","50","254.19200174944649","254.19200174944649",NA,"304.19200174944649"
"E7","Day care","1569.1622611595549","241","1328.1622611595549","115.6786485526064","1684.8409097121612","1443.8409097121612","46","0","0","46","1397.8409097121612","1638.8409097121612",NA,"1443.8409097121612"
"E8","Equipment and adaptations","2.1421971954186372","0","2.1421971954186372","0","2.1421971954186372","2.1421971954186372","0","0","0","0","2.1421971954186372","2.1421971954186372",NA,"2.1421971954186372"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","146.74050788617663","0","146.74050788617663","6.4265915862559115","153.16709947243254","153.16709947243254","0","0","0","0","153.16709947243254","153.16709947243254",NA,"153.16709947243254"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","2814.8637891917006","286","2528.8637891917006","3723.1387256375915","6538.0025148292916","6252.0025148292916","1178","0","0","1178","5074.0025148292916","5360.0025148292916",NA,"6252.0025148292916"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F:","ADULTS AGED UNDER 65 WITH  MENTAL HEALTH NEEDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","Assessment and care management","646.73025722330044","3","643.73025722330044","36.417352322116827","683.14760954541725","680.14760954541725","0","0","0","0","680.14760954541725","683.14760954541725",NA,"680.14760954541725"
"F2","Nursing home placements","0","0","0","284.91222699067873","284.91222699067873","284.91222699067873","96","0","0","96","188.91222699067873","188.91222699067873",NA,"284.91222699067873"
"F3","Residential care home placements","541.70535494628655","49","492.70535494628655","231.35729710521281","773.0626520514993","724.0626520514993","134","0","0","134","590.0626520514993","639.0626520514993",NA,"724.0626520514993"
"F4","Supported and other accommodation","2.1421971954186372","0","2.1421971954186372","25.706366345023646","27.848563540442285","27.848563540442285","0","0","0","0","27.848563540442285","27.848563540442285",NA,"27.848563540442285"
"F5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F6","Home care","204.57983216247985","0","204.57983216247985","20.350873356477052","224.9307055189569","224.9307055189569","3","0","0","3","221.9307055189569","221.9307055189569",NA,"224.9307055189569"
"F7","Day care","149.38963452969961","23","126.38963452969959","7.4976901839652301","156.88732471366484","133.88732471366481","3","0","0","3","130.88732471366481","153.88732471366484",NA,"133.88732471366481"
"F8","Equipment and adaptations","1.0710985977093186","0","1.0710985977093186","0","1.0710985977093186","1.0710985977093186","0","0","0","0","1.0710985977093186","1.0710985977093186",NA,"1.0710985977093186"
"F9","Meals","2.1421971954186372","0","2.1421971954186372","0","2.1421971954186372","2.1421971954186372","2","0","0","2","0.14219719541863718","0.14219719541863718",NA,"2.1421971954186372"
"F10","Other services to adults with mental health needs","245.28157887543395","0","245.28157887543395","173.51797282890959","418.79955170434357","418.79955170434357","0","0","0","0","418.79955170434357","418.79955170434357",NA,"418.79955170434357"
"F11","TOTAL ADULTS AGED UNDER 65 WITH MENTAL HEALTH NEEDS (LINES F1 to F10)","1793.042150725747","75","1718.042150725747","779.75977913238387","2572.8019298581307","2497.8019298581307","238","0","0","238","2259.8019298581307","2334.8019298581307",NA,"2497.8019298581307"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G:","ASYLUM SEEKERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1","Assessment and care management","25.706366345023646","0","25.706366345023646","0","25.706366345023646","25.706366345023646","0","0","0","0","25.706366345023646","25.706366345023646",NA,"25.706366345023646"
"G2","Unaccompanied children","4.2843943908372744","0","4.2843943908372744","0","4.2843943908372744","4.2843943908372744","0","0","0","0","4.2843943908372744","4.2843943908372744",NA,"4.2843943908372744"
"G3","Families","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"G4","Lone adults","61.052620069431157","0","61.052620069431157","0","61.052620069431157","61.052620069431157","0","0","0","0","61.052620069431157","61.052620069431157",NA,"61.052620069431157"
"G5","TOTAL ASYLUM SEEKERS (LINES G1 to G4)","91.043380805292074","0","91.043380805292074","0","91.043380805292074","91.043380805292074","0","0","0","0","91.043380805292074","91.043380805292074",NA,"91.043380805292074"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H:","OTHER ADULT SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H1","Assessment and care management","71.763606046524345","0","71.763606046524345","0","71.763606046524345","71.763606046524345","0","0","0","0","71.763606046524345","71.763606046524345",NA,"71.763606046524345"
"H2","HIV/AIDS","7.4976901839652301","0","7.4976901839652301","35.346253724407511","42.843943908372744","42.843943908372744","0","0","0","0","42.843943908372744","42.843943908372744",NA,"42.843943908372744"
"H3","Substance abuse (addictions)","205.65093076018917","0","205.65093076018917","96.398873793838675","302.04980455402784","302.04980455402784","0","0","0","0","302.04980455402784","302.04980455402784",NA,"302.04980455402784"
"H4","Other other adult services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"H5","TOTAL OTHER ADULT SERVICES (LINES H1 to H4)","284.91222699067873","0","284.91222699067873","131.74512751824619","416.65735450892493","416.65735450892493","0","0","0","0","416.65735450892493","416.65735450892493",NA,"416.65735450892493"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I:","TOTAL PERSONAL SOCIAL SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I1","TOTAL PSS (LINES A4+B1+C11+D11+E11+F11+G5+H5)","21478.363611513545","864","20614.363611513545","18569.636388486451","40048","39184","7630","0","104","7734","31450","32314",NA,"39080"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J1","SUPPORTED EMPLOYMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"484",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1","OTHER NON-PSS EXPENDITURE BY SOCIAL SERVICES DEPARTMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L1","SPECIFIC GOVERNMENT GRANTS (Inside and outside Aggregated External Finance)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2224",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1","ACTUAL TOTAL NET COST (LINES I1+J1+K1-L1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30679",NA,NA
NA,"(This should match total social services expenditure in the local authority's accounts)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
