"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bradford","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","146.17417061611374","2","144.17417061611374","0","146.17417061611374","144.17417061611374","0","0","0","0","144.17417061611374","146.17417061611374",NA,"144.17417061611374"
"A2","Registration and inspection","630.70971563981038","8","622.70971563981038","0","630.70971563981038","622.70971563981038","151","0","0","151","471.70971563981038","479.70971563981038",NA,"622.70971563981038"
"A3","Complaints procedures","98.116113744075832","2","96.116113744075832","0","98.116113744075832","96.116113744075832","0","0","0","0","96.116113744075832","98.116113744075832",NA,"96.116113744075832"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","875","12","863","0","875","863","151","0","0","151","712","724",NA,"863"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","7040.3891229918354","142","6898.3891229918354","34","7074.3891229918354","6932.3891229918354","0","0","199","199","6733.3891229918354","6875.3891229918354",NA,"6733.3891229918354"
"BA2","GALRO","882.61087700816438","12","870.61087700816438","0","882.61087700816438","870.61087700816438","12","0","442","454","416.61087700816438","428.61087700816438",NA,"428.61087700816438"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","7923","154","7769","34","7957","7803","12","0","641","653","7150","7304",NA,"7162"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","4641.9576940957695","91","4550.9576940957695","5215","9856.9576940957704","9765.9576940957704","0","0","328","328","9437.9576940957704","9528.9576940957704",NA,"9437.9576940957704"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB3","Fostering services","4754.4270571827055","2","4752.4270571827055","81","4835.4270571827055","4833.4270571827055","0","0","90","90","4743.4270571827055","4745.4270571827055",NA,"4743.4270571827055"
"BB4","Other children looked after services","1695.6152487215249","0","1695.6152487215249","155","1850.6152487215249","1850.6152487215249","0","0","58","58","1792.6152487215249","1792.6152487215249",NA,"1792.6152487215249"
"BB5","Total children looked after (lines BB1 to BB4)","11092","93","10999","5451","16543","16450","0","0","476","476","15974","16067",NA,"15974"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","3495.4492522432702","186","3309.4492522432702","0","3495.4492522432702","3309.4492522432702","0","0","3","3","3306.4492522432702","3492.4492522432702",NA,"3306.4492522432702"
"BC2","Services for under 8s","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC3","Home care","31.723230309072783","0","31.723230309072783","0","31.723230309072783","31.723230309072783","0","0","0","0","31.723230309072783","31.723230309072783",NA,"31.723230309072783"
"BC4","Equipment and adaptations","84.889730807577266","2","82.889730807577266","0","84.889730807577266","82.889730807577266","0","0","45","45","37.889730807577266","39.889730807577266",NA,"37.889730807577266"
"BC5","Other family support services","1712.9377866400798","5","1707.9377866400798","125","1837.9377866400798","1832.9377866400798","1","0","355","356","1476.9377866400798","1481.9377866400798",NA,"1477.9377866400798"
"BC6","Total family support services (lines BC1 to BC5)","5325","193","5132","125","5450","5257","1","0","403","404","4853","5046",NA,"4854"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","24","24","24","0","0","0","0","24","24",NA,"24"
"BD2","Youth offender teams","690.51063829787233","0","690.51063829787233","0","690.51063829787233","690.51063829787233","0","0","0","0","690.51063829787233","690.51063829787233",NA,"690.51063829787233"
"BD3","Other youth justice services","522.48936170212767","11","511.48936170212767","203","725.48936170212767","714.48936170212767","5","0","200","205","509.48936170212767","520.48936170212767",NA,"514.48936170212767"
"BD4","Total youth justice (lines BD1 to BD3)","1213","11","1202","227","1440","1429","5","0","200","205","1224","1235",NA,"1229"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1396.4307014571332","1","1395.4307014571332","0","1396.4307014571332","1395.4307014571332","0","0","0","0","1395.4307014571332","1396.4307014571332",NA,"1395.4307014571332"
"BE2","Leaving care services","921.64656048797019","5","916.64656048797019","0","921.64656048797019","916.64656048797019","4","0","93","97","819.64656048797019","824.64656048797019",NA,"823.64656048797019"
"BE3","Other other children's and families services","746.92273805489663","40","706.92273805489663","188","934.92273805489663","894.92273805489663","0","0","373","373","521.92273805489663","561.92273805489663",NA,"521.92273805489663"
"BE4","Total other children's and families services (lines BE1 to BE3)","3065","46","3019","188","3253","3207","4","0","466","470","2737","2783",NA,"2741"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","28618","497","28121","6025","34643","34146","22","0","2186","2208","31938","32435",NA,"31960"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5919.7015455304927","37","5882.7015455304927","0","5919.7015455304927","5882.7015455304927","0","0","145","145","5737.7015455304927","5774.7015455304927",NA,"5737.7015455304927"
"C2","Nursing home placements","0","0","0","19772","19772","19772","8490","0","0","8490","11282","11282",NA,"19772"
"C3","Residential care home placements","8948.5287176274014","458","8490.5287176274014","14349","23297.5287176274","22839.5287176274","10041","0","167","10208","12631.5287176274","13089.5287176274",NA,"22672.5287176274"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C6","Home care","9313.6684419381781","19","9294.6684419381781","885","10198.668441938178","10179.668441938178","1674","0","0","1674","8505.6684419381781","8524.6684419381781",NA,"10179.668441938178"
"C7","Day care","3328.7896825396824","102","3226.7896825396824","431","3759.7896825396824","3657.7896825396824","184","0","15","199","3458.7896825396824","3560.7896825396824",NA,"3642.7896825396824"
