"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Derbyshire","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","228","0","228","0","228","228","0","0","0","0","228","228",NA,"228"
"A2","Registration and inspection","1064","0","1064","0","1064","1064","22","0","166","188","876","876",NA,"898"
"A3","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","1292","0","1292","0","1292","1292","22","0","166","188","1104","1104",NA,"1126"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","6715","0","6715","0","6715","6715","0","156","0","156","6559","6559",NA,"6559"
"BA2","GALRO","413","0","413","0","413","413","0","115","0","115","298","298",NA,"298"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","7128","0","7128","0","7128","7128","0","271","0","271","6857","6857",NA,"6857"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","4464","231","4233","2864","7328","7097","4","0","0","4","7093","7324",NA,"7097"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB3","Fostering services","5499","0","5499","0","5499","5499","0","41","84","125","5374","5374",NA,"5374"
"BB4","Other children looked after services","1275","100","1175","1870","3145","3045","0","146","156","302","2743","2843",NA,"2743"
"BB5","Total children looked after (lines BB1 to BB4)","11238","331","10907","4734","15972","15641","4","187","240","431","15210","15541",NA,"15214"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","2739","113","2626","127","2866","2753","58","0","6","64","2689","2802",NA,"2747"
"BC2","Services for under 8s","223","26","197","56","279","253","20","0","53","73","180","206",NA,"200"
"BC3","Home care","311","0","311","0","311","311","1","1","0","2","309","309",NA,"310"
"BC4","Equipment and adaptations","21","0","21","78","99","99","0","0","0","0","99","99",NA,"99"
"BC5","Other family support services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC6","Total family support services (lines BC1 to BC5)","3294","139","3155","261","3555","3416","79","1","59","139","3277","3416",NA,"3356"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
