"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Harrow","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","345.98611111111109","0","345.98611111111109","0","345.98611111111109","345.98611111111109","0","0","240","240","105.98611111111109","105.98611111111109",NA,"105.98611111111109"
"A2","Registration and inspection","497.82954545454544","0","497.82954545454544","15.184343434343434","513.01388888888891","513.01388888888891","0","0","45","45","468.01388888888891","468.01388888888891",NA,"468.01388888888891"
"A3","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","843.81565656565658","0","843.81565656565658","15.184343434343434","859","859","0","0","285","285","574","574",NA,"574"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","3706.6125523012552","58","3648.6125523012552","137.66304044630405","3844.2755927475591","3786.2755927475591","0","58","36","94","3692.2755927475591","3750.2755927475591",NA,"3692.2755927475591"
"BA2","GALRO","0","0","0","99.724407252440727","99.724407252440727","99.724407252440727","0","0","0","0","99.724407252440727","99.724407252440727",NA,"99.724407252440727"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","3706.6125523012552","58","3648.6125523012552","237.38744769874478","3944","3886","0","58","36","94","3792","3850",NA,"3792"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1139.6728205128206","74","1065.6728205128206","2446.8194871794872","3586.4923076923078","3512.4923076923078","3","32","0","35","3477.4923076923078","3551.4923076923078",NA,"3480.4923076923078"
"BB2","Secure accommodation (welfare)","0","0","0","305.71692307692308","305.71692307692308","305.71692307692308","0","0","0","0","305.71692307692308","305.71692307692308",NA,"305.71692307692308"
"BB3","Fostering services","1543.7620512820513","0","1543.7620512820513","980.02871794871794","2523.790769230769","2523.790769230769","0","0","0","0","2523.790769230769","2523.790769230769",NA,"2523.790769230769"
"BB4","Other children looked after services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB5","Total children looked after (lines BB1 to BB4)","2683.4348717948719","74","2609.4348717948719","3732.5651282051285","6416","6342","3","32","0","35","6307","6381",NA,"6310"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","339.4073654390935","11","328.4073654390935","0","339.4073654390935","328.4073654390935","0","0","1","1","327.4073654390935","338.4073654390935",NA,"327.4073654390935"
"BC2","Services for under 8s","1024.51388101983","126","898.51388101983002","22.760906515580736","1047.2747875354107","921.27478753541072","1","0","222","223","698.27478753541072","824.27478753541072",NA,"699.27478753541072"
"BC3","Home care","57.444192634560906","0","57.444192634560906","0","57.444192634560906","57.444192634560906","11","0","0","11","46.444192634560906","46.444192634560906",NA,"57.444192634560906"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","405.36090651558072","0","405.36090651558072","200.51274787535411","605.8736543909348","605.8736543909348","1","0","0","1","604.8736543909348","604.8736543909348",NA,"605.8736543909348"
"BC6","Total family support services (lines BC1 to BC5)","1826.7263456090654","137","1689.7263456090654","223.27365439093484","2050","1913","13","0","223","236","1677","1814",NA,"1690"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD2","Youth offender teams","303.70573566084789","26","277.70573566084789","2.1695760598503742","305.87531172069828","279.87531172069828","0","8","35","43","236.87531172069828","262.87531172069828",NA,"236.87531172069828"
"BD3","Other youth justice services","98.715710723192018","0","98.715710723192018","56.408977556109726","155.12468827930175","155.12468827930175","0","0","0","0","155.12468827930175","155.12468827930175",NA,"155.12468827930175"
"BD4","Total youth justice (lines BD1 to BD3)","402.42144638403988","26","376.42144638403988","58.578553615960097","461","435","0","8","35","43","392","418",NA,"392"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","365.14849187935033","0","365.14849187935033","140.85846867749419","506.00696055684455","506.00696055684455","0","0","0","0","506.00696055684455","506.00696055684455",NA,"506.00696055684455"
"BE2","Leaving care services","197.95127610208817","4","193.95127610208817","175.53132250580046","373.48259860788863","369.48259860788863","1","0","1","2","367.48259860788863","371.48259860788863",NA,"368.48259860788863"
"BE3","Other other children's and families services","15.334106728538284","11","4.3341067285382833","54.17633410672854","69.51044083526682","58.51044083526682","0","0","10","10","48.51044083526682","59.51044083526682",NA,"48.51044083526682"
"BE4","Total other children's and families services (lines BE1 to BE3)","578.43387470997675","15","563.43387470997675","370.56612529002314","949","934","1","0","11","12","922","937",NA,"923"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","9197.6290907992097","310","8887.6290907992097","4622.3709092007921","13820","13510","17","98","305","420","13090","13400",NA,"13107"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","2569.8278962481759","19","2550.8278962481759","138.76156851668784","2708.5894647648638","2689.5894647648638","0","359","7","366","2323.5894647648638","2342.5894647648638",NA,"2323.5894647648638"
"C2","Nursing home placements","0","0","0","3634.9026502847996","3634.9026502847996","3634.9026502847996","1085","100","0","1185","2449.9026502847996","2449.9026502847996",NA,"3534.9026502847996"
"C3","Residential care home placements","803.42305700701411","63","740.42305700701411","5987.3448665442738","6790.7679235512878","6727.7679235512878","2097","60","0","2157","4570.7679235512878","4633.7679235512878",NA,"6667.7679235512878"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C6","Home care","4560.525443675564","15","4545.525443675564","2837.0236313138444","7397.5490749894088","7382.5490749894088","833","139","0","972","6410.5490749894088","6425.5490749894088",NA,"7243.5490749894088"
"C7","Day care","501.24511603822435","21","480.24511603822435","569.13924586922747","1070.3843619074519","1049.3843619074519","22","0","0","22","1027.3843619074519","1048.3843619074519",NA,"1049.3843619074519"
