"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Hartlepool UA","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","260.42260442260442","4","256.42260442260442","0","260.42260442260442","256.42260442260442","0","0","0","0","256.42260442260442","260.42260442260442",NA,"256.42260442260442"
"A2","Registration and inspection","191.57739557739558","2","189.57739557739558","0","191.57739557739558","189.57739557739558","0","0","72","72","117.57739557739558","119.57739557739558",NA,"117.57739557739558"
"A3","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","452","6","446","0","452","446","0","0","72","72","374","380",NA,"374"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","1448.9411967580618","52","1396.9411967580618","0","1448.9411967580618","1396.9411967580618","0","0","50","50","1346.9411967580618","1398.9411967580618",NA,"1346.9411967580618"
"BA2","GALRO","407.12553888601485","1","406.12553888601485","0","407.12553888601485","406.12553888601485","0","344","0","344","62.125538886014851","63.125538886014851",NA,"62.125538886014851"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","1856.0667356440767","53","1803.0667356440767","0","1856.0667356440767","1803.0667356440767","0","344","50","394","1409.0667356440767","1462.0667356440767",NA,"1409.0667356440767"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","821.59044662872907","91","730.59044662872907","857.98103121227791","1679.571477841007","1588.571477841007","2","0","73","75","1513.571477841007","1604.571477841007",NA,"1515.571477841007"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB3","Fostering services","714.45904466287288","10","704.45904466287288","214.49525780306948","928.95430246594242","918.95430246594242","0","0","167","167","751.95430246594242","761.95430246594242",NA,"751.95430246594242"
"BB4","Other children looked after services","0","0","0","6.5328504914640453","6.5328504914640453","6.5328504914640453","0","0","0","0","6.5328504914640453","6.5328504914640453",NA,"6.5328504914640453"
"BB5","Total children looked after (lines BB1 to BB4)","1536.049491291602","101","1435.049491291602","1079.0091395068114","2615.0586307984131","2514.0586307984131","2","0","240","242","2272.0586307984131","2373.0586307984131",NA,"2274.0586307984131"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","179.0548370408691","19","160.0548370408691","0","179.0548370408691","160.0548370408691","0","0","0","0","160.0548370408691","179.0548370408691",NA,"160.0548370408691"
"BC2","Services for under 8s","36.930677703052254","1","35.930677703052254","0","36.930677703052254","35.930677703052254","0","0","0","0","35.930677703052254","36.930677703052254",NA,"35.930677703052254"
"BC3","Home care","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","218.5840662183135","3","215.5840662183135","13.065700982928091","231.64976720124159","228.64976720124159","0","0","5","5","223.64976720124159","226.64976720124159",NA,"223.64976720124159"
"BC6","Total family support services (lines BC1 to BC5)","434.56958096223485","23","411.56958096223485","13.065700982928091","447.63528194516294","424.63528194516294","0","0","5","5","419.63528194516294","442.63528194516294",NA,"419.63528194516294"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","43.552336609760303","43.552336609760303","43.552336609760303","0","0","0","0","43.552336609760303","43.552336609760303",NA,"43.552336609760303"
