"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Kensington and Chelsea","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","120","0","120","0","120","120","0","0","0","0","120","120",NA,"120"
"A2","Registration and inspection","134","0","134","0","134","134","0","0","0","0","134","134",NA,"134"
"A3","Complaints procedures","112","0","112","0","112","112","0","0","0","0","112","112",NA,"112"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","366","0","366","0","366","366","0","0","0","0","366","366",NA,"366"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","4921","79","4842","0","4921","4842","0","63","71","134","4708","4787",NA,"4708"
"BA2","GALRO","128","0","128","0","128","128","0","0","0","0","128","128",NA,"128"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","5049","79","4970","0","5049","4970","0","63","71","134","4836","4915",NA,"4836"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1965","54","1911","1642","3607","3553","13","1","41","55","3498","3552",NA,"3511"
"BB2","Secure accommodation (welfare)","3","0","3","229","232","232","0","0","0","0","232","232",NA,"232"
"BB3","Fostering services","1566","13","1553","517","2083","2070","0","0","2","2","2068","2081",NA,"2068"
"BB4","Other children looked after services","509","1","508","615","1124","1123","116","0","1","117","1006","1007",NA,"1122"
"BB5","Total children looked after (lines BB1 to BB4)","4043","68","3975","3003","7046","6978","129","1","44","174","6804","6872",NA,"6933"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","2185","64","2121","0","2185","2121","90","61","36","187","1934","1998",NA,"2024"
"BC2","Services for under 8s","1312","43","1269","1089","2401","2358","120","0","13","133","2225","2268",NA,"2345"
"BC3","Home care","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","339","1","338","0","339","338","0","0","1","1","337","338",NA,"337"
"BC6","Total family support services (lines BC1 to BC5)","3836","108","3728","1089","4925","4817","210","61","50","321","4496","4604",NA,"4706"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","86","86","86","0","0","0","0","86","86",NA,"86"
"BD2","Youth offender teams","496","2","494","0","496","494","0","0","18","18","476","478",NA,"476"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD4","Total youth justice (lines BD1 to BD3)","496","2","494","86","582","580","0","0","18","18","562","564",NA,"562"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","886","4","882","0","886","882","141","0","5","146","736","740",NA,"877"
"BE2","Leaving care services","1395","18","1377","0","1395","1377","1","0","4","5","1372","1390",NA,"1373"
"BE3","Other other children's and families services","16","0","16","0","16","16","0","0","0","0","16","16",NA,"16"
"BE4","Total other children's and families services (lines BE1 to BE3)","2297","22","2275","0","2297","2275","142","0","9","151","2124","2146",NA,"2266"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","15721","279","15442","4178","19899","19620","481","125","192","798","18822","19101",NA,"19303"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","4909","52","4857","0","4909","4857","0","117","82","199","4658","4710",NA,"4658"
"C2","Nursing home placements","587","15","572","2478","3065","3050","710","2","15","727","2323","2338",NA,"3033"
"C3","Residential care home placements","4203","735","3468","3365","7568","6833","1669","187","90","1946","4887","5622",NA,"6556"
"C4","Supported and other accommodation","203","0","203","0","203","203","0","0","0","0","203","203",NA,"203"
"C5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C6","Home care","3691","9","3682","1583","5274","5265","433","1","64","498","4767","4776",NA,"5200"
"C7","Day care","1849","182","1667","394","2243","2061","81","125","153","359","1702","1884",NA,"1783"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C9","Meals","31","1","30","939","970","969","178","0","2","180","789","790",NA,"967"
"C10","Other services to older people","677","574","103","665","1342","768","11","63","6","80","688","1262",NA,"699"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","16150","1568","14582","9424","25574","24006","3082","495","412","3989","20017","21585",NA,"23099"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","286","1","285","0","286","285","0","0","1","1","284","285",NA,"284"
"D2","Nursing home placements","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D3","Residential care home placements","278","6","272","698","976","970","228","1","17","246","724","730",NA,"952"
"D4","Supported and other accommodation","0","0","0","73","73","73","0","0","24","24","49","49",NA,"49"
"D5","Direct payments","0","0","0","234","234","234","0","0","0","0","234","234",NA,"234"
"D6","Home care","431","0","431","683","1114","1114","59","0","0","59","1055","1055",NA,"1114"
"D7","Day care","5","0","5","250","255","255","0","0","0","0","255","255",NA,"255"
"D8","Equipment and adaptations","265","0","265","0","265","265","0","0","0","0","265","265",NA,"265"
"D9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D10","Other services to adults with a physical disability or sensory impairment","906","4","902","102","1008","1004","0","1","23","24","980","984",NA,"980"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","2171","11","2160","2040","4211","4200","287","2","65","354","3846","3857",NA,"4133"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","523","20","503","0","523","503","0","0","4","4","499","519",NA,"499"
"E2","Nursing home placements","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E3","Residential care home placements","1109","61","1048","3191","4300","4239","1164","2","19","1185","3054","3115",NA,"4218"
"E4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E6","Home care","25","0","25","223","248","248","22","0","0","22","226","226",NA,"248"
"E7","Day care","923","100","823","415","1338","1238","12","0","54","66","1172","1272",NA,"1184"
"E8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","15","1","14","75","90","89","3","0","1","4","85","86",NA,"88"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","2595","182","2413","3904","6499","6317","1201","2","78","1281","5036","5218",NA,"6237"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F:","ADULTS AGED UNDER 65 WITH  MENTAL HEALTH NEEDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","Assessment and care management","1200","4","1196","0","1200","1196","0","3","57","60","1136","1140",NA,"1136"
"F2","Nursing home placements","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F3","Residential care home placements","910","5","905","1354","2264","2259","104","5","39","148","2111","2116",NA,"2215"
