"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Knowsley","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","134","0","134","0","134","134","0","0","0","0","134","134",NA,"134"
"A2","Registration and inspection","187","0","187","0","187","187","47","0","0","47","140","140",NA,"187"
"A3","Complaints procedures","20","0","20","0","20","20","0","0","0","0","20","20",NA,"20"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","341","0","341","0","341","341","47","0","0","47","294","294",NA,"341"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","2479.2805849564688","74","2405.2805849564688","0","2479.2805849564688","2405.2805849564688","19","0","0","19","2386.2805849564688","2460.2805849564688",NA,"2405.2805849564688"
"BA2","GALRO","0","0","0","63.999062816710818","63.999062816710818","63.999062816710818","0","0","0","0","63.999062816710818","63.999062816710818",NA,"63.999062816710818"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","2479.2805849564688","74","2405.2805849564688","63.999062816710818","2543.2796477731795","2469.2796477731795","19","0","0","19","2450.2796477731795","2524.2796477731795",NA,"2469.2796477731795"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2169.5510510083782","50","2119.5510510083782","1158.4915099702907","3328.0425609786689","3278.0425609786689","0","8","0","8","3270.0425609786689","3320.0425609786689",NA,"3270.0425609786689"
"BB2","Secure accommodation (welfare)","0","0","0","8.677839025994686","8.677839025994686","8.677839025994686","0","0","0","0","8.677839025994686","8.677839025994686",NA,"8.677839025994686"
"BB3","Fostering services","1918.1351500285766","0","1918.1351500285766","29.287706712732071","1947.4228567413086","1947.4228567413086","0","0","0","0","1947.4228567413086","1947.4228567413086",NA,"1947.4228567413086"
"BB4","Other children looked after services","42.156816484144535","0","42.156816484144535","0","42.156816484144535","42.156816484144535","0","0","0","0","42.156816484144535","42.156816484144535",NA,"42.156816484144535"
"BB5","Total children looked after (lines BB1 to BB4)","4129.8430175210997","50","4079.8430175210997","1196.4570557090174","5326.3000732301171","5276.3000732301171","0","8","0","8","5268.3000732301171","5318.3000732301171",NA,"5268.3000732301171"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","2023.4414057346464","247","1776.4414057346464","0","2023.4414057346464","1776.4414057346464","0","0","0","0","1776.4414057346464","2023.4414057346464",NA,"1776.4414057346464"
"BC2","Services for under 8s","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC3","Home care","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","640.54940602297404","0","640.54940602297404","2.1694597564986715","642.71886577947271","642.71886577947271","3","0","0","3","639.71886577947271","639.71886577947271",NA,"642.71886577947271"
"BC6","Total family support services (lines BC1 to BC5)","2663.9908117576206","247","2416.9908117576206","2.1694597564986715","2666.1602715141194","2419.1602715141194","3","0","0","3","2416.1602715141194","2663.1602715141194",NA,"2419.1602715141194"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD2","Youth offender teams","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD4","Total youth justice (lines BD1 to BD3)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","286.90055662820589","0","286.90055662820589","0","286.90055662820589","286.90055662820589","0","0","0","0","286.90055662820589","286.90055662820589",NA,"286.90055662820589"
"BE2","Leaving care services","311.49203291062355","0","311.49203291062355","52.067034155968123","363.55906706659169","363.55906706659169","0","0","0","0","363.55906706659169","363.55906706659169",NA,"363.55906706659169"
"BE3","Other other children's and families services","315.00510095096894","0","315.00510095096894","7.5931091477453512","322.59821009871428","322.59821009871428","0","0","0","0","322.59821009871428","322.59821009871428",NA,"322.59821009871428"
"BE4","Total other children's and families services (lines BE1 to BE3)","913.39769048979838","0","913.39769048979838","59.660143303713475","973.0578337935118","973.0578337935118","0","0","0","0","973.0578337935118","973.0578337935118",NA,"973.0578337935118"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","10186.512104724987","371","9815.5121047249868","1322.2857215859406","11508.797826310927","11137.797826310927","22","8","0","30","11107.797826310927","11478.797826310927",NA,"11129.797826310927"
