"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Liverpool","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","490.65815200000003","3.030408","487.62774400000001","0","490.65815200000003","487.62774400000001","1.2564600000000001","1.6991160000000001","0.54922800000000005","3.504804","484.12294000000003","487.15334800000005",NA,"485.37939999999998"
"A2","Registration and inspection","782.59000000000003","7.4059999999999997","775.18400000000008","0","782.59000000000003","775.18400000000008","155.66300000000001","0","0","155.66300000000001","619.52100000000007","626.92700000000002",NA,"775.18400000000008"
"A3","Complaints procedures","95.359999999999999","0","95.359999999999999","0","95.359999999999999","95.359999999999999","0","0","0","0","95.359999999999999","95.359999999999999",NA,"95.359999999999999"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","1368.608152","10.436408","1358.171744","0","1368.608152","1358.171744","156.91946000000002","1.6991160000000001","0.54922800000000005","159.16780400000002","1199.0039400000001","1209.4403480000001",NA,"1355.9233999999999"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","8967.8196235341329","11.89421662295792","8955.9254069111757","0","8967.8196235341329","8955.9254069111757","83.456137823470286","243.74795473201422","42.15569547314881","369.35978802863332","8586.5656188825433","8598.4598355055005",NA,"8670.0217567060117"
"BA2","GALRO","380.81476720971591","0.52629853930726145","380.28846867040863","0","380.81476720971591","380.28846867040863","0.43294181699897183","0.29508972683334944","0.095385800904250695","0.82341734473657202","379.46505132567205","379.99134986497933",NA,"379.89799314267106"
