"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Medway Towns UA","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","469.22359846647112","0","469.22359846647112","0","469.22359846647112","469.22359846647112","0","0","0","0","469.22359846647112","469.22359846647112",NA,"469.22359846647112"
"A2","Registration and inspection","392.35243387914846","0","392.35243387914846","0","392.35243387914846","392.35243387914846","80.956000000000003","0","0","80.956000000000003","311.39643387914845","311.39643387914845",NA,"392.35243387914846"
"A3","Complaints procedures","46.117437654380424","0","46.117437654380424","0","46.117437654380424","46.117437654380424","0","0","0","0","46.117437654380424","46.117437654380424",NA,"46.117437654380424"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","907.69346999999993","0","907.69346999999993","0","907.69346999999993","907.69346999999993","80.956000000000003","0","0","80.956000000000003","826.73746999999992","826.73746999999992",NA,"907.69346999999993"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","3346.0870416472499","114.10599999999999","3231.9810416472496","0","3346.0870416472499","3231.9810416472496","0","0","48.154000000000003","48.154000000000003","3183.8270416472496","3297.9330416472499",NA,"3183.8270416472496"
"BA2","GALRO","0","0","0","171.81753835275003","171.81753835275003","171.81753835275003","0","0","0","0","171.81753835275003","171.81753835275003",NA,"171.81753835275003"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","3346.0870416472499","114.10599999999999","3231.9810416472496","171.81753835275003","3517.9045799999999","3403.7985799999997","0","0","48.154000000000003","48.154000000000003","3355.6445799999997","3469.7505799999999",NA,"3355.6445799999997"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","831.49959252576639","28.418999999999997","803.08059252576641","878.97669036729201","1710.4762828930584","1682.0572828930585","0","0","82.719999999999999","82.719999999999999","1599.3372828930585","1627.7562828930584",NA,"1599.3372828930585"
"BB2","Secure accommodation (welfare)","0","0","0","296.0114762097873","296.0114762097873","296.0114762097873","0","43.987000000000002","0","43.987000000000002","252.02447620978731","252.02447620978731",NA,"252.02447620978731"
"BB3","Fostering services","3420.4138914540245","0","3420.4138914540245","109.61848933922961","3530.0323807932541","3530.0323807932541","0","0","17.658000000000001","17.658000000000001","3512.3743807932542","3512.3743807932542",NA,"3512.3743807932542"
"BB4","Other children looked after services","0","0","0","166.99835010390029","166.99835010390029","166.99835010390029","0","0","0","0","166.99835010390029","166.99835010390029",NA,"166.99835010390029"
"BB5","Total children looked after (lines BB1 to BB4)","4251.9134839797907","28.418999999999997","4223.4944839797909","1451.6050060202092","5703.5184900000004","5675.0994900000005","0","43.987000000000002","100.378","144.36500000000001","5530.7344900000007","5559.1534900000006",NA,"5530.7344900000007"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
