"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Middlesbrough UA","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","44","0","44","0","44","44","0","0","0","0","44","44",NA,"44"
"A2","Registration and inspection","198","30","168","39","237","207","97","0","0","97","110","140",NA,"207"
"A3","Complaints procedures","5","0","5","0","5","5","0","0","0","0","5","5",NA,"5"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","247","30","217","39","286","256","97","0","0","97","159","189",NA,"256"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","3190","17","3173","130","3320","3303","0","57","7","64","3239","3256",NA,"3239"
"BA2","GALRO","0","0","0","139","139","139","0","0","0","0","139","139",NA,"139"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","3190","17","3173","269","3459","3442","0","57","7","64","3378","3395",NA,"3378"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1954","90","1864","1222","3176","3086","3","47","3","53","3033","3123",NA,"3036"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB3","Fostering services","1363","0","1363","126","1489","1489","0","0","0","0","1489","1489",NA,"1489"
"BB4","Other children looked after services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB5","Total children looked after (lines BB1 to BB4)","3317","90","3227","1348","4665","4575","3","47","3","53","4522","4612",NA,"4525"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","565","45","520","166","731","686","0","0","0","0","686","731",NA,"686"
"BC2","Services for under 8s","20","20","0","91","111","91","0","0","6","6","85","105",NA,"85"
"BC3","Home care","44","0","44","5","49","49","0","0","0","0","49","49",NA,"49"
"BC4","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC5","Other family support services","984","0","984","5","989","989","0","8","0","8","981","981",NA,"981"
"BC6","Total family support services (lines BC1 to BC5)","1613","65","1548","267","1880","1815","0","8","6","14","1801","1866",NA,"1801"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","148","76","72","23","171","95","0","0","0","0","95","171",NA,"95"
"BD2","Youth offender teams","189","0","189","0","189","189","0","0","0","0","189","189",NA,"189"
"BD3","Other youth justice services","127","0","127","0","127","127","0","0","0","0","127","127",NA,"127"
"BD4","Total youth justice (lines BD1 to BD3)","464","76","388","23","487","411","0","0","0","0","411","487",NA,"411"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","477","0","477","14","491","491","0","0","0","0","491","491",NA,"491"
"BE2","Leaving care services","201","0","201","8","209","209","0","30","0","30","179","179",NA,"179"
"BE3","Other other children's and families services","6","0","6","11","17","17","0","0","0","0","17","17",NA,"17"
"BE4","Total other children's and families services (lines BE1 to BE3)","684","0","684","33","717","717","0","30","0","30","687","687",NA,"687"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","9268","248","9020","1940","11208","10960","3","142","16","161","10799","11047",NA,"10802"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","1029","64","965","12","1041","977","1","102","2","105","872","936",NA,"873"
"C2","Nursing home placements","0","0","0","4790","4790","4790","1723","0","0","1723","3067","3067",NA,"4790"
"C3","Residential care home placements","3115","88","3027","4415","7530","7442","2756","62","69","2887","4555","4643",NA,"7311"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C5","Direct payments","0","0","0","17","17","17","0","0","0","0","17","17",NA,"17"
"C6","Home care","2603","0","2603","852","3455","3455","249","63","0","312","3143","3143",NA,"3392"
"C7","Day care","570","40","530","76","646","606","54","0","0","54","552","592",NA,"606"
"C8","Equipment and adaptations","187","0","187","0","187","187","0","0","0","0","187","187",NA,"187"
"C9","Meals","0","0","0","40","40","40","17","0","0","17","23","23",NA,"40"
"C10","Other services to older people","68","0","68","1","69","69","0","0","1","1","68","68",NA,"68"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","7572","192","7380","10203","17775","17583","4800","227","72","5099","12484","12676",NA,"17284"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","503","17","486","3","506","489","0","41","4","45","444","461",NA,"444"
"D2","Nursing home placements","0","0","0","186","186","186","75","0","0","75","111","111",NA,"186"
"D3","Residential care home placements","0","0","0","577","577","577","128","8","0","136","441","441",NA,"569"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D5","Direct payments","0","0","0","4","4","4","0","0","0","0","4","4",NA,"4"
"D6","Home care","283","0","283","87","370","370","27","7","0","34","336","336",NA,"363"
"D7","Day care","384","95","289","77","461","366","21","0","2","23","343","438",NA,"364"
"D8","Equipment and adaptations","63","0","63","0","63","63","0","0","0","0","63","63",NA,"63"
"D9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D10","Other services to adults with a physical disability or sensory impairment","38","13","25","187","225","212","0","0","0","0","212","225",NA,"212"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","1271","125","1146","1121","2392","2267","251","56","6","313","1954","2079",NA,"2205"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","485","31","454","8","493","462","1","138","1","140","322","353",NA,"323"
"E2","Nursing home placements","0","0","0","63","63","63","21","0","0","21","42","42",NA,"63"
"E3","Residential care home placements","1717","229","1488","1961","3678","3449","480","679","14","1173","2276","2505",NA,"2756"
"E4","Supported and other accommodation","0","0","0","164","164","164","0","49","0","49","115","115",NA,"115"
"E5","Direct payments","0","0","0","2","2","2","0","0","0","0","2","2",NA,"2"
"E6","Home care","131","0","131","26","157","157","11","3","0","14","143","143",NA,"154"
"E7","Day care","1292","55","1237","545","1837","1782","40","0","1","41","1741","1796",NA,"1781"
"E8","Equipment and adaptations","4","0","4","0","4","4","0","0","0","0","4","4",NA,"4"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","169","0","169","0","169","169","12","0","2","14","155","155",NA,"167"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","3798","315","3483","2769","6567","6252","565","869","18","1452","4800","5115",NA,"5365"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F:","ADULTS AGED UNDER 65 WITH  MENTAL HEALTH NEEDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","Assessment and care management","1224","64","1160","16","1240","1176","1","249","2","252","924","988",NA,"925"
"F2","Nursing home placements","0","0","0","185","185","185","55","0","0","55","130","130",NA,"185"
"F3","Residential care home placements","471","79","392","186","657","578","89","0","1","90","488","567",NA,"577"
"F4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F6","Home care","15","0","15","54","69","69","5","0","0","5","64","64",NA,"69"
"F7","Day care","273","83","190","6","279","196","3","0","0","3","193","276",NA,"196"
"F8","Equipment and adaptations","2","0","2","0","2","2","0","0","0","0","2","2",NA,"2"
"F9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F10","Other services to adults with mental health needs","370","0","370","0","370","370","20","48","2","70","300","300",NA,"320"
"F11","TOTAL ADULTS AGED UNDER 65 WITH MENTAL HEALTH NEEDS (LINES F1 to F10)","2355","226","2129","447","2802","2576","173","297","5","475","2101","2327",NA,"2274"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G:","ASYLUM SEEKERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1","Assessment and care management","22","0","22","0","22","22","0","0","0","0","22","22",NA,"22"
"G2","Unaccompanied children","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"G3","Families","41","0","41","0","41","41","0","0","0","0","41","41",NA,"41"
"G4","Lone adults","870","0","870","0","870","870","0","0","0","0","870","870",NA,"870"
"G5","TOTAL ASYLUM SEEKERS (LINES G1 to G4)","933","0","933","0","933","933","0","0","0","0","933","933",NA,"933"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
