"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Norfolk","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","743.04216867469881","2","741.04216867469881","0","743.04216867469881","741.04216867469881","0","0","80","80","661.04216867469881","663.04216867469881",NA,"661.04216867469881"
"A2","Registration and inspection","1477.5556070435589","3","1474.5556070435589","0","1477.5556070435589","1474.5556070435589","385","0","10","395","1079.5556070435589","1082.5556070435589",NA,"1464.5556070435589"
"A3","Complaints procedures","105.40222428174235","0","105.40222428174235","0","105.40222428174235","105.40222428174235","0","0","0","0","105.40222428174235","105.40222428174235",NA,"105.40222428174235"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","2326","5","2321","0","2326","2321","385","0","90","475","1846","1851",NA,"2231"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","8153.1942748091606","19","8134.1942748091606","0","8153.1942748091606","8134.1942748091606","0","226","152","378","7756.1942748091606","7775.1942748091606",NA,"7756.1942748091606"
"BA2","GALRO","450.80572519083967","2","448.80572519083967","0","450.80572519083967","448.80572519083967","0","0","0","0","448.80572519083967","450.80572519083967",NA,"448.80572519083967"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","8604","21","8583","0","8604","8583","0","226","152","378","8205","8226",NA,"8205"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","4427.6644661962209","226","4201.6644661962209","7867.0393808331437","12294.703847029365","12068.703847029365","0","438","9","447","11621.703847029365","11847.703847029365",NA,"11621.703847029365"
"BB2","Secure accommodation (welfare)","0","0","0","131.33621670839972","131.33621670839972","131.33621670839972","0","0","0","0","131.33621670839972","131.33621670839972",NA,"131.33621670839972"
"BB3","Fostering services","6072.5604370589572","30","6042.5604370589572","989.39949920327797","7061.9599362622348","7031.9599362622348","0","95","57","152","6879.9599362622348","6909.9599362622348",NA,"6879.9599362622348"
"BB4","Other children looked after services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BB5","Total children looked after (lines BB1 to BB4)","10500.224903255177","256","10244.224903255177","8987.775096744821","19488","19232","0","533","66","599","18633","18889",NA,"18633"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","842.19319256224389","71","771.19319256224389","292.74755751654584","1134.9407500787897","1063.9407500787897","0","74","5","79","984.94075007878973","1055.9407500787897",NA,"984.94075007878973"
"BC2","Services for under 8s","504.66183422628427","0","504.66183422628427","215.19130160731169","719.85313583359596","719.85313583359596","0","7","0","7","712.85313583359596","712.85313583359596",NA,"712.85313583359596"
"BC3","Home care","712.20674440592495","0","712.20674440592495","0","712.20674440592495","712.20674440592495","0","7","0","7","705.20674440592495","705.20674440592495",NA,"705.20674440592495"
"BC4","Equipment and adaptations","190.06744405924991","0","190.06744405924991","0","190.06744405924991","190.06744405924991","12","51","1","64","126.06744405924991","126.06744405924991",NA,"138.06744405924991"
"BC5","Other family support services","788.93192562243939","9","779.93192562243939","0","788.93192562243939","779.93192562243939","0","50","1","51","728.93192562243939","737.93192562243939",NA,"728.93192562243939"
"BC6","Total family support services (lines BC1 to BC5)","3038.0611408761424","80","2958.0611408761424","507.93885912385753","3546","3466","12","189","7","208","3258","3338",NA,"3270"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","21.891515994436716","21.891515994436716","21.891515994436716","0","0","0","0","21.891515994436716","21.891515994436716",NA,"21.891515994436716"
"BD2","Youth offender teams","767.10848400556324","2","765.10848400556324","0","767.10848400556324","765.10848400556324","0","0","17","17","748.10848400556324","750.10848400556324",NA,"748.10848400556324"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD4","Total youth justice (lines BD1 to BD3)","767.10848400556324","2","765.10848400556324","21.891515994436716","789","787","0","0","17","17","770","772",NA,"770"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1267.8611313425588","0","1267.8611313425588","0","1267.8611313425588","1267.8611313425588","0","0","7","7","1260.8611313425588","1260.8611313425588",NA,"1260.8611313425588"
"BE2","Leaving care services","1496.1087642631708","2","1494.1087642631708","354.12672978878368","1850.2354940519544","1848.2354940519544","0","2","13","15","1833.2354940519544","1835.2354940519544",NA,"1833.2354940519544"
"BE3","Other other children's and families services","616.32872056324345","60","556.32872056324345","829.57465404224331","1445.9033746054868","1385.9033746054868","0","147","35","182","1203.9033746054868","1263.9033746054868",NA,"1203.9033746054868"
"BE4","Total other children's and families services (lines BE1 to BE3)","3380.2986161689732","62","3318.2986161689732","1183.701383831027","4564","4502","0","149","55","204","4298","4360",NA,"4298"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","26289.693144305857","421","25868.693144305857","10701.306855694142","36991","36570","12","1097","297","1406","35164","35585",NA,"35176"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","4881.4814721324719","20","4861.4814721324719","0","4881.4814721324719","4861.4814721324719","0","297","143","440","4421.4814721324719","4441.4814721324719",NA,"4421.4814721324719"
"C2","Nursing home placements","0","0","0","20559.905088852989","20559.905088852989","20559.905088852989","10296","53","0","10349","10210.905088852989","10210.905088852989",NA,"20506.905088852989"
"C3","Residential care home placements","19263.40549273021","1067","18196.40549273021","35508.6164680937","54772.021960823913","53705.021960823913","23142","522","252","23916","29789.021960823913","30856.021960823913",NA,"52931.021960823913"
"C4","Supported and other accommodation","175","175","0","0","175","0","0","0","0","0","0","175",NA,"0"
"C5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C6","Home care","15721.118083602585","154","15567.118083602585","5198.2166296445885","20919.334713247175","20765.334713247175","4414","158","2","4574","16191.334713247175","16345.334713247175",NA,"20605.334713247175"
"C7","Day care","440.15069668820678","60","380.15069668820678","1647.6726575121163","2087.8233542003231","2027.8233542003231","16","11","0","27","2000.8233542003231","2060.8233542003231",NA,"2016.8233542003231"
"C8","Equipment and adaptations","1603.9036247980614","6","1597.9036247980614","0","1603.9036247980614","1597.9036247980614","44","81","13","138","1459.9036247980614","1465.9036247980614",NA,"1503.9036247980614"
"C9","Meals","863.83476373182555","58","805.83476373182555","0","863.83476373182555","805.83476373182555","428","0","1","429","376.83476373182555","434.83476373182555",NA,"804.83476373182555"
"C10","Other services to older people","0","0","0","551.69502221324717","551.69502221324717","551.69502221324717","43","90","11","144","407.69502221324717","407.69502221324717",NA,"450.69502221324717"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","42948.89413368336","1540","41408.89413368336","63466.105866316633","106415","104875","38383","1212","422","40017","64858","66398",NA,"103241"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","3120.5586692435118","15","3105.5586692435118","0","3120.5586692435118","3105.5586692435118","0","72","26","98","3007.5586692435118","3022.5586692435118",NA,"3007.5586692435118"
"D2","Nursing home placements","0","0","0","2014.3871479845388","2014.3871479845388","2014.3871479845388","543","13","0","556","1458.3871479845388","1458.3871479845388",NA,"2001.3871479845388"
"D3","Residential care home placements","775.76125069022635","14","761.76125069022635","2002.4676974047488","2778.2289480949753","2764.2289480949753","622","13","23","658","2106.2289480949753","2120.2289480949753",NA,"2728.2289480949753"
"D4","Supported and other accommodation","0","0","0","35.758351739370511","35.758351739370511","35.758351739370511","0","0","0","0","35.758351739370511","35.758351739370511",NA,"35.758351739370511"
"D5","Direct payments","0","0","0","773.68070127001658","773.68070127001658","773.68070127001658","137","0","0","137","636.68070127001658","636.68070127001658",NA,"773.68070127001658"
"D6","Home care","1994.1303147432359","9","1985.1303147432359","2341.6302457205966","4335.760560463832","4326.760560463832","434","36","1","471","3855.760560463832","3864.760560463832",NA,"4289.760560463832"
"D7","Day care","627.28561568194368","118","509.28561568194368","734.67159028161234","1361.9572059635561","1243.9572059635561","2","4","18","24","1219.9572059635561","1337.9572059635561",NA,"1221.9572059635561"
"D8","Equipment and adaptations","761.42690502484811","4","757.42690502484811","0","761.42690502484811","757.42690502484811","20","37","6","63","694.42690502484811","698.42690502484811",NA,"714.42690502484811"
"D9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D10","Other services to adults with a physical disability or sensory impairment","210.04251794588626","28","182.04251794588626","495.19899226946438","705.24151021535067","677.24151021535067","41","60","3","104","573.24151021535067","601.24151021535067",NA,"614.24151021535067"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","7489.2052733296523","188","7301.2052733296523","8397.7947266703486","15887","15699","1799","235","77","2111","13588","13776",NA,"15387"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","1094.6096440872561","5","1089.6096440872561","0","1094.6096440872561","1089.6096440872561","0","110","1","111","978.60964408725613","983.60964408725613",NA,"978.60964408725613"
"E2","Nursing home placements","0","0","0","270.80941446613087","270.80941446613087","270.80941446613087","69","5","0","74","196.80941446613087","196.80941446613087",NA,"265.80941446613087"
"E3","Residential care home placements","700.00459242250281","49","651.00459242250281","15281.084959816304","15981.089552238807","15932.089552238807","3093","4214","37","7344","8588.0895522388073","8637.0895522388073",NA,"11681.089552238807"
"E4","Supported and other accommodation","1972.46383467279","46","1926.46383467279","0","1972.46383467279","1926.46383467279","72","579","247","898","1028.46383467279","1074.46383467279",NA,"1100.46383467279"
"E5","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E6","Home care","164.54764638346728","1","163.54764638346728","116.81974741676234","281.36739380022959","280.36739380022959","54","4","0","58","222.36739380022959","223.36739380022959",NA,"276.36739380022959"
"E7","Day care","5698.5614236509755","807","4891.5614236509755","2848.2778415614239","8546.8392652123985","7739.8392652123994","389","859","258","1506","6233.8392652123994","7040.8392652123985",NA,"6622.8392652123994"
"E8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","0","0","0","510.82089552238807","510.82089552238807","510.82089552238807","30","175","24","229","281.82089552238807","281.82089552238807",NA,"311.82089552238807"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","9630.187141216993","908","8722.187141216993","19027.812858783011","28658","27750","3707","5946","567","10220","17530","18438",NA,"21237"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F:","ADULTS AGED UNDER 65 WITH  MENTAL HEALTH NEEDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","Assessment and care management","2240.9999158320006","14","2226.9999158320006","0","2240.9999158320006","2226.9999158320006","0","229","25","254","1972.9999158320006","1986.9999158320006",NA,"1972.9999158320006"
