"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Oxfordshire","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","184","18","166","0","184","166","0","0","46","46","120","138",NA,"120"
"A2","Registration and inspection","817","0","817","0","817","817","137","0","24","161","656","656",NA,"793"
"A3","Complaints procedures","29","0","29","0","29","29","0","0","0","0","29","29",NA,"29"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","1030","18","1012","0","1030","1012","137","0","70","207","805","823",NA,"942"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","7548","85","7463","0","7548","7463","0","0","1","1","7462","7547",NA,"7462"
"BA2","GALRO","388","0","388","0","388","388","0","0","0","0","388","388",NA,"388"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","7936","85","7851","0","7936","7851","0","0","1","1","7850","7935",NA,"7850"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2821","280","2541","2921","5742","5462","0","0","0","0","5462","5742",NA,"5462"
"BB2","Secure accommodation (welfare)","278","0","278","0","278","278","0","0","0","0","278","278",NA,"278"
"BB3","Fostering services","3526","0","3526","263","3789","3789","24","0","0","24","3765","3765",NA,"3789"
"BB4","Other children looked after services","522","134","388","156","678","544","0","0","50","50","494","628",NA,"494"
"BB5","Total children looked after (lines BB1 to BB4)","7147","414","6733","3340","10487","10073","24","0","50","74","9999","10413",NA,"10023"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","133.5","66","67.5","736.5","870","804","4","79","164","247","557","623",NA,"561"
"BC2","Services for under 8s","346","0","346","238","584","584","0","0","0","0","584","584",NA,"584"
"BC3","Home care","207","0","207","10","217","217","65","0","0","65","152","152",NA,"217"
"BC4","Equipment and adaptations","189","0","189","0","189","189","2","0","0","2","187","187",NA,"189"
"BC5","Other family support services","109","0","109","940","1049","1049","0","15","6","21","1028","1028",NA,"1028"
"BC6","Total family support services (lines BC1 to BC5)","984.5","66","918.5","1924.5","2909","2843","71","94","170","335","2508","2574",NA,"2579"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","716","0","716","0","716","716","716","0","0","716","0","0",NA,"716"
"BD2","Youth offender teams","471","1","470","0","471","470","0","0","0","0","470","471",NA,"470"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD4","Total youth justice (lines BD1 to BD3)","1187","1","1186","0","1187","1186","716","0","0","716","470","471",NA,"1186"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","480","0","480","0","480","480","0","0","0","0","480","480",NA,"480"
"BE2","Leaving care services","31","0","31","223","254","254","0","0","0","0","254","254",NA,"254"
"BE3","Other other children's and families services","0","0","0","32","32","32","0","0","0","0","32","32",NA,"32"
"BE4","Total other children's and families services (lines BE1 to BE3)","511","0","511","255","766","766","0","0","0","0","766","766",NA,"766"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","17765.5","566","17199.5","5519.5","23285","22719","811","94","221","1126","21593","22159",NA,"22404"
