"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Staffordshire","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","706","3","703","9","715","712","0","0","21","21","691","694",NA,"691"
"A2","Registration and inspection","1272","9","1263","27","1299","1290","249","0","139","388","902","911",NA,"1151"
"A3","Complaints procedures","115","0","115","23","138","138","0","0","0","0","138","138",NA,"138"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","2093","12","2081","59","2152","2140","249","0","160","409","1731","1743",NA,"1980"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","9877","50","9827","880","10757","10707","7","0","564","571","10136","10186",NA,"10143"
"BA2","GALRO","170","3","167","311","481","478","0","0","111","111","367","370",NA,"367"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","10047","53","9994","1191","11238","11185","7","0","675","682","10503","10556",NA,"10510"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","4485","144","4341","3327","7812","7668","2","0","44","46","7622","7766",NA,"7624"
"BB2","Secure accommodation (welfare)","1094","119","975","86","1180","1061","81","0","978","1059","2","121",NA,"83"
"BB3","Fostering services","4094","5","4089","827","4921","4916","1","0","132","133","4783","4788",NA,"4784"
"BB4","Other children looked after services","92","0","92","0","92","92","0","0","0","0","92","92",NA,"92"
"BB5","Total children looked after (lines BB1 to BB4)","9765","268","9497","4240","14005","13737","84","0","1154","1238","12499","12767",NA,"12583"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","689","10","679","17","706","696","0","0","43","43","653","663",NA,"653"
"BC2","Services for under 8s","1783","127","1656","208","1991","1864","1","0","96","97","1767","1894",NA,"1768"
"BC3","Home care","0","0","0","13","13","13","0","0","0","0","13","13",NA,"13"
"BC4","Equipment and adaptations","342","1","341","2","344","343","3","0","5","8","335","336",NA,"338"
"BC5","Other family support services","1045","2","1043","80","1125","1123","0","0","5","5","1118","1120",NA,"1118"
"BC6","Total family support services (lines BC1 to BC5)","3859","140","3719","320","4179","4039","4","0","149","153","3886","4026",NA,"3890"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","730","80","650","58","788","708","54","0","652","706","2","82",NA,"56"
"BD2","Youth offender teams","1510","1","1509","42","1552","1551","0","0","474","474","1077","1078",NA,"1077"
"BD3","Other youth justice services","93","0","93","0","93","93","0","0","0","0","93","93",NA,"93"
"BD4","Total youth justice (lines BD1 to BD3)","2333","81","2252","100","2433","2352","54","0","1126","1180","1172","1253",NA,"1226"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","412","0","412","24","436","436","0","0","1","1","435","435",NA,"435"
"BE2","Leaving care services","533","3","530","196","729","726","0","0","7","7","719","722",NA,"719"
"BE3","Other other children's and families services","398","0","398","315","713","713","0","0","90","90","623","623",NA,"623"
"BE4","Total other children's and families services (lines BE1 to BE3)","1343","3","1340","535","1878","1875","0","0","98","98","1777","1780",NA,"1777"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","27347","545","26802","6386","33733","33188","149","0","3202","3351","29837","30382",NA,"29986"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","10002","50","9952","538","10540","10490","7","0","527","534","9956","10006",NA,"9963"
"C2","Nursing home placements","0","0","0","19686","19686","19686","7833","0","68","7901","11785","11785",NA,"19618"
"C3","Residential care home placements","14093","878","13215","16249","30342","29464","12818","0","483","13301","16163","17041",NA,"28981"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"C5","Direct payments","0","0","0","71","71","71","0","0","0","0","71","71",NA,"71"
"C6","Home care","11350","13","11337","6373","17723","17710","3069","0","580","3649","14061","14074",NA,"17130"
"C7","Day care","3763","236","3527","632","4395","4159","430","0","155","585","3574","3810",NA,"4004"
"C8","Equipment and adaptations","2440","6","2434","23","2463","2457","17","0","33","50","2407","2413",NA,"2424"
"C9","Meals","657","2","655","983","1640","1638","849","0","5","854","784","786",NA,"1633"
"C10","Other services to older people","1006","0","1006","2112","3118","3118","45","0","359","404","2714","2714",NA,"2759"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","43311","1185","42126","46667","89978","88793","25068","0","2210","27278","61515","62700",NA,"86583"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","620","3","617","29","649","646","0","0","33","33","613","616",NA,"613"
"D2","Nursing home placements","0","0","0","955","955","955","327","0","4","331","624","624",NA,"951"
"D3","Residential care home placements","461","22","439","1049","1510","1488","414","0","27","441","1047","1069",NA,"1461"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D5","Direct payments","0","0","0","5","5","5","0","0","0","0","5","5",NA,"5"
"D6","Home care","1089","1","1088","645","1734","1733","302","0","52","354","1379","1380",NA,"1681"
"D7","Day care","693","44","649","116","809","765","79","0","14","93","672","716",NA,"751"
"D8","Equipment and adaptations","678","2","676","7","685","683","5","0","10","15","668","670",NA,"673"
"D9","Meals","40","0","40","60","100","100","52","0","0","52","48","48",NA,"100"
"D10","Other services to adults with a physical disability or sensory impairment","65","0","65","239","304","304","1","0","25","26","278","278",NA,"279"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","3646","72","3574","3105","6751","6679","1180","0","165","1345","5334","5406",NA,"6514"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","678","3","675","27","705","702","0","0","28","28","674","677",NA,"674"
"E2","Nursing home placements","0","0","0","860","860","860","145","0","3","148","712","712",NA,"857"
"E3","Residential care home placements","7529","358","7171","4447","11976","11618","1593","0","929","2522","9096","9454",NA,"10689"
"E4","Supported and other accommodation","0","0","0","3816","3816","3816","6","0","3642","3648","168","168",NA,"174"
"E5","Direct payments","0","0","0","10","10","10","0","0","0","0","10","10",NA,"10"
"E6","Home care","222","0","222","38","260","260","41","0","70","111","149","149",NA,"190"
"E7","Day care","7312","547","6765","53","7365","6818","398","0","475","873","5945","6492",NA,"6343"
"E8","Equipment and adaptations","34","0","34","0","34","34","0","0","0","0","34","34",NA,"34"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","93","0","93","291","384","384","2","0","62","64","320","320",NA,"322"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","15868","908","14960","9542","25410","24502","2185","0","5209","7394","17108","18016",NA,"19293"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F:","ADULTS AGED UNDER 65 WITH  MENTAL HEALTH NEEDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","Assessment and care management","408","2","406","16","424","422","0","0","18","18","404","406",NA,"404"
"F2","Nursing home placements","0","0","0","800","800","800","200","0","7","207","593","593",NA,"793"
"F3","Residential care home placements","0","0","0","520","520","520","97","0","2","99","421","421",NA,"518"
"F4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F5","Direct payments","0","0","0","5","5","5","0","0","0","0","5","5",NA,"5"
"F6","Home care","325","0","325","44","369","369","56","0","11","67","302","302",NA,"358"
"F7","Day care","880","50","830","72","952","902","52","0","11","63","839","889",NA,"891"
"F8","Equipment and adaptations","17","0","17","0","17","17","0","0","0","0","17","17",NA,"17"
"F9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"F10","Other services to adults with mental health needs","1409","0","1409","745","2154","2154","30","0","290","320","1834","1834",NA,"1864"
"F11","TOTAL ADULTS AGED UNDER 65 WITH MENTAL HEALTH NEEDS (LINES F1 to F10)","3039","52","2987","2202","5241","5189","435","0","339","774","4415","4467",NA,"4850"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G:","ASYLUM SEEKERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G1","Assessment and care management","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"G2","Unaccompanied children","0","0","0","77","77","77","0","0","0","0","77","77",NA,"77"
"G3","Families","0","0","0","155","155","155","0","0","0","0","155","155",NA,"155"
"G4","Lone adults","0","0","0","686","686","686","0","0","0","0","686","686",NA,"686"
"G5","TOTAL ASYLUM SEEKERS (LINES G1 to G4)","0","0","0","918","918","918","0","0","0","0","918","918",NA,"918"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H:","OTHER ADULT SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H1","Assessment and care management","228","1","227","11","239","238","0","0","12","12","226","227",NA,"226"
"H2","HIV/AIDS","0","0","0","26","26","26","0","0","0","0","26","26",NA,"26"
"H3","Substance abuse (addictions)","148","8","140","365","513","505","56","0","18","74","431","439",NA,"487"
"H4","Other other adult services","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"H5","TOTAL OTHER ADULT SERVICES (LINES H1 to H4)","376","9","367","402","778","769","56","0","30","86","683","692",NA,"739"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
