"PSS EXPENDITURE IN 2000-2001 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","PSS EX1 Return for 2000-2001","...15","...16"
"All amounts are in £ thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Waltham Forest","GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET",NA,"GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL",NA,"CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST",NA,"EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L",NA,NA
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","28","0","28","0","28","28","0","0","0","0","28","28",NA,"28"
"A2","Registration and inspection","432","0","432","0","432","432","72","0","0","72","360","360",NA,"432"
"A3","Complaints procedures","103","0","103","0","103","103","0","0","0","0","103","103",NA,"103"
"A4","TOTAL SERVICE STRATEGY (LINES A1 to A3)","563","0","563","0","563","563","72","0","0","72","491","491",NA,"563"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work (excluding GALRO)","3614","36","3578","56","3670","3634","0","0","79","79","3555","3591",NA,"3555"
"BA2","GALRO","119","0","119","0","119","119","0","0","0","0","119","119",NA,"119"
"BA3","Total children's services - commissioning and social work (lines BA1 to BA2)","3733","36","3697","56","3789","3753","0","0","79","79","3674","3710",NA,"3674"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","693","49","644","3646","4339","4290","3","0","20","23","4267","4316",NA,"4270"
"BB2","Secure accommodation (welfare)","0","0","0","117","117","117","0","0","0","0","117","117",NA,"117"
"BB3","Fostering services","2685","0","2685","1082","3767","3767","0","0","55","55","3712","3712",NA,"3712"
"BB4","Other children looked after services","634","0","634","306","940","940","3","0","20","23","917","917",NA,"920"
"BB5","Total children looked after (lines BB1 to BB4)","4012","49","3963","5151","9163","9114","6","0","95","101","9013","9062",NA,"9019"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","164","8","156","0","164","156","0","0","1","1","155","163",NA,"155"
"BC2","Services for under 8s","2345","86","2259","66","2411","2325","401","0","12","413","1912","1998",NA,"2313"
"BC3","Home care","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BC4","Equipment and adaptations","48","0","48","0","48","48","0","0","0","0","48","48",NA,"48"
"BC5","Other family support services","271","0","271","0","271","271","0","0","0","0","271","271",NA,"271"
"BC6","Total family support services (lines BC1 to BC5)","2828","94","2734","66","2894","2800","401","0","13","414","2386","2480",NA,"2787"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"BD2","Youth offender teams","435","0","435","0","435","435","0","0","0","0","435","435",NA,"435"
"BD3","Other youth justice services","79","0","79","9","88","88","0","0","39","39","49","49",NA,"49"
"BD4","Total youth justice (lines BD1 to BD3)","514","0","514","9","523","523","0","0","39","39","484","484",NA,"484"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","310","0","310","0","310","310","0","0","0","0","310","310",NA,"310"
"BE2","Leaving care services","1104","31","1073","4","1108","1077","0","0","9","9","1068","1099",NA,"1068"
"BE3","Other other children's and families services","1438","134","1304","467","1905","1771","0","0","68","68","1703","1837",NA,"1703"
"BE4","Total other children's and families services (lines BE1 to BE3)","2852","165","2687","471","3323","3158","0","0","77","77","3081","3246",NA,"3081"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA3+BB5+BC6+BD4+BE4)","13939","344","13595","5753","19692","19348","407","0","303","710","18638","18982",NA,"19045"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5561","155","5406","0","5561","5406","0","0","401","401","5005","5160",NA,"5005"
"C2","Nursing home placements","0","0","0","1809","1809","1809","474","0","0","474","1335","1335",NA,"1809"
"C3","Residential care home placements","4416","404","4012","7025","11441","11037","3174","0","554","3728","7309","7713",NA,"10483"
"C4","Supported and other accommodation","1009","0","1009","0","1009","1009","2","0","990","992","17","17",NA,"19"
"C5","Direct payments","0","0","0","221","221","221","0","0","0","0","221","221",NA,"221"
"C6","Home care","5526","0","5526","2969","8495","8495","538","0","0","538","7957","7957",NA,"8495"
"C7","Day care","1654","45","1609","0","1654","1609","43","0","99","142","1467","1512",NA,"1510"
"C8","Equipment and adaptations","428","0","428","0","428","428","46","0","0","46","382","382",NA,"428"
"C9","Meals","77","2","75","55","132","130","18","0","0","18","112","114",NA,"130"
"C10","Other services to older people","514","0","514","1857","2371","2371","0","0","61","61","2310","2310",NA,"2310"
"C11","TOTAL OLDER PEOPLE (LINES C1 to C10)","19185","606","18579","13936","33121","32515","4295","0","2105","6400","26115","26721",NA,"30410"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","1055","0","1055","0","1055","1055","0","0","0","0","1055","1055",NA,"1055"
"D2","Nursing home placements","0","0","0","599","599","599","92","0","0","92","507","507",NA,"599"
"D3","Residential care home placements","0","0","0","975","975","975","363","0","0","363","612","612",NA,"975"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D5","Direct payments","0","0","0","245","245","245","0","0","0","0","245","245",NA,"245"
"D6","Home care","0","0","0","205","205","205","0","0","0","0","205","205",NA,"205"
"D7","Day care","420","59","361","240","660","601","4","0","0","4","597","656",NA,"601"
"D8","Equipment and adaptations","49","0","49","0","49","49","0","0","0","0","49","49",NA,"49"
"D9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"D10","Other services to adults with a physical disability or sensory impairment","63","0","63","778","841","841","0","0","49","49","792","792",NA,"792"
"D11","TOTAL ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY ETC (LINES D1 to D10)","1587","59","1528","3042","4629","4570","459","0","49","508","4062","4121",NA,"4521"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E:","ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E1","Assessment and care management","758","0","758","0","758","758","0","0","0","0","758","758",NA,"758"
"E2","Nursing home placements","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E3","Residential care home placements","694","47","647","4262","4956","4909","1230","0","77","1307","3602","3649",NA,"4832"
"E4","Supported and other accommodation","349","15","334","0","349","334","6","0","14","20","314","329",NA,"320"
"E5","Direct payments","0","0","0","8","8","8","0","0","0","0","8","8",NA,"8"
"E6","Home care","0","0","0","1223","1223","1223","0","0","0","0","1223","1223",NA,"1223"
"E7","Day care","1915","54","1861","426","2341","2287","2","0","32","34","2253","2307",NA,"2255"
"E8","Equipment and adaptations","5","0","5","0","5","5","0","0","0","0","5","5",NA,"5"
"E9","Meals","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0"
"E10","Other services to adults with learning disabilities","1046","57","989","426","1472","1415","45","0","228","273","1142","1199",NA,"1187"
"E11","TOTAL ADULTS AGED UNDER 65 WITH LEARNING DISABILITIES (LINES E1 to E10)","4767","173","4594","6345","11112","10939","1283","0","351","1634","9305","9478",NA,"10588"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
