"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Barnet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","207","0","207","0","207","207","0","0","0","0","207","207","207"
"A2","Complaints procedures","18","0","18","0","18","18","0","0","0","0","18","18","18"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","225","0","225","0","225","225","0","0","0","0","225","225","225"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","9293","70","9223","0","9293","9223","0","0","103","103","9120","9190","9120"
"BA2","Total children's services - commissioning and social work (line BA1)","9293","70","9223","0","9293","9223","0","0","103","103","9120","9190","9120"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","996","15","981","4590","5586","5571","0","0","0","0","5571","5586","5571"
"BB2","Secure accommodation (welfare)","0","0","0","190","190","190","0","0","0","0","190","190","190"
"BB3","Fostering services","2754","0","2754","5969","8723","8723","47","0","0","47","8676","8676","8723"
"BB4","Other children looked after services","567","0","567","271","838","838","0","0","0","0","838","838","838"
"BB5","Total children looked after (lines BB1 to BB4)","4317","15","4302","11020","15337","15322","47","0","0","47","15275","15290","15322"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","704","96","608","0","704","608","1","0","0","1","607","703","608"
"BC2","Services for under 8s","3214","228","2986","0","3214","2986","54","0","2","56","2930","3158","2984"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","1019","0","1019","0","1019","1019","0","0","92","92","927","927","927"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC7","Total family support services (lines BC1 to BC6)","4937","324","4613","0","4937","4613","55","0","94","149","4464","4788","4519"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","596","0","596","0","596","596","46","0","23","69","527","527","573"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","596","0","596","0","596","596","46","0","23","69","527","527","573"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","386","0","386","52","438","438","0","0","0","0","438","438","438"
"BE2","Leaving care services","420","0","420","972","1392","1392","0","0","0","0","1392","1392","1392"
"BE3","Other other children's and families services","694","71","623","0","694","623","0","0","0","0","623","694","623"
"BE4","Total other children's and families services (lines BE1 to BE3)","1500","71","1429","1024","2524","2453","0","0","0","0","2453","2524","2453"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","20643","480","20163","12044","32687","32207","148","0","220","368","31839","32319","31987"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","3891","8","3883","0","3891","3883","0","3","0","3","3880","3888","3880"
"C2","Nursing care placements","0","0","0","7161","7161","7161","1661","1459","0","3120","4041","4041","5702"
"C3","Residential care placements","0","0","0","20369","20369","20369","4968","493","0","5461","14908","14908","19876"
"C4","Supported and other accommodation","0","0","0","0","0","0","7","0","0","7","-7","-7","0"
"C5","Direct payments","0","0","0","467","467","467","0","0","0","0","467","467","467"
"C6","Home care","90","0","90","8886","8976","8976","1031","0","0","1031","7945","7945","8976"
"C7","Day care","703","13","690","1455","2158","2145","41","82","0","123","2022","2035","2063"
"C8","Equipment and adaptations","0","0","0","4","4","4","0","0","0","0","4","4","4"
"C9","Meals","564","0","564","64","628","628","596","0","0","596","32","32","628"
"C10","Other services to older people","1021","41","980","1185","2206","2165","34","0","0","34","2131","2172","2165"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","6269","62","6207","39591","45860","45798","8338","2037","0","10375","35423","35485","43761"
"C12","Supporting People","0","0","0","1370","1370","1370","0","0","0","0","1370","1370","1370"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","6269","62","6207","40961","47230","47168","8338","2037","0","10375","36793","36855","45131"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2479","0","2479","0","2479","2479","7","0","0","7","2472","2472","2479"
"D2","Nursing care placements","0","0","0","265","265","265","70","0","0","70","195","195","265"
"D3","Residential care placements","0","0","0","1685","1685","1685","174","288","0","462","1223","1223","1397"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D5","Direct payments","0","0","0","1191","1191","1191","0","0","0","0","1191","1191","1191"
