"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Camden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","808","0","808","0","808","808","0","0","0","0","808","808","808"
"A2","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","808","0","808","0","808","808","0","0","0","0","808","808","808"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","10034","0","10034","556","10590","10590","0","0","364","364","10226","10226","10226"
"BA2","Total children's services - commissioning and social work (line BA1)","10034","0","10034","556","10590","10590","0","0","364","364","10226","10226","10226"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","0","0","6261","6261","6261","0","0","0","0","6261","6261","6261"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB3","Fostering services","2642","0","2642","2883","5525","5525","0","0","0","0","5525","5525","5525"
"BB4","Other children looked after services","652","0","652","177","829","829","0","0","0","0","829","829","829"
"BB5","Total children looked after (lines BB1 to BB4)","3294","0","3294","9321","12615","12615","0","0","0","0","12615","12615","12615"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","731","18","713","830","1561","1543","4","0","25","29","1514","1532","1518"
"BC2","Services for under 8s","1295","0","1295","0","1295","1295","0","0","0","0","1295","1295","1295"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","1282","0","1282","682","1964","1964","0","0","153","153","1811","1811","1811"
"BC7","Total family support services (lines BC1 to BC6)","3308","18","3290","1512","4820","4802","4","0","178","182","4620","4638","4624"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","1006","0","1006","888","1894","1894","0","0","1198","1198","696","696","696"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","1006","0","1006","888","1894","1894","0","0","1198","1198","696","696","696"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","837","0","837","234","1071","1071","23","0","0","23","1048","1048","1071"
"BE2","Leaving care services","545","0","545","1004","1549","1549","0","0","1","1","1548","1548","1548"
"BE3","Other other children's and families services","77","17","60","0","77","60","0","0","0","0","60","77","60"
"BE4","Total other children's and families services (lines BE1 to BE3)","1459","17","1442","1238","2697","2680","23","0","1","24","2656","2673","2679"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","19101","35","19066","13515","32616","32581","27","0","1741","1768","30813","30848","30840"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","4128","4","4124","427","4555","4551","56","0","154","210","4341","4345","4397"
"C2","Nursing care placements","0","0","0","5967","5967","5967","1433","0","0","1433","4534","4534","5967"
"C3","Residential care placements","6877.3740566000006","362.56831999999997","6514.8057366000003","9474","16351.374056600001","15988.805736599999","3297","0","22","3319","12669.805736599999","13032.374056600001","15966.805736599999"
"C4","Supported and other accommodation","0","0","0","17","17","17","8","0","0","8","9","9","17"
"C5","Direct payments","0","0","0","679","679","679","36","0","0","36","643","643","679"
"C6","Home care","3270","0","3270","7945","11215","11215","164","0","68","232","10983","10983","11147"
"C7","Day care","2538","48","2490","428","2966","2918","60","0","26","86","2832","2880","2892"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","980","0","980","0","980","980","326","0","0","326","654","654","980"
"C10","Other services to older people","421","0","421","1712","2133","2133","0","0","9","9","2124","2124","2124"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","18214.374056599998","414.56831999999997","17799.805736599999","26649","44863.374056599998","44448.805736599999","5380","0","279","5659","38789.805736599999","39204.374056599998","44169.805736599999"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","18214.374056599998","414.56831999999997","17799.805736599999","26649","44863.374056599998","44448.805736599999","5380","0","279","5659","38789.805736599999","39204.374056599998","44169.805736599999"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2128","0","2128","105","2233","2233","4","0","53","57","2176","2176","2180"
