"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Croydon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","182.70967741935485","0","182.70967741935485","0","182.70967741935485","182.70967741935485","0","0","0","0","182.70967741935485","182.70967741935485","182.70967741935485"
"A2","Complaints procedures","73.290322580645167","0","73.290322580645167","0","73.290322580645167","73.290322580645167","0","0","0","0","73.290322580645167","73.290322580645167","73.290322580645167"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","256","0","256","0","256","256","0","0","0","0","256","256","256"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","9757","67","9690","285","10042","9975","0","0","108","108","9867","9934","9867"
"BA2","Total children's services - commissioning and social work (line BA1)","9757","67","9690","285","10042","9975","0","0","108","108","9867","9934","9867"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2856.505032021958","226","2630.505032021958","3472","6328.505032021958","6102.505032021958","0","0","0","0","6102.505032021958","6328.505032021958","6102.505032021958"
"BB2","Secure accommodation (welfare)","0","0","0","217","217","217","0","0","0","0","217","217","217"
"BB3","Fostering services","4373.494967978042","0","4373.494967978042","3227","7600.494967978042","7600.494967978042","0","0","0","0","7600.494967978042","7600.494967978042","7600.494967978042"
"BB4","Other children looked after services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB5","Total children looked after (lines BB1 to BB4)","7230","226","7004","6916","14146","13920","0","0","0","0","13920","14146","13920"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","243.14965986394557","43","200.14965986394557","228","471.14965986394554","428.14965986394554","0","90","0","90","338.14965986394554","381.14965986394554","338.14965986394554"
"BC2","Services for under 8s","0","0","0","524","524","524","0","0","0","0","524","524","524"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","0","0","0","317","317","317","0","0","0","0","317","317","317"
"BC6","Other family support services","1411.8503401360545","47","1364.8503401360545","1352","2763.8503401360545","2716.8503401360545","0","36","2","38","2678.8503401360545","2725.8503401360545","2678.8503401360545"
"BC7","Total family support services (lines BC1 to BC6)","1655","90","1565","2421","4076","3986","0","126","2","128","3858","3948","3858"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","1247.4202152550304","21","1226.4202152550304","68","1315.4202152550304","1294.4202152550304","0","47","303","350","944.42021525503037","965.42021525503037","944.42021525503037"
"BD3","Other youth justice services","939.57978474496963","0","939.57978474496963","0","939.57978474496963","939.57978474496963","0","0","924","924","15.579784744969629","15.579784744969629","15.579784744969629"
"BD4","Total youth justice (lines BD1 to BD3)","2187","21","2166","68","2255","2234","0","47","1227","1274","960","981","960"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","935.76485303314576","0","935.76485303314576","180","1115.7648530331458","1115.7648530331458","32","0","0","32","1083.7648530331458","1083.7648530331458","1115.7648530331458"
"BE2","Leaving care services","794.23514696685424","18","776.23514696685424","1550","2344.2351469668542","2326.2351469668542","0","0","51","51","2275.2351469668542","2293.2351469668542","2275.2351469668542"
"BE3","Other other children's and families services","0","0","0","346","346","346","0","0","0","0","346","346","346"
"BE4","Total other children's and families services (lines BE1 to BE3)","1730","18","1712","2076","3806","3788","32","0","51","83","3705","3723","3737"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","22559","422","22137","11766","34325","33903","32","173","1388","1593","32310","32732","32342"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","6167.9077114546935","0","6167.9077114546935","111","6278.9077114546935","6278.9077114546935","0","100","34","134","6144.9077114546935","6144.9077114546935","6144.9077114546935"
"C2","Nursing care placements","0","0","0","10997","10997","10997","3972","0","0","3972","7025","7025","10997"
"C3","Residential care placements","7253.3991671054519","606","6647.3991671054519","9223","16476.399167105454","15870.399167105452","5774","0","9","5783","10087.399167105452","10693.399167105454","15861.399167105452"
"C4","Supported and other accommodation","377.04504332008997","0","377.04504332008997","46","423.04504332008997","423.04504332008997","278","0","1","279","144.04504332008997","144.04504332008997","422.04504332008997"
"C5","Direct payments","0","0","0","357","357","357","0","0","0","0","357","357","357"
"C6","Home care","4594.2463261691637","0","4594.2463261691637","5991","10585.246326169163","10585.246326169163","1257","0","0","1257","9328.2463261691628","9328.2463261691628","10585.246326169163"
"C7","Day care","1721.5221865875258","0","1721.5221865875258","202","1923.5221865875258","1923.5221865875258","173","0","0","173","1750.5221865875258","1750.5221865875258","1923.5221865875258"
"C8","Equipment and adaptations","435.13321526015989","0","435.13321526015989","107","542.13321526015989","542.13321526015989","0","0","0","0","542.13321526015989","542.13321526015989","542.13321526015989"
