"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Gateshead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","262.43200000000002","0","262.43200000000002","0","262.43200000000002","262.43200000000002","0","0","0","0","262.43200000000002","262.43200000000002","262.43200000000002"
"A2","Complaints procedures","43.432000000000002","0","43.432000000000002","0","43.432000000000002","43.432000000000002","0","0","0","0","43.432000000000002","43.432000000000002","43.432000000000002"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","305.86400000000003","0","305.86400000000003","0","305.86400000000003","305.86400000000003","0","0","0","0","305.86400000000003","305.86400000000003","305.86400000000003"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","3501.7199999999998","0","3501.7199999999998","0","3501.7199999999998","3501.7199999999998","0","117.158","2.1030000000000002","119.261","3382.4589999999998","3382.4589999999998","3382.4589999999998"
"BA2","Total children's services - commissioning and social work (line BA1)","3501.7199999999998","0","3501.7199999999998","0","3501.7199999999998","3501.7199999999998","0","117.158","2.1030000000000002","119.261","3382.4589999999998","3382.4589999999998","3382.4589999999998"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2419.1640000000002","64","2355.1640000000002","870.86099999999999","3290.0250000000001","3226.0250000000001","0.032000000000000001","168.52600000000001","0","168.55800000000002","3057.4670000000001","3121.4670000000001","3057.4990000000003"
"BB2","Secure accommodation (welfare)","0","0","0","0.02","0.02","0.02","0","0","0","0","0.02","0.02","0.02"
"BB3","Fostering services","1462.3199999999999","0","1462.3199999999999","1885.6079999999999","3347.9279999999999","3347.9279999999999","0","0","54.969000000000001","54.969000000000001","3292.9589999999998","3292.9589999999998","3292.9589999999998"
"BB4","Other children looked after services","423.74000000000001","0","423.74000000000001","0","423.74000000000001","423.74000000000001","0","0","0.014999999999999999","0.014999999999999999","423.72500000000002","423.72500000000002","423.72500000000002"
"BB5","Total children looked after (lines BB1 to BB4)","4305.2240000000002","64","4241.2240000000002","2756.489","7061.7129999999997","6997.7129999999997","0.032000000000000001","168.52600000000001","54.984000000000002","223.542","6774.1709999999994","6838.1709999999994","6774.2029999999995"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","686.76800000000003","8.3089999999999993","678.45900000000006","0","686.76800000000003","678.45900000000006","0","0","0","0","678.45900000000006","686.76800000000003","678.45900000000006"
"BC2","Services for under 8s","466.57499999999999","3.504","463.07099999999997","180.87899999999999","647.45399999999995","643.95000000000005","0","0","0","0","643.95000000000005","647.45399999999995","643.95000000000005"
"BC3","Direct payments","0","0","0","0.0060000000000000001","0.0060000000000000001","0.0060000000000000001","0","0","0","0","0.0060000000000000001","0.0060000000000000001","0.0060000000000000001"
"BC4","Home care","0","0","0","0.017000000000000001","0.017000000000000001","0.017000000000000001","0.11600000000000001","0","0","0.11600000000000001","-0.099000000000000005","-0.099000000000000005","0.017000000000000001"
"BC5","Equipment and adaptations","0.010999999999999999","0","0.010999999999999999","0","0.010999999999999999","0.010999999999999999","0","0","0","0","0.010999999999999999","0.010999999999999999","0.010999999999999999"
"BC6","Other family support services","338.97199999999998","0","338.97199999999998","22.748999999999999","361.721","361.721","0","6.0090000000000003","0","6.0090000000000003","355.71199999999999","355.71199999999999","355.71199999999999"
"BC7","Total family support services (lines BC1 to BC6)","1492.326","11.812999999999999","1480.5129999999999","203.65099999999998","1695.9770000000001","1684.164","0.11600000000000001","6.0090000000000003","0","6.125","1678.039","1689.8520000000001","1678.155"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","1263.2560000000001","0","1263.2560000000001","121.273","1384.529","1384.529","35.051000000000002","55.081000000000003","53.073999999999998","143.20600000000002","1241.3229999999999","1241.3229999999999","1276.374"
"BD3","Other youth justice services","230.48500000000001","0","230.48500000000001","0","230.48500000000001","230.48500000000001","0","0","0","0","230.48500000000001","230.48500000000001","230.48500000000001"
"BD4","Total youth justice (lines BD1 to BD3)","1493.741","0","1493.741","121.273","1615.0139999999999","1615.0139999999999","35.051000000000002","55.081000000000003","53.073999999999998","143.20600000000002","1471.808","1471.808","1506.8589999999999"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","784.62800000000004","0","784.62800000000004","0","784.62800000000004","784.62800000000004","0","0","-0.043999999999999997","-0.043999999999999997","784.67200000000003","784.67200000000003","784.67200000000003"
"BE2","Leaving care services","968.31299999999999","0","968.31299999999999","0","968.31299999999999","968.31299999999999","0","0","0","0","968.31299999999999","968.31299999999999","968.31299999999999"
"BE3","Other other children's and families services","1136.2270000000001","0","1136.2270000000001","241.30699999999999","1377.5340000000001","1377.5340000000001","0","18.777000000000001","21.541","40.317999999999998","1337.2160000000001","1337.2160000000001","1337.2160000000001"
"BE4","Total other children's and families services (lines BE1 to BE3)","2889.1680000000001","0","2889.1680000000001","241.30699999999999","3130.4749999999999","3130.4749999999999","0","18.777000000000001","21.497","40.274000000000001","3090.201","3090.201","3090.201"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
