"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Gloucestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","215.76697000000001","1","214.76697000000001","0","215.76697000000001","214.76697000000001","0","0","1","1","213.76697000000001","214.76697000000001","213.76697000000001"
"A2","Complaints procedures","148.76678000000001","5","143.76678000000001","0","148.76678000000001","143.76678000000001","0","0","13","13","130.76678000000001","135.76678000000001","130.76678000000001"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","364.53375","6","358.53375","0","364.53375","358.53375","0","0","14","14","344.53375","350.53375","344.53375"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","8141.4629599999989","57","8084.4629599999989","0","8141.4629599999989","8084.4629599999989","0","0","-36","-36","8120.4629599999989","8177.4629599999989","8120.4629599999989"
"BA2","Total children's services - commissioning and social work (line BA1)","8141.4629599999989","57","8084.4629599999989","0","8141.4629599999989","8084.4629599999989","0","0","-36","-36","8120.4629599999989","8177.4629599999989","8120.4629599999989"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","3420.5417699999998","243","3177.5417699999998","3549.768869999999","6970.3106399999988","6727.3106399999988","16","221","668","905","5822.3106399999988","6065.3106399999988","5838.3106399999988"
"BB2","Secure accommodation (welfare)","64.543999999999997","2","62.543999999999997","0","64.543999999999997","62.543999999999997","0","0","0","0","62.543999999999997","64.543999999999997","62.543999999999997"
"BB3","Fostering services","5024.7564900000007","22","5002.7564900000007","2848.915","7873.6714900000006","7851.6714900000006","0","191","8","199","7652.6714900000006","7674.6714900000006","7652.6714900000006"
"BB4","Other children looked after services","184.06854999999999","5","179.06854999999999","0.002","184.07055","179.07055","0","0","6","6","173.07055","178.07055","173.07055"
"BB5","Total children looked after (lines BB1 to BB4)","8693.9108100000012","272","8421.9108100000012","6398.6858699999993","15092.596680000001","14820.596680000001","16","412","682","1110","13710.596680000001","13982.596680000001","13726.596680000001"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","678.60482999999999","37","641.60482999999999","0","678.60482999999999","641.60482999999999","0","0","0","0","641.60482999999999","678.60482999999999","641.60482999999999"
"BC2","Services for under 8s","29.745999999999999","1","28.745999999999999","0","29.745999999999999","28.745999999999999","0","0","0","0","28.745999999999999","29.745999999999999","28.745999999999999"
"BC3","Direct payments","0","0","0","45.451999999999998","45.451999999999998","45.451999999999998","0","0","0","0","45.451999999999998","45.451999999999998","45.451999999999998"
"BC4","Home care","39.313000000000002","3","36.313000000000002","0.001","39.314","36.314","0","0","2","2","34.314","37.314","34.314"
"BC5","Equipment and adaptations","193.62437","0","193.62437","0","193.62437","193.62437","0","0","34","34","159.62437","159.62437","159.62437"
"BC6","Other family support services","3009.6057400000004","47","2962.6057400000004","186.29545000000002","3195.9011900000005","3148.9011900000005","0","40","1","41","3107.9011900000005","3154.9011900000005","3107.9011900000005"
"BC7","Total family support services (lines BC1 to BC6)","3950.8939400000004","88","3862.8939400000004","231.74845000000002","4182.64239","4094.6423900000004","0","40","37","77","4017.6423900000004","4105.64239","4017.6423900000004"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","6","-6","31.899000000000001","31.899000000000001","25.899000000000001","0","0","0","0","25.899000000000001","31.899000000000001","25.899000000000001"
"BD2","Youth offender teams","1975.6357700000001","16","1959.6357700000001","20.236849999999997","1995.8726200000001","1979.8726200000001","0","0","0","0","1979.8726200000001","1995.8726200000001","1979.8726200000001"
"BD3","Other youth justice services","19.254999999999999","1","18.254999999999999","0","19.254999999999999","18.254999999999999","0","0","1","1","17.254999999999999","18.254999999999999","17.254999999999999"
"BD4","Total youth justice (lines BD1 to BD3)","1994.8907700000002","23","1971.8907700000002","52.135849999999998","2047.0266200000001","2024.0266200000001","0","0","1","1","2023.0266200000001","2046.0266200000001","2023.0266200000001"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1273.53745","14","1259.53745","138.43025","1411.9677000000001","1397.9677000000001","7","0","19","26","1371.9677000000001","1385.9677000000001","1378.9677000000001"
"BE2","Leaving care services","950.52918","8","942.52918","29.531110000000002","980.06029000000001","972.06029000000001","42","0","0","42","930.06029000000001","938.06029000000001","972.06029000000001"
"BE3","Other other children's and families services","1012.57952","4","1008.57952","0","1012.57952","1008.57952","23","0","0","23","985.57952","989.57952","1008.57952"
"BE4","Total other children's and families services (lines BE1 to BE3)","3236.6461500000005","26","3210.6461500000005","167.96136000000001","3404.6075100000007","3378.6075100000007","72","0","19","91","3287.6075100000007","3313.6075100000007","3359.6075100000007"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","26017.804630000002","466","25551.804630000002","6850.5315299999993","32868.336159999999","32402.336160000003","88","452","703","1243","31159.336160000003","31625.336159999999","31247.336160000003"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
