"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Kent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","459","0","459","0","459","459","0","0","-2","-2","461","461","461"
"A2","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","459","0","459","0","459","459","0","0","-2","-2","461","461","461"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","16392","0","16392","0","16392","16392","0","0","516","516","15876","15876","15876"
"BA2","Total children's services - commissioning and social work (line BA1)","16392","0","16392","0","16392","16392","0","0","516","516","15876","15876","15876"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2855","136","2719","5055","7910","7774","0","0","558","558","7216","7352","7216"
"BB2","Secure accommodation (welfare)","0","0","0","64","64","64","0","0","0","0","64","64","64"
"BB3","Fostering services","18467","0","18467","2647","21114","21114","0","0","298","298","20816","20816","20816"
"BB4","Other children looked after services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB5","Total children looked after (lines BB1 to BB4)","21322","136","21186","7766","29088","28952","0","0","856","856","28096","28232","28096"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","8078","364","7714","1434","9512","9148","0","0","933","933","8215","8579","8215"
"BC2","Services for under 8s","761","0","761","0","761","761","0","0","165","165","596","596","596"
"BC3","Direct payments","0","0","0","33","33","33","0","0","0","0","33","33","33"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","70","0","70","0","70","70","0","0","0","0","70","70","70"
"BC6","Other family support services","0","0","0","2143","2143","2143","0","0","113","113","2030","2030","2030"
"BC7","Total family support services (lines BC1 to BC6)","8909","364","8545","3610","12519","12155","0","0","1211","1211","10944","11308","10944"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","309","309","309","0","0","0","0","309","309","309"
"BD2","Youth offender teams","5061","0","5061","0","5061","5061","0","0","1701","1701","3360","3360","3360"
"BD3","Other youth justice services","187","0","187","0","187","187","0","0","0","0","187","187","187"
"BD4","Total youth justice (lines BD1 to BD3)","5248","0","5248","309","5557","5557","0","0","1701","1701","3856","3856","3856"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1975","0","1975","2251","4226","4226","0","0","43","43","4183","4183","4183"
"BE2","Leaving care services","2249","0","2249","846","3095","3095","0","0","12","12","3083","3083","3083"
"BE3","Other other children's and families services","124","0","124","5338","5462","5462","0","0","440","440","5022","5022","5022"
"BE4","Total other children's and families services (lines BE1 to BE3)","4348","0","4348","8435","12783","12783","0","0","495","495","12288","12288","12288"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","56219","500","55719","20120","76339","75839","0","0","4779","4779","71060","71560","71060"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","12342","0","12342","0","12342","12342","0","0","380","380","11962","11962","11962"
"C2","Nursing care placements","0","0","0","34259","34259","34259","9368","0","251","9619","24640","24640","34008"
"C3","Residential care placements","14857","738","14119","71409","86266","85528","27863","0","530","28393","57135","57873","84998"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","220","220","220","1","0","0","1","219","219","220"
"C6","Home care","3768","0","3768","32200","35968","35968","6600","0","452","7052","28916","28916","35516"
"C7","Day care","3174","98","3076","1667","4841","4743","252","0","29","281","4462","4560","4714"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","0","0","0","2795","2795","2795","1561","0","1","1562","1233","1233","2794"
"C10","Other services to older people","0","0","0","6353","6353","6353","0","0","151","151","6202","6202","6202"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","34141","836","33305","148903","183044","182208","45645","0","1794","47439","134769","135605","180414"
"C12","Supporting People","12033","0","12033","0","12033","12033","0","0","0","0","12033","12033","12033"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","46174","836","45338","148903","195077","194241","45645","0","1794","47439","146802","147638","192447"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2365","0","2365","0","2365","2365","0","0","69","69","2296","2296","2296"
"D2","Nursing care placements","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D3","Residential care placements","-10","0","-10","13579","13569","13569","1861","0","436","2297","11272","11272","13133"
