"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Lambeth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","1382","9","1373","262","1644","1635","6","161","80","247","1388","1397","1394"
"A2","Complaints procedures","56","0","56","0","56","56","0","0","0","0","56","56","56"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","1438","9","1429","262","1700","1691","6","161","80","247","1444","1453","1450"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","16486","225","16261","103","16589","16364","0","0","166","166","16198","16423","16198"
"BA2","Total children's services - commissioning and social work (line BA1)","16486","225","16261","103","16589","16364","0","0","166","166","16198","16423","16198"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","0","0","7945","7945","7945","0","0","87","87","7858","7858","7858"
"BB2","Secure accommodation (welfare)","0","0","0","187","187","187","0","0","0","0","187","187","187"
"BB3","Fostering services","2087","0","2087","9349","11436","11436","0","0","1","1","11435","11435","11435"
"BB4","Other children looked after services","0","0","0","1031","1031","1031","0","0","0","0","1031","1031","1031"
"BB5","Total children looked after (lines BB1 to BB4)","2087","0","2087","18512","20599","20599","0","0","88","88","20511","20511","20511"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC2","Services for under 8s","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","0","0","0","1757","1757","1757","0","0","0","0","1757","1757","1757"
"BC7","Total family support services (lines BC1 to BC6)","0","0","0","1757","1757","1757","0","0","0","0","1757","1757","1757"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1286","0","1286","107","1393","1393","0","0","18","18","1375","1375","1375"
"BE2","Leaving care services","628","0","628","2483","3111","3111","0","0","0","0","3111","3111","3111"
"BE3","Other other children's and families services","2","0","2","0","2","2","0","0","0","0","2","2","2"
"BE4","Total other children's and families services (lines BE1 to BE3)","1916","0","1916","2590","4506","4506","0","0","18","18","4488","4488","4488"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","20489","225","20264","22962","43451","43226","0","0","272","272","42954","43179","42954"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5541","54","5487","0","5541","5487","41","45","0","86","5401","5455","5442"
"C2","Nursing care placements","0","0","0","9217","9217","9217","2075","0","337","2412","6805","6805","8880"
"C3","Residential care placements","0","0","0","9912","9912","9912","3799","0","112","3911","6001","6001","9800"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","54","54","54","0","0","0","0","54","54","54"
"C6","Home care","3336","0","3336","5292","8628","8628","1267","132","3","1402","7226","7226","8493"
"C7","Day care","1468","293","1175","357","1825","1532","26","0","0","26","1506","1799","1532"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","139","10","129","1273","1412","1402","0","0","0","0","1402","1412","1402"
"C10","Other services to older people","183","0","183","933","1116","1116","1","0","0","1","1115","1115","1116"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","10667","357","10310","27038","37705","37348","7209","177","452","7838","29510","29867","36719"
"C12","Supporting People","145","0","145","3084","3229","3229","29","0","0","29","3200","3200","3229"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","10812","357","10455","30122","40934","40577","7238","177","452","7867","32710","33067","39948"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2698","21","2677","0","2698","2677","0","29","0","29","2648","2669","2648"
"D2","Nursing care placements","0","0","0","1984","1984","1984","455","0","5","460","1524","1524","1979"
"D3","Residential care placements","0","0","0","1285","1285","1285","251","0","0","251","1034","1034","1285"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
