"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Manchester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","318","0","318","0","318","318","0","0","1","1","317","317","317"
"A2","Complaints procedures","60","0","60","0","60","60","0","0","0","0","60","60","60"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","378","0","378","0","378","378","0","0","1","1","377","377","377"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","13463","42","13421","90","13553","13511","67","0","606","673","12838","12880","12905"
"BA2","Total children's services - commissioning and social work (line BA1)","13463","42","13421","90","13553","13511","67","0","606","673","12838","12880","12905"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","6316","184","6132","13569","19885","19701","3","0","32","35","19666","19850","19669"
"BB2","Secure accommodation (welfare)","0","0","0","385","385","385","3","0","4","7","378","378","381"
"BB3","Fostering services","8718","1","8717","5351","14069","14068","3","0","18","21","14047","14048","14050"
"BB4","Other children looked after services","36","0","36","0","36","36","3","0","4","7","29","29","32"
"BB5","Total children looked after (lines BB1 to BB4)","15070","185","14885","19305","34375","34190","12","0","58","70","34120","34305","34132"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC2","Services for under 8s","20150","825","19325","0","20150","19325","0","0","2335","2335","16990","17815","16990"
"BC3","Direct payments","0","0","0","129","129","129","0","0","0","0","129","129","129"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","388","0","388","435","823","823","3","0","184","187","636","636","639"
"BC6","Other family support services","1503","1","1502","58","1561","1560","4","0","17","21","1539","1540","1543"
"BC7","Total family support services (lines BC1 to BC6)","22041","826","21215","622","22663","21837","7","0","2536","2543","19294","20120","19301"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","233","233","233","0","0","99","99","134","134","134"
"BD2","Youth offender teams","3399","13","3386","149","3548","3535","3","0","535","538","2997","3010","3000"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","3399","13","3386","382","3781","3768","3","0","634","637","3131","3144","3134"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","620","2","618","1538","2158","2156","3","0","69","72","2084","2086","2087"
"BE2","Leaving care services","698","8","690","1087","1785","1777","4","0","14","18","1759","1767","1763"
"BE3","Other other children's and families services","2493","0","2493","1259","3752","3752","5","0","32","37","3715","3715","3720"
"BE4","Total other children's and families services (lines BE1 to BE3)","3811","10","3801","3884","7695","7685","12","0","115","127","7558","7568","7570"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","57784","1076","56708","24283","82067","80991","101","0","3949","4050","76941","78017","77042"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","7265","27","7238","93","7358","7331","66","0","807","873","6458","6485","6524"
"C2","Nursing care placements","0","0","0","12807","12807","12807","4734","0","27","4761","8046","8046","12780"
"C3","Residential care placements","72","0","72","26740","26812","26812","10044","0","46","10090","16722","16722","26766"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","302","302","302","0","0","0","0","302","302","302"
"C6","Home care","5936","21","5915","6612","12548","12527","1221","0","242","1463","11064","11085","12285"
"C7","Day care","4622","218","4404","1778","6400","6182","340","0","147","487","5695","5913","6035"
"C8","Equipment and adaptations","126","0","126","53","179","179","0","0","8","8","171","171","171"
"C9","Meals","2732","62","2670","282","3014","2952","817","0","14","831","2121","2183","2938"
"C10","Other services to older people","2199","770","1429","347","2546","1776","4","0","19","23","1753","2523","1757"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","22952","1098","21854","49014","71966","70868","17226","0","1310","18536","52332","53430","69558"
"C12","Supporting People","172","0","172","0","172","172","0","0","0","0","172","172","172"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","23124","1098","22026","49014","72138","71040","17226","0","1310","18536","52504","53602","69730"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2491","11","2480","92","2583","2572","44","0","263","307","2265","2276","2309"
"D2","Nursing care placements","0","0","0","1126","1126","1126","255","0","17","272","854","854","1109"
"D3","Residential care placements","191","0","191","1217","1408","1408","240","0","202","442","966","966","1206"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
