"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Oxfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","214","1","213","0","214","213","0","0","1","1","212","213","212"
"A2","Complaints procedures","47","0","47","0","47","47","0","0","0","0","47","47","47"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","261","1","260","0","261","260","0","0","1","1","259","260","259"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","10043","91","9952","0","10043","9952","0","0","169","169","9783","9874","9783"
"BA2","Total children's services - commissioning and social work (line BA1)","10043","91","9952","0","10043","9952","0","0","169","169","9783","9874","9783"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","3038","205","2833","3875","6913","6708","0","0","11","11","6697","6902","6697"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB3","Fostering services","4906","15","4891","795","5701","5686","0","0","38","38","5648","5663","5648"
"BB4","Other children looked after services","266","4","262","67","333","329","0","0","5","5","324","328","324"
"BB5","Total children looked after (lines BB1 to BB4)","8210","224","7986","4737","12947","12723","0","0","54","54","12669","12893","12669"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","459","0","459","478","937","937","14","0","60","74","863","863","877"
"BC2","Services for under 8s","90","0","90","0","90","90","0","0","0","0","90","90","90"
"BC3","Direct payments","0","0","0","37","37","37","0","0","0","0","37","37","37"
"BC4","Home care","559","0","559","33","592","592","0","0","6","6","586","586","586"
"BC5","Equipment and adaptations","15","0","15","124","139","139","0","0","2","2","137","137","137"
"BC6","Other family support services","1355","59","1296","1235","2590","2531","0","0","31","31","2500","2559","2500"
"BC7","Total family support services (lines BC1 to BC6)","2478","59","2419","1907","4385","4326","14","0","99","113","4213","4272","4227"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","1122","81","1041","137","1259","1178","0","0","1040","1040","138","219","138"
"BD2","Youth offender teams","642","3","639","0","642","639","0","0","38","38","601","604","601"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","1764","84","1680","137","1901","1817","0","0","1078","1078","739","823","739"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","501","0","501","0","501","501","0","0","0","0","501","501","501"
"BE2","Leaving care services","497","0","497","389","886","886","0","0","0","0","886","886","886"
"BE3","Other other children's and families services","0","0","0","46","46","46","0","0","0","0","46","46","46"
"BE4","Total other children's and families services (lines BE1 to BE3)","998","0","998","435","1433","1433","0","0","0","0","1433","1433","1433"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","23493","458","23035","7216","30709","30251","14","0","1400","1414","28837","29295","28851"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","11987","560","11427","0","11987","11427","0","129","118","247","11180","11740","11180"
"C2","Nursing care placements","0","0","0","17929","17929","17929","5838","0","0","5838","12091","12091","17929"
"C3","Residential care placements","1167","9","1158","26094","27261","27252","8500","0","1271","9771","17481","17490","25981"
"C4","Supported and other accommodation","1267","1145","122","445","1712","567","160","0","50","210","357","1502","517"
"C5","Direct payments","0","0","0","324","324","324","0","0","0","0","324","324","324"
"C6","Home care","7515","39","7476","11851","19366","19327","2086","215","138","2439","16888","16927","18974"
"C7","Day care","2933","423","2510","632","3565","3142","157","123","218","498","2644","3067","2801"
"C8","Equipment and adaptations","91","1","90","778","869","868","0","0","12","12","856","857","856"
"C9","Meals","39","1","38","40","79","78","10","0","1","11","67","68","77"
"C10","Other services to older people","109","4","105","162","271","267","0","0","4","4","263","267","263"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","25108","2182","22926","58255","83363","81181","16751","467","1812","19030","62151","64333","78902"
"C12","Supporting People","0","0","0","3416","3416","3416","0","0","0","0","3416","3416","3416"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","25108","2182","22926","61671","86779","84597","16751","467","1812","19030","65567","67749","82318"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2971","29","2942","0","2971","2942","0","0","38","38","2904","2933","2904"
"D2","Nursing care placements","0","0","0","1259","1259","1259","93","1114","0","1207","52","52","145"
"D3","Residential care placements","1","1","0","1920","1921","1920","350","550","1","901","1019","1020","1369"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
