"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Peterborough UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","46","0","46","0","46","46","0","0","0","0","46","46","46"
"A2","Complaints procedures","102","0","102","0","102","102","0","0","0","0","102","102","102"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","148","0","148","0","148","148","0","0","0","0","148","148","148"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","3656","0","3656","33","3689","3689","0","7","251","258","3431","3431","3431"
"BA2","Total children's services - commissioning and social work (line BA1)","3656","0","3656","33","3689","3689","0","7","251","258","3431","3431","3431"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2160","0","2160","1317","3477","3477","46","0","1","47","3430","3430","3476"
"BB2","Secure accommodation (welfare)","0","0","0","68","68","68","0","0","0","0","68","68","68"
"BB3","Fostering services","3055","0","3055","1251","4306","4306","65","0","24","89","4217","4217","4282"
"BB4","Other children looked after services","311","0","311","1","312","312","0","0","0","0","312","312","312"
"BB5","Total children looked after (lines BB1 to BB4)","5526","0","5526","2637","8163","8163","111","0","25","136","8027","8027","8138"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","470","0","470","0","470","470","0","0","1","1","469","469","469"
"BC2","Services for under 8s","8","0","8","0","8","8","0","0","0","0","8","8","8"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","75","0","75","0","75","75","0","0","0","0","75","75","75"
"BC5","Equipment and adaptations","1","0","1","0","1","1","0","0","0","0","1","1","1"
"BC6","Other family support services","1299","0","1299","0","1299","1299","1","14","0","15","1284","1284","1285"
"BC7","Total family support services (lines BC1 to BC6)","1853","0","1853","0","1853","1853","1","14","1","16","1837","1837","1838"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","641","0","641","0","641","641","0","0","0","0","641","641","641"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","641","0","641","0","641","641","0","0","0","0","641","641","641"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","880","0","880","289","1169","1169","66","21","124","211","958","958","1024"
"BE2","Leaving care services","294","0","294","337","631","631","25","0","0","25","606","606","631"
"BE3","Other other children's and families services","0","0","0","346","346","346","0","186","0","186","160","160","160"
"BE4","Total other children's and families services (lines BE1 to BE3)","1174","0","1174","972","2146","2146","91","207","124","422","1724","1724","1815"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","12850","0","12850","3642","16492","16492","203","228","401","832","15660","15660","15863"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5857.6820805660727","3","5854.6820805660727","0","5857.6820805660727","5854.6820805660727","2","282","202","486","5368.6820805660727","5371.6820805660727","5370.6820805660727"
"C2","Nursing care placements","0","0","0","2779","2779","2779","745","584","36","1365","1414","1414","2159"
"C3","Residential care placements","5235.8240332691948","98","5137.8240332691948","4168","9403.8240332691948","9305.8240332691948","2550","229","0","2779","6526.8240332691948","6624.8240332691948","9076.8240332691948"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","14","14","14","1","0","0","1","13","13","14"
"C6","Home care","1124.4430513313885","0","1124.4430513313885","3445","4569.4430513313882","4569.4430513313882","740","35","0","775","3794.4430513313882","3794.4430513313882","4534.4430513313882"
"C7","Day care","486.12631121593944","13","473.12631121593944","63","549.1263112159395","536.1263112159395","42","0","0","42","494.1263112159395","507.1263112159395","536.1263112159395"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","0","0","0","389","389","389","225","0","0","225","164","164","389"
"C10","Other services to older people","2.0481658494196511","0","2.0481658494196511","0","2.0481658494196511","2.0481658494196511","0","2","0","2","0.048165849419651074","0.048165849419651074","0.048165849419651074"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","12706.123642232016","114","12592.123642232016","10858","23564.123642232014","23450.123642232014","4305","1132","238","5675","17775.123642232014","17889.123642232014","22080.123642232014"
"C12","Supporting People","0","0","0","51","51","51","0","0","0","0","51","51","51"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","12706.123642232016","114","12592.123642232016","10909","23615.123642232014","23501.123642232014","4305","1132","238","5675","17826.123642232014","17940.123642232014","22131.123642232014"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
