"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Redbridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","317","1","316","0","317","316","0","0","0","0","316","317","316"
"A2","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","317","1","316","0","317","316","0","0","0","0","316","317","316"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","6197","211","5986","55","6252","6041","42","0","144","186","5855","6066","5897"
"BA2","Total children's services - commissioning and social work (line BA1)","6197","211","5986","55","6252","6041","42","0","144","186","5855","6066","5897"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","869","29","840","861","1730","1701","273","0","0","273","1428","1457","1701"
"BB2","Secure accommodation (welfare)","0","0","0","84","84","84","0","0","0","0","84","84","84"
"BB3","Fostering services","1879","9","1870","417","2296","2287","0","0","10","10","2277","2286","2277"
"BB4","Other children looked after services","693","66","627","364","1057","991","0","0","72","72","919","985","919"
"BB5","Total children looked after (lines BB1 to BB4)","3441","104","3337","1726","5167","5063","273","0","82","355","4708","4812","4981"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","746","77","669","0","746","669","0","0","1","1","668","745","668"
"BC2","Services for under 8s","2","0","2","63","65","65","0","0","0","0","65","65","65"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","528","528","528","0","0","0","0","528","528","528"
"BC5","Equipment and adaptations","31","0","31","0","31","31","0","0","0","0","31","31","31"
"BC6","Other family support services","649","25","624","516","1165","1140","0","0","26","26","1114","1139","1114"
"BC7","Total family support services (lines BC1 to BC6)","1428","102","1326","1107","2535","2433","0","0","27","27","2406","2508","2406"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","2","0","2","22","24","24","0","0","0","0","24","24","24"
"BD2","Youth offender teams","1330","0","1330","0","1330","1330","320","0","172","492","838","838","1158"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","1332","0","1332","22","1354","1354","320","0","172","492","862","862","1182"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","560","3","557","1","561","558","0","0","33","33","525","528","525"
"BE2","Leaving care services","803","0","803","147","950","950","0","0","22","22","928","928","928"
"BE3","Other other children's and families services","33","0","33","23","56","56","0","0","0","0","56","56","56"
"BE4","Total other children's and families services (lines BE1 to BE3)","1396","3","1393","171","1567","1564","0","0","55","55","1509","1512","1509"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","13794","420","13374","3081","16875","16455","635","0","480","1115","15340","15760","15975"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","2674","56","2618","0","2674","2618","11","0","22","33","2585","2641","2596"
"C2","Nursing care placements","0","0","0","4550","4550","4550","1226","0","0","1226","3324","3324","4550"
"C3","Residential care placements","1277","129","1148","10596","11873","11744","3511","0","55","3566","8178","8307","11689"
"C4","Supported and other accommodation","347","0","347","408","755","755","0","0","0","0","755","755","755"
"C5","Direct payments","0","0","0","67","67","67","0","0","0","0","67","67","67"
"C6","Home care","3180","2","3178","5174","8354","8352","708","0","111","819","7533","7535","8241"
"C7","Day care","2060","129","1931","141","2201","2072","120","0","13","133","1939","2068","2059"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","782","22","760","17","799","777","387","0","12","399","378","400","765"
"C10","Other services to older people","592","0","592","679","1271","1271","0","0","0","0","1271","1271","1271"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","10912","338","10574","21632","32544","32206","5963","0","213","6176","26030","26368","31993"
"C12","Supporting People","67","0","67","933","1000","1000","0","0","0","0","1000","1000","1000"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","10979","338","10641","22565","33544","33206","5963","0","213","6176","27030","27368","32993"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","1401","4","1397","0","1401","1397","0","0","8","8","1389","1393","1389"
"D2","Nursing care placements","0","0","0","651","651","651","78","0","0","78","573","573","651"
"D3","Residential care placements","0","0","0","1376","1376","1376","125","0","0","125","1251","1251","1376"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D5","Direct payments","0","0","0","656","656","656","0","0","0","0","656","656","656"
