"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Southampton UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","357","5","352","4","361","356","0","0","26","26","330","335","330"
"A2","Complaints procedures","41","0","41","3","44","44","0","0","0","0","44","44","44"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","398","5","393","7","405","400","0","0","26","26","374","379","374"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","5383","360","5023","5","5388","5028","0","18","7","25","5003","5363","5003"
"BA2","Total children's services - commissioning and social work (line BA1)","5383","360","5023","5","5388","5028","0","18","7","25","5003","5363","5003"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2209","41","2168","1511","3720","3679","0","39","0","39","3640","3681","3640"
"BB2","Secure accommodation (welfare)","264","0","264","20","284","284","0","0","0","0","284","284","284"
"BB3","Fostering services","3909","0","3909","6","3915","3915","0","30","2","32","3883","3883","3883"
"BB4","Other children looked after services","194","9","185","76","270","261","0","0","5","5","256","265","256"
"BB5","Total children looked after (lines BB1 to BB4)","6576","50","6526","1613","8189","8139","0","69","7","76","8063","8113","8063"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","1175","55","1120","10","1185","1130","0","0","2","2","1128","1183","1128"
"BC2","Services for under 8s","47","0","47","20","67","67","0","0","0","0","67","67","67"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","60","0","60","0","60","60","0","0","0","0","60","60","60"
"BC6","Other family support services","792","8","784","1400","2192","2184","0","126","4","130","2054","2062","2054"
"BC7","Total family support services (lines BC1 to BC6)","2074","63","2011","1430","3504","3441","0","126","6","132","3309","3372","3309"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","15","0","15","3","18","18","0","0","0","0","18","18","18"
"BD2","Youth offender teams","381","15","366","19","400","385","0","1","0","1","384","399","384"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","396","15","381","22","418","403","0","1","0","1","402","417","402"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1335","0","1335","0","1335","1335","0","19","172","191","1144","1144","1144"
"BE2","Leaving care services","1247","0","1247","775","2022","2022","0","0","1","1","2021","2021","2021"
"BE3","Other other children's and families services","224","41","183","177","401","360","0","0","0","0","360","401","360"
"BE4","Total other children's and families services (lines BE1 to BE3)","2806","41","2765","952","3758","3717","0","19","173","192","3525","3566","3525"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","17235","529","16706","4022","21257","20728","0","233","193","426","20302","20831","20302"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","3913","13","3900","18","3931","3918","0","205","31","236","3682","3695","3682"
"C2","Nursing care placements","0","0","0","4460","4460","4460","1450","23","4","1477","2983","2983","4433"
"C3","Residential care placements","5229","326","4903","8202","13431","13105","3760","252","31","4043","9062","9388","12822"
"C4","Supported and other accommodation","108","0","108","27","135","135","0","0","0","0","135","135","135"
"C5","Direct payments","0","0","0","250","250","250","6","1","0","7","243","243","249"
"C6","Home care","1761","10","1751","5050","6811","6801","676","88","0","764","6037","6047","6713"
"C7","Day care","26","0","26","1127","1153","1153","0","0","2","2","1151","1151","1151"
"C8","Equipment and adaptations","289","0","289","0","289","289","0","0","0","0","289","289","289"
"C9","Meals","534","16","518","0","534","518","425","0","0","425","93","109","518"
"C10","Other services to older people","4773","1251","3522","372","5145","3894","133","308","0","441","3453","4704","3586"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","16633","1616","15017","19506","36139","34523","6450","877","68","7395","27128","28744","33578"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","16633","1616","15017","19506","36139","34523","6450","877","68","7395","27128","28744","33578"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","742","13","729","0","742","729","1","10","0","11","718","731","719"
"D2","Nursing care placements","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D3","Residential care placements","0","0","0","1308","1308","1308","308","4","0","312","996","996","1304"
"D4","Supported and other accommodation","8","0","8","0","8","8","4","0","0","4","4","4","8"
"D5","Direct payments","0","0","0","933","933","933","12","0","14","26","907","907","919"
