"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Southend-on-Sea UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","154","0","154","0","154","154","0","0","0","0","154","154","154"
"A2","Complaints procedures","49","0","49","0","49","49","0","0","0","0","49","49","49"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","203","0","203","0","203","203","0","0","0","0","203","203","203"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","4373","75","4298","32","4405","4330","0","120","0","120","4210","4285","4210"
"BA2","Total children's services - commissioning and social work (line BA1)","4373","75","4298","32","4405","4330","0","120","0","120","4210","4285","4210"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","1","-1","3176","3176","3175","0","81","0","81","3094","3095","3094"
"BB2","Secure accommodation (welfare)","0","0","0","75","75","75","0","0","0","0","75","75","75"
"BB3","Fostering services","2764","8","2756","2822","5586","5578","5","2","0","7","5571","5579","5576"
"BB4","Other children looked after services","0","0","0","42","42","42","0","0","0","0","42","42","42"
"BB5","Total children looked after (lines BB1 to BB4)","2764","9","2755","6115","8879","8870","5","83","0","88","8782","8791","8787"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","557","13","544","0","557","544","0","0","0","0","544","557","544"
"BC2","Services for under 8s","380","0","380","16","396","396","0","0","5","5","391","391","391"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","17","0","17","0","17","17","0","5","0","5","12","12","12"
"BC6","Other family support services","1668","0","1668","116","1784","1784","0","2","0","2","1782","1782","1782"
"BC7","Total family support services (lines BC1 to BC6)","2622","13","2609","132","2754","2741","0","7","5","12","2729","2742","2729"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","255","0","255","0","255","255","0","0","0","0","255","255","255"
"BD3","Other youth justice services","10","0","10","0","10","10","0","0","0","0","10","10","10"
"BD4","Total youth justice (lines BD1 to BD3)","265","0","265","0","265","265","0","0","0","0","265","265","265"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","373","4","369","0","373","369","0","0","0","0","369","373","369"
"BE2","Leaving care services","191","0","191","0","191","191","0","0","0","0","191","191","191"
"BE3","Other other children's and families services","110","0","110","128","238","238","7","0","0","7","231","231","238"
"BE4","Total other children's and families services (lines BE1 to BE3)","674","4","670","128","802","798","7","0","0","7","791","795","798"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","10698","101","10597","6407","17105","17004","12","210","5","227","16777","16878","16789"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","1872","5","1867","319","2191","2186","0","87","0","87","2099","2104","2099"
"C2","Nursing care placements","0","0","0","2510","2510","2510","316","69","0","385","2125","2125","2441"
"C3","Residential care placements","2217","80","2137","13874","16091","16011","6159","-111","0","6048","9963","10043","16122"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","38","38","38","1","0","0","1","37","37","38"
"C6","Home care","1787","7","1780","1882","3669","3662","523","0","0","523","3139","3146","3662"
"C7","Day care","348","1","347","141","489","488","12","0","0","12","476","477","488"
"C8","Equipment and adaptations","1184","311","873","0","1184","873","0","213","0","213","660","971","660"
"C9","Meals","0","0","0","399","399","399","220","0","0","220","179","179","399"
"C10","Other services to older people","692","18","674","375","1067","1049","8","204","0","212","837","855","845"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","8100","422","7678","19538","27638","27216","7239","462","0","7701","19515","19937","26754"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","8100","422","7678","19538","27638","27216","7239","462","0","7701","19515","19937","26754"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","624","3","621","0","624","621","6","6","0","12","609","612","615"
"D2","Nursing care placements","0","0","0","124","124","124","21","5","0","26","98","98","119"
"D3","Residential care placements","0","0","0","974","974","974","141","0","0","141","833","833","974"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D5","Direct payments","0","0","0","186","186","186","0","0","0","0","186","186","186"
"D6","Home care","204","1","203","890","1094","1093","48","2","0","50","1043","1044","1091"
