"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Sunderland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","185","0","185","0","185","185","0","0","0","0","185","185","185"
"A2","Complaints procedures","121","0","121","0","121","121","0","0","0","0","121","121","121"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","306","0","306","0","306","306","0","0","0","0","306","306","306"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","7669","88","7581","247","7916","7828","26","0","120","146","7682","7770","7708"
"BA2","Total children's services - commissioning and social work (line BA1)","7669","88","7581","247","7916","7828","26","0","120","146","7682","7770","7708"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","6957","174","6783","279","7236","7062","30","0","35","65","6997","7171","7027"
"BB2","Secure accommodation (welfare)","75","0","75","0","75","75","1","0","77","78","-3","-3","-2"
"BB3","Fostering services","3870","2","3868","102","3972","3970","9","0","4","13","3957","3959","3966"
"BB4","Other children looked after services","8","0","8","0","8","8","1","0","0","1","7","7","8"
"BB5","Total children looked after (lines BB1 to BB4)","10910","176","10734","381","11291","11115","41","0","116","157","10958","11134","10999"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","190","0","190","12","202","202","0","0","55","55","147","147","147"
"BC2","Services for under 8s","495","47","448","24","519","472","10","0","4","14","458","505","468"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","50","0","50","0","50","50","0","0","0","0","50","50","50"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","878","0","878","0","878","878","1","0","0","1","877","877","878"
"BC7","Total family support services (lines BC1 to BC6)","1613","47","1566","36","1649","1602","11","0","59","70","1532","1579","1543"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","13","13","13","1","0","0","1","12","12","13"
"BD2","Youth offender teams","1075","525","550","0","1075","550","1","0","133","134","416","941","417"
"BD3","Other youth justice services","2409","1","2408","130","2539","2538","3","0","1331","1334","1204","1205","1207"
"BD4","Total youth justice (lines BD1 to BD3)","3484","526","2958","143","3627","3101","5","0","1464","1469","1632","2158","1637"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","1204","1","1203","0","1204","1203","4","0","2","6","1197","1198","1201"
"BE2","Leaving care services","989","13","976","30","1019","1006","8","0","55","63","943","956","951"
"BE3","Other other children's and families services","715","354","361","373","1088","734","3","0","31","34","700","1054","703"
"BE4","Total other children's and families services (lines BE1 to BE3)","2908","368","2540","403","3311","2943","15","0","88","103","2840","3208","2855"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","26584","1205","25379","1210","27794","26589","98","0","1847","1945","24644","25849","24742"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5645","33","5612","711","6356","6323","3","0","1383","1386","4937","4970","4940"
"C2","Nursing care placements","0","0","0","7770","7770","7770","3095","0","0","3095","4675","4675","7770"
"C3","Residential care placements","5460","247","5213","17038","22498","22251","6951","0","554","7505","14746","14993","21697"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","104","104","104","0","0","0","0","104","104","104"
"C6","Home care","7612","39","7573","3384","10996","10957","1427","0","197","1624","9333","9372","10760"
"C7","Day care","1512","100","1412","448","1960","1860","505","0","9","514","1346","1446","1851"
"C8","Equipment and adaptations","2686","81","2605","0","2686","2605","1566","0","14","1580","1025","1106","2591"
"C9","Meals","700","2","698","124","824","822","40","0","2","42","780","782","820"
"C10","Other services to older people","30","0","30","177","207","207","3","0","0","3","204","204","207"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","23645","502","23143","29756","53401","52899","13590","0","2159","15749","37150","37652","50740"
"C12","Supporting People","0","0","0","5187","5187","5187","0","0","0","0","5187","5187","5187"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","23645","502","23143","34943","58588","58086","13590","0","2159","15749","42337","42839","55927"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","1960","24","1936","54","2014","1990","8","0","9","17","1973","1997","1981"
"D2","Nursing care placements","0","0","0","1079","1079","1079","221","0","0","221","858","858","1079"
"D3","Residential care placements","469","6","463","305","774","768","83","0","0","83","685","691","768"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
