"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Sutton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","45","0","45","0","45","45","0","0","0","0","45","45","45"
"A2","Complaints procedures","18","0","18","0","18","18","0","0","0","0","18","18","18"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","63","0","63","0","63","63","0","0","0","0","63","63","63"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","4316","25","4291","0","4316","4291","0","0","505","505","3786","3811","3786"
"BA2","Total children's services - commissioning and social work (line BA1)","4316","25","4291","0","4316","4291","0","0","505","505","3786","3811","3786"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","0","0","1997","1997","1997","0","0","0","0","1997","1997","1997"
"BB2","Secure accommodation (welfare)","0","0","0","69","69","69","0","0","0","0","69","69","69"
"BB3","Fostering services","2065","3","2062","967","3032","3029","0","0","17","17","3012","3015","3012"
"BB4","Other children looked after services","94","0","94","0","94","94","0","0","0","0","94","94","94"
"BB5","Total children looked after (lines BB1 to BB4)","2159","3","2156","3033","5192","5189","0","0","17","17","5172","5175","5172"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","1201","50","1151","0","1201","1151","0","0","113","113","1038","1088","1038"
"BC2","Services for under 8s","0","0","0","227","227","227","0","0","0","0","227","227","227"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","10","0","10","134","144","144","0","0","0","0","144","144","144"
"BC5","Equipment and adaptations","5","0","5","0","5","5","0","0","0","0","5","5","5"
"BC6","Other family support services","676","1","675","87","763","762","0","0","0","0","762","763","762"
"BC7","Total family support services (lines BC1 to BC6)","1892","51","1841","448","2340","2289","0","0","113","113","2176","2227","2176"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","401","22","379","0","401","379","0","0","41","41","338","360","338"
"BD3","Other youth justice services","72","0","72","0","72","72","0","0","58","58","14","14","14"
"BD4","Total youth justice (lines BD1 to BD3)","473","22","451","0","473","451","0","0","99","99","352","374","352"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","523","0","523","0","523","523","0","0","3","3","520","520","520"
"BE2","Leaving care services","722","1","721","32","754","753","0","0","20","20","733","734","733"
"BE3","Other other children's and families services","549","4","545","241","790","786","0","0","24","24","762","766","762"
"BE4","Total other children's and families services (lines BE1 to BE3)","1794","5","1789","273","2067","2062","0","0","47","47","2015","2020","2015"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","10634","106","10528","3754","14388","14282","0","0","781","781","13501","13607","13501"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","3531","16","3515","0","3531","3515","0","0","68","68","3447","3463","3447"
"C2","Nursing care placements","0","0","0","5162","5162","5162","1819","0","233","2052","3110","3110","4929"
"C3","Residential care placements","4689","343","4346","5800","10489","10146","2558","0","903","3461","6685","7028","9243"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","31","31","31","0","0","0","0","31","31","31"
"C6","Home care","2440","10","2430","3263","5703","5693","993","0","7","1000","4693","4703","5686"
"C7","Day care","592","23","569","300","892","869","267","0","5","272","597","620","864"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","500","1","499","0","500","499","266","0","0","266","233","234","499"
"C10","Other services to older people","602","20","582","638","1240","1220","31","0","129","160","1060","1080","1091"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","12354","413","11941","15194","27548","27135","5934","0","1345","7279","19856","20269","25790"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","12354","413","11941","15194","27548","27135","5934","0","1345","7279","19856","20269","25790"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","159","1","158","0","159","158","0","0","0","0","158","159","158"
"D2","Nursing care placements","0","0","0","658","658","658","88","0","97","185","473","473","561"
"D3","Residential care placements","0","0","0","201","201","201","29","0","0","29","172","172","201"
"D4","Supported and other accommodation","89","0","89","0","89","89","0","0","0","0","89","89","89"
"D5","Direct payments","0","0","0","108","108","108","0","0","0","0","108","108","108"
"D6","Home care","180","1","179","221","401","400","76","0","1","77","323","324","399"
