"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Tameside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","140.1845673054828","0","140.1845673054828","0","140.1845673054828","140.1845673054828","0","0","1","1","139.1845673054828","139.1845673054828","139.1845673054828"
"A2","Complaints procedures","85.553816811434345","0","85.553816811434345","0","85.553816811434345","85.553816811434345","0","0","0","0","85.553816811434345","85.553816811434345","85.553816811434345"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","225.73838411691713","0","225.73838411691713","0","225.73838411691713","225.73838411691713","0","0","1","1","224.73838411691713","224.73838411691713","224.73838411691713"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","4941.2598465002984","8","4933.2598465002984","0","4941.2598465002984","4933.2598465002984","63","40","4","107","4826.2598465002984","4834.2598465002984","4889.2598465002984"
"BA2","Total children's services - commissioning and social work (line BA1)","4941.2598465002984","8","4933.2598465002984","0","4941.2598465002984","4933.2598465002984","63","40","4","107","4826.2598465002984","4834.2598465002984","4889.2598465002984"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","990.23043338388709","11","979.23043338388709","4032.3678477871226","5022.5982811710101","5011.5982811710101","0","1","1","2","5009.5982811710101","5020.5982811710101","5009.5982811710101"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB3","Fostering services","2510.952984971736","0","2510.952984971736","652.47669929684264","3163.4296842685785","3163.4296842685785","0","1","0","1","3162.4296842685785","3162.4296842685785","3162.4296842685785"
"BB4","Other children looked after services","870.99970127303641","0","870.99970127303641","205.12300657199319","1076.1227078450297","1076.1227078450297","8","7","1","16","1060.1227078450297","1060.1227078450297","1068.1227078450297"
"BB5","Total children looked after (lines BB1 to BB4)","4372.1831196286594","11","4361.1831196286594","4889.967553655958","9262.1506732846174","9251.1506732846174","8","9","2","19","9232.1506732846174","9243.1506732846174","9240.1506732846174"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","1274.2457373960201","60","1214.2457373960201","0","1274.2457373960201","1214.2457373960201","5","1","65","71","1143.2457373960201","1203.2457373960201","1148.2457373960201"
"BC2","Services for under 8s","43.292292844340274","0","43.292292844340274","109.26150098809688","152.55379383243715","152.55379383243715","4","7","0","11","141.55379383243715","141.55379383243715","145.55379383243715"
"BC3","Direct payments","0","0","0","26.79999080840112","26.79999080840112","26.79999080840112","0","0","0","0","26.79999080840112","26.79999080840112","26.79999080840112"
"BC4","Home care","0","0","0","89.676892320419142","89.676892320419142","89.676892320419142","0","0","0","0","89.676892320419142","89.676892320419142","89.676892320419142"
"BC5","Equipment and adaptations","152.55379383243715","0","152.55379383243715","0","152.55379383243715","152.55379383243715","0","79","0","79","73.553793832437151","73.553793832437151","73.553793832437151"
"BC6","Other family support services","1929.0916632198171","50","1879.0916632198171","64.938439266510414","1994.0301024863275","1944.0301024863275","57","36","14","107","1837.0301024863275","1887.0301024863275","1894.0301024863275"
"BC7","Total family support services (lines BC1 to BC6)","3399.1834872926147","110","3289.1834872926147","290.67682338342752","3689.860310676042","3579.860310676042","66","123","79","268","3311.860310676042","3421.860310676042","3377.860310676042"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","632.89209062916495","0","632.89209062916495","0","632.89209062916495","632.89209062916495","0","0","66","66","566.89209062916495","566.89209062916495","566.89209062916495"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","632.89209062916495","0","632.89209062916495","0","632.89209062916495","632.89209062916495","0","0","66","66","566.89209062916495","566.89209062916495","566.89209062916495"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","416.43062640746359","0","416.43062640746359","176.26147800909968","592.69210441656332","592.69210441656332","20","0","0","20","572.69210441656332","572.69210441656332","592.69210441656332"
"BE2","Leaving care services","1294.6457098212234","0","1294.6457098212234","319.53835194632109","1614.1840617675443","1614.1840617675443","47","0","0","47","1567.1840617675443","1567.1840617675443","1614.1840617675443"
"BE3","Other other children's and families services","147.75382600303323","89","58.753826003033225","2.0615377544923938","149.81536375752563","60.815363757525617","31","14","0","45","15.815363757525617","104.81536375752563","46.815363757525617"
"BE4","Total other children's and families services (lines BE1 to BE3)","1858.8301622317204","89","1769.8301622317204","497.86136770991317","2356.6915299416337","2267.6915299416337","98","14","0","112","2155.6915299416337","2244.6915299416337","2253.6915299416337"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","15204.348706282457","218","14986.348706282457","5678.5057447492982","20882.854451031755","20664.854451031755","235","186","151","572","20092.854451031755","20310.854451031755","20327.854451031755"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
