"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Trafford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","295","0","295","0","295","295","0","0","0","0","295","295","295"
"A2","Complaints procedures","97","0","97","0","97","97","0","0","1","1","96","96","96"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","392","0","392","0","392","392","0","0","1","1","391","391","391"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","3082","0","3082","162","3244","3244","105","0","92","197","3047","3047","3152"
"BA2","Total children's services - commissioning and social work (line BA1)","3082","0","3082","162","3244","3244","105","0","92","197","3047","3047","3152"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1908","53","1855","2550","4458","4405","99","0","0","99","4306","4359","4405"
"BB2","Secure accommodation (welfare)","28","0","28","273","301","301","0","0","0","0","301","301","301"
"BB3","Fostering services","379","0","379","1679","2058","2058","17","0","0","17","2041","2041","2058"
"BB4","Other children looked after services","4","0","4","0","4","4","0","0","0","0","4","4","4"
"BB5","Total children looked after (lines BB1 to BB4)","2319","53","2266","4502","6821","6768","116","0","0","116","6652","6705","6768"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","1638","107","1531","2","1640","1533","9","0","2","11","1522","1629","1531"
"BC2","Services for under 8s","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","45","0","45","0","45","45","0","0","0","0","45","45","45"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","573","2","571","178","751","749","0","1","0","1","748","750","748"
"BC7","Total family support services (lines BC1 to BC6)","2256","109","2147","180","2436","2327","9","1","2","12","2315","2424","2324"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","149","0","149","0","149","149","0","0","0","0","149","149","149"
"BD3","Other youth justice services","2","0","2","12","14","14","0","0","0","0","14","14","14"
"BD4","Total youth justice (lines BD1 to BD3)","151","0","151","12","163","163","0","0","0","0","163","163","163"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","11","0","11","308","319","319","0","0","0","0","319","319","319"
"BE2","Leaving care services","341","0","341","222","563","563","5","0","0","5","558","558","563"
"BE3","Other other children's and families services","142","0","142","175","317","317","1","20","6","27","290","290","291"
"BE4","Total other children's and families services (lines BE1 to BE3)","494","0","494","705","1199","1199","6","20","6","32","1167","1167","1173"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","8302","162","8140","5561","13863","13701","236","21","100","357","13344","13506","13580"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","2417","0","2417","13","2430","2430","0","0","2","2","2428","2428","2428"
"C2","Nursing care placements","0","0","0","6358","6358","6358","2158","38","0","2196","4162","4162","6320"
"C3","Residential care placements","7463","453","7010","5671","13134","12681","3959","38","0","3997","8684","9137","12643"
"C4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C5","Direct payments","0","0","0","96","96","96","0","0","5","5","91","91","91"
"C6","Home care","5047","0","5047","1455","6502","6502","683","0","0","683","5819","5819","6502"
"C7","Day care","1359","93","1266","470","1829","1736","186","0","4","190","1546","1639","1732"
"C8","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C9","Meals","181","0","181","99","280","280","30","0","0","30","250","250","280"
"C10","Other services to older people","242","0","242","110","352","352","29","0","0","29","323","323","352"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","16709","546","16163","14272","30981","30435","7045","76","11","7132","23303","23849","30348"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","16709","546","16163","14272","30981","30435","7045","76","11","7132","23303","23849","30348"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","535","0","535","29","564","564","0","0","0","0","564","564","564"
"D2","Nursing care placements","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D3","Residential care placements","0","0","0","1208","1208","1208","94","0","39","133","1075","1075","1169"
"D4","Supported and other accommodation","0","0","0","48","48","48","0","0","0","0","48","48","48"
"D5","Direct payments","0","0","0","381","381","381","0","0","63","63","318","318","318"
"D6","Home care","835","0","835","542","1377","1377","227","0","0","227","1150","1150","1377"
