"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Wakefield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","132","2","130","0","132","130","0","0","28","28","102","104","102"
"A2","Complaints procedures","149","0","149","0","149","149","0","0","0","0","149","149","149"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","281","2","279","0","281","279","0","0","28","28","251","253","251"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","7274","9","7265","0","7274","7265","0","0","49","49","7216","7225","7216"
"BA2","Total children's services - commissioning and social work (line BA1)","7274","9","7265","0","7274","7265","0","0","49","49","7216","7225","7216"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","4930","132","4798","1513","6443","6311","0","0","301","301","6010","6142","6010"
"BB2","Secure accommodation (welfare)","0","0","0","174","174","174","0","0","0","0","174","174","174"
"BB3","Fostering services","3900","9","3891","128","4028","4019","0","0","113","113","3906","3915","3906"
"BB4","Other children looked after services","476","0","476","0","476","476","0","0","1","1","475","475","475"
"BB5","Total children looked after (lines BB1 to BB4)","9306","141","9165","1815","11121","10980","0","0","415","415","10565","10706","10565"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","907","78","829","0","907","829","0","0","4","4","825","903","825"
"BC2","Services for under 8s","88","0","88","0","88","88","3","0","21","24","64","64","67"
"BC3","Direct payments","0","0","0","7","7","7","0","0","0","0","7","7","7"
"BC4","Home care","197","70","127","70","267","197","5","0","0","5","192","262","197"
"BC5","Equipment and adaptations","51","0","51","0","51","51","0","0","0","0","51","51","51"
"BC6","Other family support services","1255","0","1255","0","1255","1255","0","0","50","50","1205","1205","1205"
"BC7","Total family support services (lines BC1 to BC6)","2498","148","2350","77","2575","2427","8","0","75","83","2344","2492","2352"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","3","0","3","0","3","3","0","0","0","0","3","3","3"
"BD2","Youth offender teams","618","0","618","0","618","618","0","0","44","44","574","574","574"
"BD3","Other youth justice services","37","0","37","0","37","37","0","0","1","1","36","36","36"
"BD4","Total youth justice (lines BD1 to BD3)","658","0","658","0","658","658","0","0","45","45","613","613","613"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","683","2","681","0","683","681","0","0","16","16","665","667","665"
"BE2","Leaving care services","1012","0","1012","0","1012","1012","0","0","10","10","1002","1002","1002"
"BE3","Other other children's and families services","159","3","156","404","563","560","0","0","12","12","548","551","548"
"BE4","Total other children's and families services (lines BE1 to BE3)","1854","5","1849","404","2258","2253","0","0","38","38","2215","2220","2215"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","21590","303","21287","2296","23886","23583","8","0","622","630","22953","23256","22961"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","4266","17","4249","414","4680","4663","0","0","58","58","4605","4622","4605"
"C2","Nursing care placements","0","0","0","5914","5914","5914","2019","0","0","2019","3895","3895","5914"
"C3","Residential care placements","8802","352","8450","17032","25834","25482","7095","0","380","7475","18007","18359","25102"
"C4","Supported and other accommodation","449","0","449","0","449","449","149","0","0","149","300","300","449"
"C5","Direct payments","0","0","0","53","53","53","10","0","0","10","43","43","53"
"C6","Home care","8380","4","8376","3717","12097","12093","837","0","151","988","11105","11109","11942"
"C7","Day care","1405","110","1295","32","1437","1327","47","0","63","110","1217","1327","1264"
"C8","Equipment and adaptations","774","0","774","0","774","774","0","0","70","70","704","704","704"
"C9","Meals","282","0","282","0","282","282","160","0","0","160","122","122","282"
"C10","Other services to older people","996","0","996","403","1399","1399","12","0","165","177","1222","1222","1234"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","25354","483","24871","27565","52919","52436","10329","0","887","11216","41220","41703","51549"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","25354","483","24871","27565","52919","52436","10329","0","887","11216","41220","41703","51549"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","715","0","715","0","715","715","0","0","12","12","703","703","703"
"D2","Nursing care placements","0","0","0","292","292","292","68","0","0","68","224","224","292"
"D3","Residential care placements","0","0","0","1182","1182","1182","176","0","191","367","815","815","991"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D5","Direct payments","0","0","0","367","367","367","15","0","30","45","322","322","337"
