"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Walsall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","177.75720164609055","0","177.75720164609055","0","177.75720164609055","177.75720164609055","0","0","0","0","177.75720164609055","177.75720164609055","177.75720164609055"
"A2","Complaints procedures","87.242798353909464","0","87.242798353909464","0","87.242798353909464","87.242798353909464","0","0","0","0","87.242798353909464","87.242798353909464","87.242798353909464"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","265","0","265","0","265","265","0","0","0","0","265","265","265"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","6068.8914481949914","15","6053.8914481949914","271.75391573833656","6340.6453639333276","6325.6453639333276","3","29","49","81","6244.6453639333276","6259.6453639333276","6247.6453639333276"
"BA2","Total children's services - commissioning and social work (line BA1)","6068.8914481949914","15","6053.8914481949914","271.75391573833656","6340.6453639333276","6325.6453639333276","3","29","49","81","6244.6453639333276","6259.6453639333276","6247.6453639333276"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","2908.0583800988356","41","2867.0583800988356","7456.3162743948405","10364.374654493677","10323.374654493677","9","0","695","704","9619.3746544936766","9660.3746544936766","9628.3746544936766"
"BB2","Secure accommodation (welfare)","0","0","0","135.33126727531618","135.33126727531618","135.33126727531618","0","90","0","90","45.331267275316179","45.331267275316179","45.331267275316179"
"BB3","Fostering services","3884.2256470391153","0","3884.2256470391153","3520.7957115336294","7405.0213585727452","7405.0213585727452","0","8","0","8","7397.0213585727452","7397.0213585727452","7397.0213585727452"
"BB4","Other children looked after services","217.1848563531284","0","217.1848563531284","0","217.1848563531284","217.1848563531284","0","0","0","0","217.1848563531284","217.1848563531284","217.1848563531284"
"BB5","Total children looked after (lines BB1 to BB4)","7009.4688834910794","41","6968.4688834910794","11112.443253203786","18121.912136694868","18080.912136694868","9","98","695","802","17278.912136694868","17319.912136694868","17287.912136694868"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","137.51402965072452","0","137.51402965072452","0","137.51402965072452","137.51402965072452","0","0","0","0","137.51402965072452","137.51402965072452","137.51402965072452"
"BC2","Services for under 8s","7296.9746209900331","0","7296.9746209900331","0","7296.9746209900331","7296.9746209900331","0","0","0","0","7296.9746209900331","7296.9746209900331","7296.9746209900331"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","101.49845045648715","0","101.49845045648715","0","101.49845045648715","101.49845045648715","0","0","0","0","101.49845045648715","101.49845045648715","101.49845045648715"
"BC6","Other family support services","1131.7622916492169","0","1131.7622916492169","2169.6658011558757","3301.4280928050925","3301.4280928050925","0","0","55","55","3246.4280928050925","3246.4280928050925","3246.4280928050925"
"BC7","Total family support services (lines BC1 to BC6)","8667.749392746462","0","8667.749392746462","2169.6658011558757","10837.415193902338","10837.415193902338","0","0","55","55","10782.415193902338","10782.415193902338","10782.415193902338"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","580.61479185861458","0","580.61479185861458","0","580.61479185861458","580.61479185861458","0","0","3","3","577.61479185861458","577.61479185861458","577.61479185861458"
"BD3","Other youth justice services","355.79026719155706","0","355.79026719155706","288.124633553899","643.91490074545607","643.91490074545607","0","375","53","428","215.91490074545607","215.91490074545607","215.91490074545607"
"BD4","Total youth justice (lines BD1 to BD3)","936.40505905017164","0","936.40505905017164","288.124633553899","1224.5296926040705","1224.5296926040705","0","375","56","431","793.52969260407053","793.52969260407053","793.52969260407053"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","655.71273138453796","0","655.71273138453796","214.11807521567971","869.83080660021767","869.83080660021767","0","7","0","7","862.83080660021767","862.83080660021767","862.83080660021767"
"BE2","Leaving care services","1407.8817321383701","0","1407.8817321383701","0","1407.8817321383701","1407.8817321383701","0","0","0","0","1407.8817321383701","1407.8817321383701","1407.8817321383701"
"BE3","Other other children's and families services","55.660440572912307","0","55.660440572912307","288.124633553899","343.78507412681131","343.78507412681131","0","0","0","0","343.78507412681131","343.78507412681131","343.78507412681131"
"BE4","Total other children's and families services (lines BE1 to BE3)","2119.2549040958202","0","2119.2549040958202","502.24270876957871","2621.4976128653989","2621.4976128653989","0","7","0","7","2614.4976128653989","2614.4976128653989","2614.4976128653989"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","24801.769687578526","56","24745.769687578526","14344.230312421478","39146","39090","12","509","855","1376","37714","37770","37726"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
