"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Waltham Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","457","2","455","0","457","455","0","0","15","15","440","442","440"
"A2","Complaints procedures","158","0","158","0","158","158","0","0","0","0","158","158","158"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","615","2","613","0","615","613","0","0","15","15","598","600","598"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","9221","50","9171","0","9221","9171","0","0","267","267","8904","8954","8904"
"BA2","Total children's services - commissioning and social work (line BA1)","9221","50","9171","0","9221","9171","0","0","267","267","8904","8954","8904"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","0","0","0","4981","4981","4981","0","109","409","518","4463","4463","4463"
"BB2","Secure accommodation (welfare)","0","0","0","336","336","336","0","0","0","0","336","336","336"
"BB3","Fostering services","2682","0","2682","3330","6012","6012","0","0","13","13","5999","5999","5999"
"BB4","Other children looked after services","0","0","0","132","132","132","0","0","0","0","132","132","132"
"BB5","Total children looked after (lines BB1 to BB4)","2682","0","2682","8779","11461","11461","0","109","422","531","10930","10930","10930"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC2","Services for under 8s","305","22","283","0","305","283","18","0","0","18","265","287","283"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","1784","34","1750","0","1784","1750","0","0","0","0","1750","1784","1750"
"BC7","Total family support services (lines BC1 to BC6)","2089","56","2033","0","2089","2033","18","0","0","18","2015","2071","2033"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","32","32","32","0","0","0","0","32","32","32"
"BD2","Youth offender teams","965","0","965","0","965","965","0","0","128","128","837","837","837"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","965","0","965","32","997","997","0","0","128","128","869","869","869"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","761","0","761","0","761","761","0","27","0","27","734","734","734"
"BE2","Leaving care services","3282","23","3259","0","3282","3259","0","0","7","7","3252","3275","3252"
"BE3","Other other children's and families services","248","23","225","450","698","675","0","0","0","0","675","698","675"
"BE4","Total other children's and families services (lines BE1 to BE3)","4291","46","4245","450","4741","4695","0","27","7","34","4661","4707","4661"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","19248","152","19096","9261","28509","28357","18","136","824","978","27379","27531","27397"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","5375","58","5317","0","5375","5317","0","0","614","614","4703","4761","4703"
"C2","Nursing care placements","0","0","0","2557","2557","2557","801","0","0","801","1756","1756","2557"
"C3","Residential care placements","7311","303","7008","6080","13391","13088","2914","0","821","3735","9353","9656","12267"
"C4","Supported and other accommodation","1158","0","1158","0","1158","1158","0","0","990","990","168","168","168"
"C5","Direct payments","0","0","0","56","56","56","0","0","0","0","56","56","56"
"C6","Home care","6301","0","6301","2150","8451","8451","899","22","0","921","7530","7530","8429"
"C7","Day care","1554","14","1540","371","1925","1911","25","0","68","93","1818","1832","1843"
"C8","Equipment and adaptations","233","0","233","0","233","233","0","0","0","0","233","233","233"
"C9","Meals","490","0","490","0","490","490","329","0","0","329","161","161","490"
"C10","Other services to older people","587","0","587","601","1188","1188","0","0","0","0","1188","1188","1188"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","23009","375","22634","11815","34824","34449","4968","22","2493","7483","26966","27341","31934"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","23009","375","22634","11815","34824","34449","4968","22","2493","7483","26966","27341","31934"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D:","ADULTS AGED UNDER 65 WITH A PHYSICAL DISABILITY OR SENSORY IMPAIRMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D1","Assessment and care management","2525","19","2506","0","2525","2506","0","0","39","39","2467","2486","2467"
"D2","Nursing care placements","0","0","0","637","637","637","0","0","0","0","637","637","637"
"D3","Residential care placements","0","0","0","1078","1078","1078","369","0","0","369","709","709","1078"
"D4","Supported and other accommodation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D5","Direct payments","0","0","0","492","492","492","0","0","0","0","492","492","492"
