"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Wiltshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","192","0","192","0","192","192","0","0","0","0","192","192","192"
"A2","Complaints procedures","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","192","0","192","0","192","192","0","0","0","0","192","192","192"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","7265","0","7265","0","7265","7265","6","96","14","116","7149","7149","7155"
"BA2","Total children's services - commissioning and social work (line BA1)","7265","0","7265","0","7265","7265","6","96","14","116","7149","7149","7155"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1914","0","1914","3371","5285","5285","7","774","0","781","4504","4504","4511"
"BB2","Secure accommodation (welfare)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BB3","Fostering services","2900","0","2900","1190","4090","4090","11","0","0","11","4079","4079","4090"
"BB4","Other children looked after services","167","0","167","56","223","223","0","0","0","0","223","223","223"
"BB5","Total children looked after (lines BB1 to BB4)","4981","0","4981","4617","9598","9598","18","774","0","792","8806","8806","8824"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC2","Services for under 8s","23","0","23","0","23","23","0","0","0","0","23","23","23"
"BC3","Direct payments","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC4","Home care","12","0","12","23","35","35","0","0","0","0","35","35","35"
"BC5","Equipment and adaptations","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BC6","Other family support services","1471","0","1471","0","1471","1471","0","177","17","194","1277","1277","1277"
"BC7","Total family support services (lines BC1 to BC6)","1506","0","1506","23","1529","1529","0","177","17","194","1335","1335","1335"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","491","0","491","0","491","491","0","0","0","0","491","491","491"
"BD3","Other youth justice services","517","0","517","0","517","517","0","634","0","634","-117","-117","-117"
"BD4","Total youth justice (lines BD1 to BD3)","1008","0","1008","0","1008","1008","0","634","0","634","374","374","374"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","239","0","239","0","239","239","0","0","0","0","239","239","239"
"BE2","Leaving care services","663","0","663","0","663","663","26","0","0","26","637","637","663"
"BE3","Other other children's and families services","0","0","0","479","479","479","0","0","0","0","479","479","479"
"BE4","Total other children's and families services (lines BE1 to BE3)","902","0","902","479","1381","1381","26","0","0","26","1355","1355","1381"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","TOTAL CHILDREN'S AND FAMILIES SERVICES (LINES BA2+BB5+BC7+BD4+BE4)","15662","0","15662","5119","20781","20781","50","1681","31","1762","19019","19019","19069"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","Assessment and care management","8951.9998329295795","60","8891.9998329295795","1162","10113.999832929579","10053.999832929579","121","377","54","552","9501.9998329295795","9561.9998329295795","9622.9998329295795"
"C2","Nursing care placements","0","0","0","8931","8931","8931","2419","295","0","2714","6217","6217","8636"
"C3","Residential care placements","927.22278840531283","59","868.22278840531283","14877","15804.222788405314","15745.222788405314","4658","655","240","5553","10192.222788405314","10251.222788405314","14850.222788405314"
"C4","Supported and other accommodation","0","0","0","188","188","188","0","0","0","0","188","188","188"
"C5","Direct payments","0","0","0","249","249","249","0","0","0","0","249","249","249"
"C6","Home care","2526.5865842452595","0","2526.5865842452595","5590","8116.5865842452595","8116.5865842452595","388","57","0","445","7671.5865842452595","7671.5865842452595","8059.5865842452595"
"C7","Day care","170.14835853312172","0","170.14835853312172","1190","1360.1483585331216","1360.1483585331216","78","3","1","82","1278.1483585331216","1278.1483585331216","1356.1483585331216"
"C8","Equipment and adaptations","667.77403725670365","0","667.77403725670365","0","667.77403725670365","667.77403725670365","0","0","0","0","667.77403725670365","667.77403725670365","667.77403725670365"
"C9","Meals","785.47940857071251","0","785.47940857071251","0","785.47940857071251","785.47940857071251","255","0","0","255","530.47940857071251","530.47940857071251","785.47940857071251"
"C10","Other services to older people","40.788990059309995","0","40.788990059309995","983","1023.78899005931","1023.78899005931","0","0","0","0","1023.78899005931","1023.78899005931","1023.78899005931"
"C11","TOTAL OLDER PEOPLE excluding Supporting People (LINES C1 to C10)","14070","119","13951","33170","47240","47121","7919","1387","295","9601","37520","37639","45439"
"C12","Supporting People","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C13","TOTAL OLDER PEOPLE including Supporting People (LINES C11+C12)","14070","119","13951","33170","47240","47121","7919","1387","295","9601","37520","37639","45439"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
