"PSS EXPENDITURE IN 2003-04 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","PSS EX1 Return for 2003-04"
"Check that cell N149 matches total social services expenditure recorded in the authority's accounts and complete cell N152.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision","Total (including joint arrangements)",NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","by others","Expenditure","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding",NA,"including","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital",NA,"capital","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges",NA,"charges","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","Col G = C + F","Col H = E + F","col I","col J","col K","col L = (I to K)","col M = H - L","col N = G - L","col O = H - J - K"
"A:","SERVICE STRATEGY","Wokingham UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","116.68134999999992","0","116.68134999999992","0","116.68134999999992","116.68134999999992","0","0","0","0","116.68134999999992","116.68134999999992","116.68134999999992"
"A2","Complaints procedures","46.821825250840483","0","46.821825250840483","0","46.821825250840483","46.821825250840483","0","0","0","0","46.821825250840483","46.821825250840483","46.821825250840483"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","163.5031752508404","0","163.5031752508404","0","163.5031752508404","163.5031752508404","0","0","0","0","163.5031752508404","163.5031752508404","163.5031752508404"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA:","Children's services - commissioning and social work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BA1","Commissioning and social work","2070.5344384107439","0","2070.5344384107439","0","2070.5344384107439","2070.5344384107439","0","92.811000000000007","22.832369999999997","115.64337","1954.8910684107439","1954.8910684107439","1954.8910684107439"
"BA2","Total children's services - commissioning and social work (line BA1)","2070.5344384107439","0","2070.5344384107439","0","2070.5344384107439","2070.5344384107439","0","92.811000000000007","22.832369999999997","115.64337","1954.8910684107439","1954.8910684107439","1954.8910684107439"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB:","Children looked after",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB1","Children's homes","1042.7099947405618","34.16722","1008.5427747405619","1401.1583886531994","2443.8683833937612","2409.7011633937614","6.2853600000000007","0","38.069439999999993","44.354799999999997","2365.3463633937613","2399.5135833937611","2371.6317233937611"
"BB2","Secure accommodation (welfare)","0","0","0","0.22479798788663161","0.22479798788663161","0.22479798788663161","0","0","0","0","0.22479798788663161","0.22479798788663161","0.22479798788663161"
"BB3","Fostering services","716.50175697581028","0","716.50175697581028","620.78003812102077","1337.281795096831","1337.281795096831","6.5238399999999999","0","33.296279999999996","39.820119999999996","1297.461675096831","1297.461675096831","1303.985515096831"
"BB4","Other children looked after services","311.54266416140092","12.35338","299.18928416140091","2.5406226454005316","314.08328680680142","301.72990680680141","0","0","10.422880000000001","10.422880000000001","291.30702680680139","303.6604068068014","291.30702680680139"
"BB5","Total children looked after (lines BB1 to BB4)","2070.7544158777728","46.520600000000002","2024.2338158777729","2024.7038474075075","4095.4582632852803","4048.9376632852805","12.809200000000001","0","81.788599999999988","94.597799999999992","3954.3398632852804","4000.8604632852803","3967.1490632852806"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC:","Family support services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC1","Family centres","915.53012284662759","41.238199999999999","874.29192284662759","0","915.53012284662759","874.29192284662759","0","0","68.719399999999993","68.719399999999993","805.57252284662763","846.81072284662764","805.57252284662763"
"BC2","Services for under 8s","69.02892731760528","0","69.02892731760528","0","69.02892731760528","69.02892731760528","0","0","-0.52745000000000009","-0.52745000000000009","69.556377317605282","69.556377317605282","69.556377317605282"
"BC3","Direct payments","0","0","0","17.901519402281494","17.901519402281494","17.901519402281494","0","0","0","0","17.901519402281494","17.901519402281494","17.901519402281494"
"BC4","Home care","0","0","0","41.619247576991192","41.619247576991192","41.619247576991192","0","0","0","0","41.619247576991192","41.619247576991192","41.619247576991192"
"BC5","Equipment and adaptations","208.58779903451983","0","208.58779903451983","0","208.58779903451983","208.58779903451983","0","0","0","0","208.58779903451983","208.58779903451983","208.58779903451983"
"BC6","Other family support services","34.670843927750369","0","34.670843927750369","177.33705190953978","212.00789583729016","212.00789583729016","0.14680000000000001","0","0.77146000000000003","0.91826000000000008","211.08963583729016","211.08963583729016","211.23643583729017"
"BC7","Total family support services (lines BC1 to BC6)","1227.8176931265032","41.238199999999999","1186.5794931265032","236.85781888881246","1464.6755120153157","1423.4373120153157","0.14680000000000001","0","68.963409999999996","69.110209999999995","1354.3271020153156","1395.5653020153156","1354.4739020153156"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD:","Youth justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BD1","Secure accommodation (justice)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD2","Youth offender teams","60.495574028664372","0","60.495574028664372","0","60.495574028664372","60.495574028664372","0","0","0","0","60.495574028664372","60.495574028664372","60.495574028664372"
"BD3","Other youth justice services","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BD4","Total youth justice (lines BD1 to BD3)","60.495574028664372","0","60.495574028664372","0","60.495574028664372","60.495574028664372","0","0","0","0","60.495574028664372","60.495574028664372","60.495574028664372"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE:","Other children's and families services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE1","Adoption services","154.9712249980725","0","154.9712249980725","0","154.9712249980725","154.9712249980725","0","0","62.392000000000003","62.392000000000003","92.579224998072505","92.579224998072505","92.579224998072505"
"BE2","Leaving care services","278.05104970150467","0","278.05104970150467","0","278.05104970150467","278.05104970150467","0","0","0","0","278.05104970150467","278.05104970150467","278.05104970150467"
"BE3","Other other children's and families services","275.96612651194545","0","275.96612651194545","0","275.96612651194545","275.96612651194545","1.1037999999999999","0","29.972999999999999","31.076799999999999","244.88932651194546","244.88932651194546","245.99312651194543"
"BE4","Total other children's and families services (lines BE1 to BE3)","708.98840121152261","0","708.98840121152261","0","708.98840121152261","708.98840121152261","1.1037999999999999","0","92.364999999999995","93.468800000000002","615.51960121152263","615.51960121152263","616.62340121152261"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
