"PSS EXPENDITURE IN 2005-06 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","PSS EX1 Return for 2005-06 Draft 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision by others",NA,NA,"Total (including joint arrangements)",NA,NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding","including","charges","excluding","including","charges","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital","capital","(council's","capital","capital","(council's","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges","charges","own assets)","charges","charges","own assets)","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","col G","col H = F - G","Col I = C + F","Col J = D + G","Col K = E + H","col L","col M","col N","col O = (L to N)","col P = K - O","col Q = I - O","col R = K - M - N"
"A:","SERVICE STRATEGY","Lincolnshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","456","23","433","2","0","2","458","23","435","0","0","1","1","434","457","434"
NA,"of which (where known): Children's and families services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Adults' services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Generic services","456","23","433","2","0","2","458","23","435","0","0","1","1","434","457","434"
"A2","Complaints procedures","105","0","105","0","0","0","105","0","105","0","0","0","0","105","105","105"
NA,"of which (where known): Children's and families services","35","0","35","0","0","0","35","0","35","0","0","0","0","35","35","35"
NA,"Adults' services","70","0","70","0","0","0","70","0","70","0","0","0","0","70","70","70"
NA,"Generic services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","561","23","538","2","0","2","563","23","540","0","0","1","1","539","562","539"
NA,"of which (where known): Children's and families services","35","0","35","0","0","0","35","0","35","0","0","0","0","35","35","35"
NA,"Adults' services","70","0","70","0","0","0","70","0","70","0","0","0","0","70","70","70"
NA,"Generic services","456","23","433","2","0","2","458","23","435","0","0","1","1","434","457","434"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","CHILDREN'S AND FAMILIES SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
