"PSS EXPENDITURE IN 2005-06 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","PSS EX1 Return for 2005-06 Draft 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision by others",NA,NA,"Total (including joint arrangements)",NA,NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding","including","charges","excluding","including","charges","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital","capital","(council's","capital","capital","(council's","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges","charges","own assets)","charges","charges","own assets)","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","col G","col H = F - G","Col I = C + F","Col J = D + G","Col K = E + H","col L","col M","col N","col O = (L to N)","col P = K - O","col Q = I - O","col R = K - M - N"
"A:","SERVICE STRATEGY","Salford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","379.42524190547078","0","379.42524190547078","0","0","0","379.42524190547078","0","379.42524190547078","5","0","13","18","361.42524190547078","361.42524190547078","366.42524190547078"
NA,"of which (where known): Children's and families services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Adults' services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Generic services","379.42524190547078","0","379.42524190547078","0","0","0","379.42524190547078","0","379.42524190547078","5","0","13","18","361.42524190547078","361.42524190547078","366.42524190547078"
"A2","Complaints procedures","39.545729438034982","0","39.545729438034982","0","0","0","39.545729438034982","0","39.545729438034982","0","0","0","0","39.545729438034982","39.545729438034982","39.545729438034982"
NA,"of which (where known): Children's and families services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Adults' services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Generic services","39.545729438034982","0","39.545729438034982","0","0","0","39.545729438034982","0","39.545729438034982","0","0","0","0","39.545729438034982","39.545729438034982","39.545729438034982"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","418.97097134350577","0","418.97097134350577","0","0","0","418.97097134350577","0","418.97097134350577","5","0","13","18","400.97097134350577","400.97097134350577","405.97097134350577"
NA,"of which (where known): Children's and families services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Adults' services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
