"PSS EXPENDITURE IN 2005-06 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","PSS EX1 Return for 2005-06 Draft 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision by others",NA,NA,"Total (including joint arrangements)",NA,NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding","including","charges","excluding","including","charges","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital","capital","(council's","capital","capital","(council's","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges","charges","own assets)","charges","charges","own assets)","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","col G","col H = F - G","Col I = C + F","Col J = D + G","Col K = E + H","col L","col M","col N","col O = (L to N)","col P = K - O","col Q = I - O","col R = K - M - N"
"A:","SERVICE STRATEGY","South Gloucestershire UA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","186.63748479724669","0","186.63748479724669","0","0","0","186.63748479724669","0","186.63748479724669","0","0","21","21","165.63748479724669","165.63748479724669","165.63748479724669"
NA,"of which (where known): Children's and families services","75.752861476529532","0","75.752861476529532","0","0","0","75.752861476529532","0","75.752861476529532","0","0","0","0","75.752861476529532","75.752861476529532","75.752861476529532"
NA,"Adults' services","110.88462332071714","0","110.88462332071714","0","0","0","110.88462332071714","0","110.88462332071714","0","0","21","21","89.884623320717139","89.884623320717139","89.884623320717139"
NA,"Generic services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A2","Complaints procedures","163.58226608699857","0","163.58226608699857","0","0","0","163.58226608699857","0","163.58226608699857","0","0","20","20","143.58226608699857","143.58226608699857","143.58226608699857"
NA,"of which (where known): Children's and families services","39.523232074711061","0","39.523232074711061","0","0","0","39.523232074711061","0","39.523232074711061","0","0","0","0","39.523232074711061","39.523232074711061","39.523232074711061"
NA,"Adults' services","124.0590340122875","0","124.0590340122875","0","0","0","124.0590340122875","0","124.0590340122875","0","0","20","20","104.0590340122875","104.0590340122875","104.0590340122875"
NA,"Generic services","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","350.21975088424529","0","350.21975088424529","0","0","0","350.21975088424529","0","350.21975088424529","0","0","41","41","309.21975088424529","309.21975088424529","309.21975088424529"
