"PSS EXPENDITURE IN 2005-06 INCL SSMSS COSTS ALLOCATED TO SERVICE LINES ON A PRO-RATA BASIS (Incl SSMSS Sheet)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","PSS EX1 Return for 2005-06 Draft 3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"GROSS TOTAL COST (Current expenditure including capital charges)",NA,NA,NA,NA,NA,NA,NA,NA,"INCOME",NA,NA,NA,"NET","NET","GROSS"
"Service",NA,"Own provision (including joint arrangements)",NA,NA,"Provision by others",NA,NA,"Total (including joint arrangements)",NA,NA,"Client","Joint","Other","TOTAL","CURRENT","TOTAL","CURRENT"
NA,NA,"Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","Expenditure","Capital","Expenditure","contributions","arrangements","income","INCOME","EXPENDITURE","COST","EXPENDITURE"
NA,NA,"including","charges","excluding","including","charges","excluding","including","charges","excluding","(Sales,",NA,NA,"(including",NA,NA,NA
NA,NA,"capital",NA,"capital","capital","(council's","capital","capital","(council's","capital","Fees and",NA,NA,"joint",NA,NA,NA
NA,NA,"charges",NA,"charges","charges","own assets)","charges","charges","own assets)","charges","Charges)",NA,NA,"arrangements)",NA,NA,NA
"col A","col B","col C","col D","col E = C - D","col F","col G","col H = F - G","Col I = C + F","Col J = D + G","Col K = E + H","col L","col M","col N","col O = (L to N)","col P = K - O","col Q = I - O","col R = K - M - N"
"A:","SERVICE STRATEGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","9302.4324806960831","14.526677576999999","9287.9058031190834","320","0","320","9622.4324806960831","14.526677576999999","9607.9058031190834","325.04663982189851","163.57001005199999","298.95503260546917","787.57168247936772","8820.3341206397163","8834.8607982167159","9145.3807604616159"
NA,"of which (where known): Children's and families services","362.97341099298802","0","362.97341099298802","0","0","0","362.97341099298802","0","362.97341099298802","0","0","0","0","362.97341099298802","362.97341099298802","362.97341099298802"
NA,"Adults' services","1341.767219633567","2","1339.767219633567","0","0","0","1341.767219633567","2","1339.767219633567","5","27","3","35","1304.767219633567","1306.767219633567","1309.767219633567"
NA,"Generic services","7597.6918500695274","12.526677576999999","7585.1651724925277","320","0","320","7917.6918500695274","12.526677576999999","7905.1651724925277","320.04663982189851","136.57001005199999","295.95503260546917","752.57168247936772","7152.5934900131597","7165.1201675901593","7472.6401298350584"
"A2","Complaints procedures","4144.1072507669624","5.0692199999999996","4139.0380307669629","26","0","26","4170.1072507669624","5.0692199999999996","4165.0380307669629","11.999939290917922","0","157.67356289460903","169.67350218552696","3995.3645285814368","4000.4337485814367","4007.3644678723545"
NA,"of which (where known): Children's and families services","368.56336389962729","1","367.56336389962729","0","0","0","368.56336389962729","1","367.56336389962729","0","0","0","0","367.56336389962729","368.56336389962729","367.56336389962729"
NA,"Adults' services","954.81114198218233","3","951.81114198218233","0","0","0","954.81114198218233","3","951.81114198218233","12","0","1","13","938.81114198218233","941.81114198218233","950.81114198218233"
