"SOCIAL CARE EXPENDITURE IN 2007-08 INCLUDING SSMSS COSTS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18"
"Check that cell L112 and L179 match total social services expenditure for Children's and Families services and Adults' services recorded in the authority's accounts and complete cells L115 and L182.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All entries in £'000s",NA,"GROSS TOTAL COST",NA,NA,NA,"INCOME",NA,NA,NA,NA,NA,NA,NA,"MEMORANDUM",NA,NA,NA
"Service",NA,"Current expenditure including capital charges",NA,NA,"TOTAL","Client",NA,NA,NA,NA,NA,NA,NA,"Capital charges",NA,NA,NA
NA,NA,"Own provision",NA,"Grants","EXPENDITURE","contributions",NA,NA,NA,"INCOME",NA,NA,NA,"Own","Provision",NA,NA
NA,NA,"(including",NA,"to","(including","(Sales,",NA,"Income",NA,"(including","NET","GROSS",NA,"Provision","by others","NET","GROSS"
NA,NA,"joint","Provision","Voluntary","joint","Fees and","Joint","from","Other","joint","TOTAL","TOTAL",NA,"included in","included in","CURRENT","CURRENT"
NA,NA,"arrangements)","by others","Organisations","arrangements)","Charges)","arrangements","NHS","income","arrangements)","EXPENDITURE","EXPENDITURE",NA,"col C","cols D and E","EXPENDITURE","EXPENDITURE"
"col A","col B","col C","col D","col E","col F = (C to E)","col G","col H","col I","col J","col K = (G to J)","col L = (F - K)","col M = F - H - I - J",NA,"col O","col P","col Q = (L - O - P)",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ADULTS' SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A:","SERVICE STRATEGY: Adults' services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","415","0","0","415","0","0","0","0","0","415","415",NA,"0","0","415","415"
"A2","Complaints procedures","344","0","0","344","0","0","0","0","0","344","344",NA,"0","0","344","344"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","759","0","0","759","0","0","0","0","0","759","759",NA,"0","0","759","759"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","Assessment and care management","15732","94","0","15826",NA,NA,"43","90","133","15693","15693",NA,"7",NA,"15686","15686"
"B2","Nursing care placements",NA,"21614","0","21614","8050",NA,"551",NA,"8601","13013","21063",NA,NA,NA,"13013","21063"
"B3","Residential care placements","17597","27503","0","45100","13371",NA,"1049","131","14551","30549","43920",NA,"190",NA,"30359","43730"
"B4","Supported and other accommodation","0","147","0","147","2",NA,"4",NA,"6","141","143",NA,NA,NA,"141","143"
"B5","Direct payments",NA,"2557","0","2557","138",NA,"56",NA,"194","2363","2501",NA,NA,NA,"2363","2501"
"B6","Home care","12611","16908","0","29519","4930",NA,"161","38","5129","24390","29320",NA,NA,NA,"24390","29320"
"B7","Day care","6810","1455","430","8695","555",NA,"611","46","1212","7483","8038",NA,"89",NA,"7394","7949"
"B8","Equipment and adaptations","1792","0","0","1792",NA,NA,NA,"30","30","1762","1762",NA,NA,NA,"1762","1762"
"B9","Meals","0","1420","0","1420","823",NA,"36",NA,"859","561","1384",NA,NA,NA,"561","1384"
"B10","Other services to older people","605","1400","1715","3720","88",NA,"22","232","342","3378","3466",NA,NA,NA,"3378","3466"
"B11","TOTAL OLDER PEOPLE excluding Supporting People (LINES B1 to B10)","55147","73098","2145","130390","27957","0","2533","567","31057","99333","127290",NA,"286","0","99047","127004"
"B12","Supporting People","331","4720",NA,"5051",NA,NA,NA,"75","75","4976","4976",NA,NA,NA,"4976","4976"
"B13","TOTAL OLDER PEOPLE including Supporting People (LINES B11+B12)","55478","77818","2145","135441","27957","0","2533","642","31132","104309","132266",NA,"286","0","104023","131980"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
