"SOCIAL CARE EXPENDITURE IN 2007-08 INCLUDING SSMSS COSTS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18"
"Check that cell L112 and L179 match total social services expenditure for Children's and Families services and Adults' services recorded in the authority's accounts and complete cells L115 and L182.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"All entries in £'000s",NA,"GROSS TOTAL COST",NA,NA,NA,"INCOME",NA,NA,NA,NA,NA,NA,NA,"MEMORANDUM",NA,NA,NA
"Service",NA,"Current expenditure including capital charges",NA,NA,"TOTAL","Client",NA,NA,NA,NA,NA,NA,NA,"Capital charges",NA,NA,NA
NA,NA,"Own provision",NA,"Grants","EXPENDITURE","contributions",NA,NA,NA,"INCOME",NA,NA,NA,"Own","Provision",NA,NA
NA,NA,"(including",NA,"to","(including","(Sales,",NA,"Income",NA,"(including","NET","GROSS",NA,"Provision","by others","NET","GROSS"
NA,NA,"joint","Provision","Voluntary","joint","Fees and","Joint","from","Other","joint","TOTAL","TOTAL",NA,"included in","included in","CURRENT","CURRENT"
NA,NA,"arrangements)","by others","Organisations","arrangements)","Charges)","arrangements","NHS","income","arrangements)","EXPENDITURE","EXPENDITURE",NA,"col C","cols D and E","EXPENDITURE","EXPENDITURE"
"col A","col B","col C","col D","col E","col F = (C to E)","col G","col H","col I","col J","col K = (G to J)","col L = (F - K)","col M = F - H - I - J",NA,"col O","col P","col Q = (L - O - P)",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ADULTS' SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A:","SERVICE STRATEGY: Adults' services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A1","Strategic management","309",NA,NA,"309",NA,NA,"169","21","190","119","119",NA,NA,NA,"119","119"
"A2","Complaints procedures","49",NA,NA,"49",NA,NA,NA,NA,"0","49","49",NA,NA,NA,"49","49"
"A3","TOTAL SERVICE STRATEGY (LINES A1 to A2)","358","0","0","358","0","0","169","21","190","168","168",NA,"0","0","168","168"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B:","OLDER PEOPLE (AGED 65 OR OVER) INCLUDING OLDER MENTALLY ILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1","Assessment and care management","4928","0","15","4943","0",NA,"301","13","314","4629","4629",NA,"219",NA,"4410","4410"
"B2","Nursing care placements",NA,"5061",NA,"5061","1418",NA,"630","1","2049","3012","4430",NA,NA,NA,"3012","4430"
"B3","Residential care placements","4671","4579",NA,"9250","2236",NA,"1137","0","3373","5877","8113",NA,"17",NA,"5860","8096"
"B4","Supported and other accommodation","43","21",NA,"64",NA,NA,NA,NA,"0","64","64",NA,"2",NA,"62","62"
"B5","Direct payments",NA,"232",NA,"232",NA,NA,NA,NA,"0","232","232",NA,NA,NA,"232","232"
"B6","Home care","1651","4063",NA,"5714","828",NA,NA,NA,"828","4886","5714",NA,"34",NA,"4852","5680"
"B7","Day care","782","35","74","891","74",NA,"28",NA,"102","789","863",NA,"14",NA,"775","849"
"B8","Equipment and adaptations","585","0","37","622",NA,NA,NA,NA,"0","622","622",NA,"31",NA,"591","591"
"B9","Meals",NA,"268",NA,"268","288",NA,NA,NA,"288","-20","268",NA,"8",NA,"-28","260"
"B10","Other services to older people","3","796","208","1007","1",NA,"151",NA,"152","855","856",NA,"4",NA,"851","852"
"B11","TOTAL OLDER PEOPLE excluding Supporting People (LINES B1 to B10)","12663","15055","334","28052","4845","0","2247","14","7106","20946","25791",NA,"329","0","20617","25462"
"B12","Supporting People","29",NA,NA,"29",NA,NA,NA,NA,"0","29","29",NA,"4",NA,"25","25"
"B13","TOTAL OLDER PEOPLE including Supporting People (LINES B11+B12)","12692","15055","334","28081","4845","0","2247","14","7106","20975","25820",NA,"333","0","20642","25487"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
