,"Personal Social Services Expenditure and Unit Cost - England and Councils with Adult Social Services Responsibilites tables, 2008-09: Activity Data (Final)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Assessments and services received,,,,,,,Assessments and services received,,,,,,,,,,Assessments and services received,,,,,,,,,,Supported Residents,,,,,,,,,,,,Supported Residents,,,,,,,,,,,,,,,,Supported Residents,,,,,,,,,,,,Home Care/ Home Help,,,,,Day Care/Day Services,,,,,,,,"Direct payments - carers, caring for adults",,,,,Other,,,,,
,,Clients with completed assessments,,,,,,,Receiving services at 31 March 2009,,,,,,,,,,Receiving services at 31 March 2009,,,,,,,,,,Number of weeks* spent in residential and nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 28a,,,,Full cost paying residents*,,,,,,,,,,,,Residents wholly funded under Section 256 [formerly Section 28a],,,,,,,,,,,,Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):,,,,,,,,,,,,"Table 1 line 4 column A (Total hours, LA)","Table 1 line 4 column B (Total hours, Independent sector)",Table 3B (Hhs receiving >10 hours and 6+ visits),Actual hours of home care provided during the year,,Number of day care or day services clients per week on average during the year¹,,,,,,,,Carers receiving direct payments during year (used for NI 130),,,,,"Total number of meals per week, on average during the year:",,Reviews completed between 1 April 2008 and 31 March 2009,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of weeks spent in LA residential homes (both permanent and temporary placements) by,,,,Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by,,,,Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by,,,,Number of weeks spent in LA residential homes (both permanent and temporary placements) by,,,,Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by,,,,Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income) by,,,,residents aged 65 and over in nursing placements,residents aged 65 and over in own provision residential placements,residents aged 65 and over in residential placements provided by others,pd residents aged 18-64 in nursing placements,pd residents aged 18-64 in own provision residential placements,pd residents aged 18-64 in residential placements provided by others,ld residents aged 18-64 in nursing placements,ld residents aged 18-64 in own provision residential placements,ld residents aged 18-64 in residential placements provided by others,mh residents aged 18-64 in nursing placements,mh residents aged 18-64 in own provision residential placements,mh residents aged 18-64 in residential placements provided by others,,,,,,"clients aged 65 and over, own provision","clients aged 65 and over, provision by others","pd clients aged 18-64, own provision","pd clients aged 18-64, provision by others","ld clients aged 18-64, own provision","ld clients aged 18-64, provision by others","mh clients aged 18-64, own provision","mh clients aged 18-64, provision by others",,,,,,,,Older people (aged 65 or over) including older mentally ill,Adults aged under 65 with a physical disability or sensory impairment,Adults aged under 65 with learning disabilities,Adults aged under 65 with mental health needs
,,Table A1 Box 1 (Overall total of existing clients with completed reviews),Table A7 Page 2 sum lines 1-5 col 1 (completed assessments 18-64 pd),Table A7 Page 2 sum lines 1-5 col 2 (completed assessments 18-64 ld),Table A7 Page 2 sum lines 1-5 col 3 (completed assessments 18-64 mh),Table A7 Page 2 sum lines 1-5 col 4 (completed assessments 18-64 sm),Table A7 Page 2 sum lines 1-5 col 5 (completed assessments 18-64 vp),Table A7 Page 1 sum lines 6-10 (completed assessments 65+ totals),Table P2s Page 1 line 1 col 2 (18-64 pd home care),Table P2s Page 1 line 1 col 3 (18-64 pd day care),Table P2s Page 2 line 1 col 1 (18-64 pd direct payments),Table P2s Page 1 line 9 col 2 (18-64 ld home care),Table P2s Page 1 line 9 col 3 (18-64 ld day care),Table P2s Page 2 line 9 col 1 (18-64 ld direct payments),Table P2s Page 1 line 6 col 2 (18-64 mh home care),Table P2s Page 1 line 6 col 3 (18-64 mh day care),Table P2s Page 2 line 6 col 1 (18-64 mh direct payments),Table P2s Page 2 line 11 col 1 (18-64 total direct payments),Table P2s Pages 3 + 5 line 11 col 2 (65+ home care),Table P2s Pages 3 + 5 line 11 col 3 (65+ day care),Table P2s Pages 3 + 5 line 11 col 4 (65+ meals),Table P2s Pages 4 line 11 col 1 (65-74 direct payments),Table P2s Page 7 box 1 (75-84 direct payments),Table P2s Page 7 box 2 (85+ direct payments),Table P2s Pages 1 + 3 + 5 line 11 col 2 (all ages home care),Table P2s Pages 1 + 3 + 5 line 11 col 3 (all ages day care),Table P2s Pages 1 + 3 + 5 line 11 col 4 (all ages meals),Table P2s Pages 2 + 4 + 6 line 11 col 1 (all ages direct payments),Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,Residents aged 65 and over,Residents aged 18 to 64 with ,,,,,,,,,,,,,,,,,, - provided by the Council, - provided by the independent sector,,,,,,,,,  Young carers (aged 16-17),Carers (aged 18-64),Carers (aged 65-74),Carers (aged 75-84),Carers (aged 85 and over),provided by the independent sector,provided by LA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,a Physical or Sensory Disability,a Learning Disability,Mental Health Needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A1,A1.2,A1.3,A1.4,A1.5,A1.6,A1.7,A2.1,A2.2,A2.3,A2.4,A2.5,A2.6,A2.7,A2.8,A2.9,A2.10,A2.11,A2.12,A2.13,A2.14,A2.15,A2.16,A2.17,A2.18,A2.19,A2.20,C1,C4,C5,C6,C7.1,C7.2,C7.3,C7.4,C8.1,C8.2,C8.3,C8.4,C9.1,C9.2,C9.3,C9.4,C10.1,C10.2,C10.3,C10.4,C11.1,C11.2,C11.3,C11.4,C12.1,C12.2,C12.3,C12.4,D1.1,D1.2,D1.3,D1.4,D1.5,D1.6,D1.7,D1.8,D1.9,D1.10,D1.11,D1.12,F1.1,F1.2,F1.3,F2.1,F2.2,G1.1,G1.2,G1.3,G1.4,G1.5,G1.6,G1.7,G1.8,H3.1,H3.2,H3.3,H3.4,H3.5,J1.1,J1.2,J2.1,J2.2,J2.3,J2.4
204,Barnsley,"8,130",215,45,980,555,20,"1,505",150,75,95,60,210,65,305,165,25,185,"1,405",435,0,40,70,35,"1,925",885,0,330,"54,125","1,540","3,630","2,940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,880","1,920","43,325",720,0,815,305,0,"3,325",155,0,"2,780","7,945","15,040",605,"413,140","782,080",325,150,35,5,205,-,165,0,0,0,0,0,0,0,0,"8,190",980,565,205
406,Birmingham,"19,305","3,070",280,"1,735",135,270,"11,740",510,300,375,405,960,170,75,145,25,575,"4,820","1,085",795,150,215,120,"5,840","2,505",840,"1,060","183,370","11,765","40,900","11,890","5,785",50,0,0,"7,525",70,930,105,"5,860",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"71,230","34,585","77,560","4,940",495,"6,330","1,820","3,735","35,345","3,375",115,"8,400","16,375","70,100","2,360","877,550","3,645,150",725,200,130,110,700,120,255,5,-,"1,835",415,235,40,0,"6,060","10,610","2,040","1,790","1,420"
