"Personal Social Services Expenditure and Unit Cost - England and Councils with Adult Social Services Responsibilites tables, 2009-10: Activity Data (Final)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ASSESSMENTS, REVIEWS AND SERVICES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORTED RESIDENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEOPLE IN SUPPORTED AND OTHER ACCOMMODATION,,,,,,,,,,,,HOME CARE,,,,,DAY CARE / DAY SERVICES,,,,,,,,,,,,"DIRECT PAYMENTS - Carers, caring for adults",,,,,,EQUIPMENT AND ADAPTATIONS,,,OTHER,
,"Overall total of existing clients with completed reviews (RAP A1 Page 1, Box 1)",Reviews completed between 1 April 2009 and 31 March 2010,,,,People with completed assessments in 2009-10,,,,,,People receiving services at 31 March 2010,,,,,,,,,,,,,,,,,,,,Numbers of people resident in residential or nursing care (both permanent and temporary) at 31st March excluding full cost paying residents and residents wholly funded under Section 256 [formerly Section 28a],,,,Number of weeks spent in residential and nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 [formerly Section 28a] during the year,,,,,,,,,,,,,,,,,,Full cost paying residents: Number of weeks spent in LA residential homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Full cost paying residents: Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Full cost paying residents: Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Residents wholly funded under Section 256 [formerly Section 28a] : Number of weeks spent in LA residential homes (both permanent and temporary placements),,,,Residents wholly funded under Section 256 : Number of weeks spent in residential homes provided by others (both permanent and temporary placements),,,,Residents wholly funded under Section 256 : Number of weeks spent in nursing homes (both permanent and temporary placements),,,,Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):,,,,,,,,,,,,Number of supported weeks over year:,Supported living / group homes,,,Adult Placement settings (including for respite care),,,,Number of people supported during year through Community Support Services:,,,,Number of clients receiving homecare of more than 10 hours AND 6 or more visits per week,Actual hours of home care provided during the year:,,Number of people supported during the year with:,,Number of day care or day services clients per week on average during the year,,,,,,,,Numbers of clients supported during the year in day care or day services with a view to employment,,,,Carers receiving direct payments during year,,,,,,Numbers of clients who have received one or more prescriptions in the year  ,Telecare,,"Total number of meals per week, on average during the year:",
,,Number of completed reviews of clients aged 65 and over,Number of completed reviews of clients aged 18-64 with a Physical disability,Number of completed reviews of clients aged 18-64 with Mental health needs,Number of completed reviews of clients aged 18-64 with a Learning disability,"Physical disability, 18-64, completed assessments (RAP A7 Page 2, column 1, sum of rows 1-5)","Mental health, 18-64, completed assessments (RAP A7 Page 2, column 2, sum of rows 1-5)","Learning disability, 18-64, completed assessments (RAP A7 Page 2, column 3, sum of rows 1-5)","Substance misuse, 18-64, completed assessments (RAP A7 Page 2, column 4, sum of rows 1-5)","Other vulnerable people, 18-64, completed assessments (RAP A7 Page 2, column 5, sum of rows 1-5)","All clients aged 65 and over, completed assessments (RAP A7 Page 1, column 1, sum of rows 6-10)","Physical disability, 18-64, Home care (RAP P2s Page 1, column 2, row 1)","Physical disability, 18-64, Day care (RAP P2s Page 1, column 3, row 1)","Physical disability, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 1)","Mental health, 18-64, Home care (RAP P2s Page 1, column 2, row 6)","Mental health, 18-64, Day care (RAP P2s Page 1, column 3, row 6)","Mental health, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 6)","Learning disability, 18-64, Home care (RAP P2s Page 1, column 2, row 8)","Learning disability, 18-64, Day care (RAP P2s Page 1, column 3, row 8)","Learning disability, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 8)","Total 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 11)","Total 65 and over, Home care (sum of RAP P2s Pages 3 and 5, column 2, row 11)","Total 65 and over, Day care (sum of RAP P2s Pages 3 and 5, column 3, row 11)","Total 65 and over, Meals (sum of RAP P2s Pages 3 and 5, column 4, row 11)","Total 65-74, Existing / new Direct payments and Personal Budgets (RAP P2s Page 4, column 1, row 11)","Total 75-84, Number of clients receiving Direct payments (RAP P2s Page 7, box 1)","Total 85 and over, Number of clients receiving Direct payments (RAP P2s Page 7, box 2)","Total all ages, Home care (sum of RAP P2s Pages 1, 3 and 5, column 2, row 11)","Total all ages, Day care (sum of RAP P2s Pages 1, 3 and 5, column 3, row 11)","Total all ages, Meals (sum of RAP P2s Pages 1, 3 and 5, column 4, row 11)","Total all ages, Existing / new Direct payments and Personal Budgets (sum of RAP P2s Pages 2, 4 and 6, column 1, row 11)",Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,of which:  Rehabilitation / Intermediate care,Respite Care,Short term care,Older People aged 65 or over with Mental health needs,,Older People Aged 65 or over with a Learning disability,,Residents aged 18-64 with a Physical disability,of which:  ,,,Residents aged 18-64 with Mental health needs,of which:,,Residents aged 18-64 with a Learning disability,of which:,,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over in nursing placements,Residents aged 65 and over in own provision residential placements,Residents aged 65 and over in residential placements provided by others,Residents aged 18-64 with a Physical disability in nursing placements,Residents aged 18-64 with a Physical disability in own provision residential placements,Residents aged 18-64 with a Physical disability in residential placements provided by others,Residents aged 18-64 with Mental health needs in nursing placements,Residents aged 18-64 with Mental health needs in own provision residential placements,Residents aged 18-64 with Mental health needs in residential placements provided by others,Residents aged 18-64 with a Learning disability in nursing placements,Residents aged 18-64 with a Learning disability in own provision residential placements,Residents aged 18-64 with a Learning disability in residential placements provided by others,Older People in Extra Care Housing,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,People aged 65 and over,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,People aged 65 and over,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,,Provided by the council,Provided by the independent sector,Rehabilitation / re-enablement / intermediate care home care ,Live in Home Care,"Clients aged 65 and over, own provision","Clients aged 65 and over, provision by others","Clients aged 18-64 with a Physical disability, own provision","Clients aged 18-64 with a Physical disability, provision by others","Clients aged 18-64 with Mental health needs, own provision","Clients aged 18-64 with Mental health needs, provision by others","Clients aged 18-64 with a Learning disability, own provision","Clients aged 18-64 with a Learning disability, provision by others",People aged 18-64 with a Physical disability,People aged 18-64 with Mental Health needs,People aged 18-64 with a Learning disability,People aged 18-64 receiving other adult services,Young carers (aged 16-17),Carers aged 18-64,Carers aged 65-74,Carers aged 75-84,Carers aged 85 and over,Carers receiving direct payments at 31 March 2010,,"Numbers of clients newly provided in year with one or more telecare services (incl telecare maintenance) funded, at least in part, by the CASSR ","Numbers of clients at year end with one or more telecare services (incl telecare maintenance) funded, at least in part, by the CASSR ",provided by the independent sector,provided by LA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of weeks spent in residential care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in residential care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,,Rehabilitation / Intermediate care,Respite Care,Short term care,, Respite Care,Short term care,, Respite Care,Short term care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1.1,A2.1,A2.2,A2.3,A2.4,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A4.1,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A4.10,A4.11,A4.12,A4.13,A4.14,A4.15,A4.16,A4.17,A4.18,A4.19,A4.20,B1,B2,B3,B4,C1,C1.1,C1.2,C1.3,C2.1,C2.2,C3.1,C3.2,C4,C4.1,C4.2,C4.3,C5,C5.2,C5.3,C6,C6.2,C6.3,C7.1,C7.2,C7.3,C7.4,C8.1,C8.2,C8.3,C8.4,C9.1,C9.2,C9.3,C9.4,C10.1,C10.2,C10.3,C10.4,C11.1,C11.2,C11.3,C11.4,C12.1,C12.2,C12.3,C12.4,D1.1,D1.2,D1.3,D1.4,D1.5,D1.6,D1.7,D1.8,D1.9,D1.10,D1.11,D1.12,E1,E2.1,E2.2,E2.3,E3.1,E3.2,E3.3,E3.4,E4.1,E4.2,E4.3,E4.4,F1.1,F2.1,F2.2,F3.1,F3.2,G1.1,G1.2,G1.3,G1.4,G1.5,G1.6,G1.7,G1.8,G2.1,G2.2,G2.3,G2.4,H3.1,H3.2,H3.3,H3.4,H3.5,H4,I1,I2.1,I2.2,J1.1,J1.2
102-Cumbria,"18,170","27,305","4,185","1,860","1,480",990,955,65,0,20,"5,190",350,170,425,130,355,70,430,710,245,745,"2,750","1,205",825,275,675,835,"3,665","2,450",875,"2,530","2,015",65,40,195,"105,740",..,..,..,"1,510",180,"1,740",310,"3,720",..,..,..,"2,030",..,..,"9,905",..,..,"15,495",0,0,0,"14,510",105,50,50,"8,370",155,50,0,0,0,0,0,210,0,"1,300",0,0,0,0,0,"27,870","31,825","46,045","1,835",180,"1,705",330,45,"1,655","1,455","1,590","6,865","8,350",95,0,360,0,0,0,-,..,..,..,..,"1,675","695,500","2,214,630",..,..,725,655,285,285,240,235,165,165,..,..,..,..,0,0,0,0,0,0,0,450,295,140,"2,750"
104-Northumberland UA,"12,355","9,005","1,300",870,"1,185",720,130,40,0,0,"3,945",275,45,305,75,310,15,200,365,70,390,"2,100",610,215,235,170,90,"2,650","1,330",215,890,"1,445",45,60,270,"71,160",0,0,"2,150","26,990","6,985","4,620",185,"2,175",0,0,120,"2,835",0,35,"14,325",0,410,75,0,0,0,"15,175",315,80,0,"4,240",50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,825","1,520","51,820",360,0,"1,815",225,0,"2,610",115,"1,175","13,035",..,..,..,..,365,0,45,"2,075",..,..,..,..,930,..,..,..,..,330,490,5,45,-,315,315,215,..,..,..,..,0,10,-,-,0,..,..,..,..,740,0
106-Gateshead,"4,670","8,400","1,510",505,860,390,55,25,25,50,"1,900",165,30,110,75,60,25,140,120,50,195,"1,230",150,385,20,25,15,"1,625",360,405,255,965,75,35,125,"53,960","4,415",870,"3,070","9,900","3,110",860,50,"2,875",55,270,415,"1,855",10,55,"7,440",195,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,"1,705",0,0,0,0,"14,505","4,575","34,875","1,085",85,"1,705",115,55,"1,680",290,40,"7,110","8,780",80,490,"3,415",50,0,0,230,..,..,..,..,565,"323,080","522,335",..,..,180,95,35,-,70,0,210,15,-,-,80,0,0,15,-,0,-,15,0,525,"8,050",0,"1,615"
107-Newcastle upon Tyne,"6,855","9,580","1,640","1,010","1,060",610,55,10,25,15,"2,385",330,70,280,90,45,35,550,245,210,525,"2,005",435,220,140,260,250,"2,975",795,255,"1,175","1,185",55,75,60,"65,225",..,825,"1,120","8,995","5,110",825,295,"2,960",..,70,45,"4,660",95,"1,330","3,325",340,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,600,420,0,730,0,"21,505","2,870","40,850","1,605",0,"1,355","2,430",715,"1,510",255,335,"2,735",..,0,0,0,0,0,0,485,"5,640","1,235",660,740,"1,000",..,..,0,0,50,395,10,65,10,30,185,60,..,..,..,..,0,195,30,15,10,..,0,920,"3,115",0,"1,195"
108-North Tyneside,"5,325","3,845",515,445,505,390,115,30,20,15,"2,150",145,35,110,10,105,20,20,210,55,185,"1,200",305,390,75,150,130,"1,375",655,405,540,890,40,30,175,"51,210",..,..,..,"10,535","7,225","1,320",60,"1,970",..,..,..,"1,165",..,..,"6,255",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500","3,270",0,0,0,25,"19,050","1,860","30,300",525,0,"1,445",200,0,970,40,"1,360","4,850",..,..,..,..,..,..,..,..,..,..,..,..,290,"139,075","377,635",..,..,60,330,0,35,25,90,60,180,..,..,..,..,0,5,-,-,-,..,..,..,..,0,"4,625"
109-South Tyneside,"5,275","8,120","1,230",345,560,455,220,30,10,55,"1,955",125,45,125,15,0,20,160,250,35,180,"1,275",315,45,45,35,25,"1,580",610,50,290,880,40,55,115,"45,450",..,..,..,..,..,..,..,"2,180",..,..,..,"3,365",..,..,"4,280",..,..,695,0,0,0,85,0,-,0,15,0,0,0,0,0,0,0,"1,155",0,"2,575",0,0,0,0,0,"12,635","4,675","28,140","1,270",90,820,665,30,"2,670","1,310",5,"2,965","3,310",50,5,"2,535",0,0,0,440,5,10,120,70,750,..,..,845,-,375,..,85,..,..,0,160,0,0,0,25,0,0,255,90,35,-,0,0,795,"4,755",130,125
