"Final Detailed Unit Cost, England 2009-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross total cost for residential and nursing care and home help/care for all adult client groups and older people during year ended 31 March 2010 (£000's),The total number of weeks all adult client groups and older people were supported in residential and nursing care during year ended 31 March 2010 (including full cost paying and preserved rights residents) plus 52 times the number of clients on the books to receive homecare as at 31st March 2010.,Average gross weekly expenditure per person on supporting adults and older people in residential and nursing care (including full cost paying and preserved rights residents) and providing intensive home care,Gross total cost for residential and nursing care for older people during year ended 31 March 2010 (£000's),The total number of weeks older people were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in residential and nursing care (including full cost paying and preserved rights residents),"Gross total cost (less income from joint arrangements, Income from NHS and other income) for residential and nursing care for older people during year ended 31 March 2010 (£000's)",The total number of weeks older people (excluding those wholly supported by the NHS under Section 256 [formerly Section 28a] were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in residential and nursing care (including full cost paying and preserved rights residents but excluding those wholly supported by the NHS under Section 256 [formerly Section 28a],Gross total cost for nursing care for older people during year ended 31 March 2010 (£000's),The total number of weeks older people (including full cost and preserved rights clients) were supported in nursing care during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in nursing care,Gross total cost for residential care for older people during year ended 31 March 2010 (£000's),The total number of weeks older people were supported in residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in residential care (including full cost paying and preserved rights residents),Gross total cost for own provision residential care for older people during year ended 31 March 2010 (£000's),The total number of weeks older people were supported in own provision residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in own provision residential care (including full cost paying and preserved rights residents),Gross total cost for residential care for older people provided by others during year ended 31 March 2010 (£000's),The total number of weeks older people (including full cost paying and preserved rights residents) were supported in residential care provided by others during year ended 31 March 2010,Average gross weekly expenditure per person on supporting older people in residential care provided by others,Gross total cost for residential and nursing care for adults with a Learning disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Learning disability were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure on supporting adults with a Learning disability in residential and nursing care (including full cost paying and preserved rights residents),"Gross total cost (less income from joint arrangements, NHS income and other income) for residential and nursing care for adults with a Learning disability during year ended 31 March 2010 (£000's)",The total number of weeks adults aged 18-64 with a Learning disability (excluding those wholly supported by the NHS under Section 256 [formerly Section 28a]) were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure on supporting adults with a Learning disability in residential and nursing care (including full cost paying and preserved rights residents but excluding those wholly supported by the NHS under Section 256 [formerly Section 28a]),Gross total cost for nursing care for adults aged 18-64 with a Learning disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Learning disability (including full cost paying and preserved rights residents) were supported in nursing care during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Learning disability in nursing care (including full cost paying and preserved rights residents),Gross total cost for residential care for adults aged 18-64 with a Learning disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Learning disability were supported in residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Learning disability in residential care (including full cost paying and preserved rights residents),Gross total cost for own provision residential care for adults aged 18-64 with a Learning disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Learning disability were supported in own provision residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Learning disability in own provision residential care (including full cost paying and preserved rights residents),Gross total cost for residential care for adults aged 18-64 with a Learning disability provided by others during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Learning disability (including full cost and preserved rights clients) were supported in residential care provided by others during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Learning disability in residential care provided by others (including full cost and preserved rights clients),Gross total cost for residential and nursing care for adults with mental illness during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with mental illness were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure on supporting adults with mental illness in residential and nursing care (including full cost paying and preserved rights residents),"Gross total cost (less income from joint arrangements, Income from NHS and other income) for residential and nursing care for adults with mental illness during year ended 31 March 2010 (£000's)",The total number of weeks adults aged 18-64 with mental illness (excluding those wholly supported by the NHS under Section 256 [formerly Section 28a]) were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure on supporting adults with mental illness in residential and nursing care (including full cost paying and preserved rights residents but excluding those wholly supported by the NHS under Section 256 [formerly Section 28a]),Gross total cost for nursing care for adults aged 18-64 with mental health needs during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with mental health needs (including full cost paying and preserved rights residents) were supported in nursing care during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with mental health needs in nursing care (including full cost paying and preserved rights residents),Gross total cost for residential care for adults aged 18-64 with mental health needs during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with mental health needs were supported in residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with mental health needs in residential care (including full cost paying and preserved rights residents),Gross total cost for own provision residential care for adults aged 18-64 with mental health needs during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with mental health needs were supported in own provision residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with mental health needs in own provision residential care (including full cost paying and preserved rights residents),Gross total cost for residential care for adults aged 18-64 with mental health needs provided by others during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with mental health needs (including full cost and preserved rights clients) were supported in residential care provided by others during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with mental health needs in residential care provided by others (including full cost and preserved rights clients),Gross total cost for residential and nursing care for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Physical disability were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults with a Physical disability in residential and nursing care (including full cost paying and preserved rights residents),"Gross total cost (less income from joint arrangements, Income from NHS and other income) for residential and nursing care for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's)",The total number of weeks adults aged 18-64 with a Physical disability (excluding those wholly supported by the NHS under Section 256 (formerly Section 28a) were supported in residential and nursing care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults with a Physical disability in residential and nursing care (including full cost paying and preserved rights residents but excluding those wholly supported by the NHS under Section 256 [formerly Section 28a]),Gross total cost for nursing care for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Physical disability (including full cost and preserved rights clients) were supported in nursing care during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Physical disability (including full cost and preserved rights clients) in nursing care,Gross total cost for residential care for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Physical disability were supported in residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Physical disability in residential care (including full cost paying and preserved rights residents),Gross total cost for own provision residential care for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Physical disability were supported in own provision residential care (including full cost paying and preserved rights residents) during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Physical disability in own provision residential care (including full cost paying and preserved rights residents),Gross total cost for residential care for adults aged 18-64 with a Physical disability provided by others during year ended 31 March 2010 (£000's),The total number of weeks adults aged 18-64 with a Physical disability (including full cost and preserved rights clients) were supported in residential care provided by others during year ended 31 March 2010,Average gross weekly expenditure per person on supporting adults aged 18-64 with a Physical disability in residential care provided by others (including full cost and preserved rights residents),Gross total cost for home care/home help for all adult client groups and older people during year ended 31 March 2010 (£000's),The actual number of home help/care contact hours for all adult client groups and older people during the year,Average gross hourly cost for home help/care,Gross total cost for home care/home help provided by LA for all adult client groups and older people during year ended 31 March 2010 (£000's),The actual number of home help/care contact hours provided by LA for all adult client groups and older people during the year,Average gross hourly cost for home help/care provided by LA,Gross total cost for home care/home help provided by independent sector for all adult client groups and older people during year ended 31 March 2010 (£000's),The actual number of home help/care contact hours provided by independent sector for all adult client groups and older people during the year,Average gross hourly cost for home help/care provided by others,Gross total cost for day care or day services for older people during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for older people during year ended 31 March 2010,Average gross expenditure per day care or day services client for older people,Gross total cost for own provision day care or day services for older people during year ended 31 March 2010 (£000's),The average number of clients of own provision day care or day services per week for older people during year ended 31 March 2010,Average gross expenditure per own provision day care or day services client for older people,Gross total cost for day care or day services for older people provided by others during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for older people provided by others during year ended 31 March 2010,Average gross expenditure per day care or day services clients for older people provided by others,Gross total cost for day care or day services for adults aged 18-64 with a Learning disability during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with a Learning disability during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with a Learning disability,Gross total cost for own provision day care or day services for adults aged 18-64 with a Learning disability during year ended 31 March 2010 (£000's),The average number of clients of own provision day care or day services per week for adults aged 18-64 with a Learning disability during year ended 31 March 2010,Average gross expenditure per own provision day care or day services client for adults aged 18-64 with a Learning disability,Gross total cost for day care or day services for adults aged 18-64 with a Learning disability provided by others during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with a Learning disability provided by others during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with a Learning disability provided by others,Gross total cost for own provision day care or day services for adults aged 18-64 with mental health needs during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with mental health needs during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with mental health needs,Gross total cost for own provision day care or day services for adults aged 18-64 with mental health needs during year ended 31 March 2010 (£000's),The average number of clients of own provision day care or day services per week for adults aged 18-64 with mental health needs during year ended 31 March 2010,Average gross expenditure per own provision day care or day services client for adults aged 18-64 with mental health needs,Gross total cost for day care or day services for adults aged 18-64 with mental health needs provided by others during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with mental health needs provided by others during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with mental health needs provided by others,Gross total cost for day care or day services for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with a Physical disability during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with a Physical disability,Gross total cost for own provision day care or day services for adults aged 18-64 with a Physical disability during year ended 31 March 2010 (£000's),The average number of clients of own provision day care or day services per week for adults aged 18-64 with a Physical disability during year ended 31 March 2010,Average gross expenditure per own provision day care or day services client for adults aged 18-64 with a Physical disability,Gross total cost for day care or day services for adults aged 18-64 with a Physical disability provided by others during year ended 31 March 2010 (£000's),The average number of clients of day care or day services per week for adults aged 18-64 with a Physical disability provided by others during year ended 31 March 2010,Average gross expenditure per day care or day services client for adults aged 18-64 with a Physical disability provided by others,Gross total cost for meals for all adult client groups and older people during year ended 31 March 2010 (£000's),The average number of meals per week provided for all adult client groups and older people,Average gross cost per meal,Gross total cost for meals provided by LA for all adult client groups and older people during year ended 31 March 2010 (£000's),The average number of meals per week provided by LA for all adult client groups and older people,Average gross cost per meal provided by LA,Gross total cost for meals provided by independent sector for all adult client groups and older people during year ended 31 March 2010 (£000's),The average number of meals per week provided by independent sector for all adult client groups and older people,Average gross cost per meal provided by independent sector
102-Cumbria,"133,331","248,846",535.8,"71,760","144,326",497.2,"71,116","144,118",493.5,"17,147","36,244",473.1,"54,613","108,082",505.3,"25,491","47,320",538.7,"29,122","60,762",479.3,"14,966","9,958","1,502.9","7,667","9,958",769.9,"1,127","1,454",775.1,"13,839","8,504","1,627.4","1,847","1,588","1,163.1","11,992","6,916","1,734.0","2,305","3,432",671.6,"1,479","2,132",693.7,306,383,799.0,"1,999","3,049",655.6,23,44,522.7,"1,976","3,005",657.6,"2,445","3,978",614.6,"2,178","3,978",547.5,"1,373","1,990",689.9,"1,072","1,988",539.2,87,178,488.8,985,"1,810",544.2,"41,855","2,910,128",14.4,"13,332","695,500",19.2,"28,523","2,214,628",12.9,"5,693","1,380",79.3,"1,902",723,50.6,"3,791",657,110.9,"8,018",327,471.5,"3,619",164,424.4,"4,399",163,519.0,"2,105",474,85.4,"1,160",238,93.7,945,236,77.0,"1,830",570,61.7,"1,272",286,85.5,558,284,37.8,462,"2,889",3.10,439,"2,751",3.10,23,138,3.20
104-Northumberland UA,"87,467","158,791",550.8,"43,736","90,651",482.5,"42,936","90,651",473.6,"9,806","22,061",444.5,"33,930","68,590",494.7,"2,358","1,595","1,478.4","31,572","66,995",471.3,"16,574","14,327","1,156.8","8,259","14,327",576.5,120,115,"1,043.5","16,454","14,212","1,157.8","3,875","1,177","3,292.3","12,579","13,035",965.0,"1,877","2,966",632.8,520,"2,966",175.3,174,277,628.2,"1,703","2,689",633.3,0,0,.,"1,703","2,689",633.3,"1,717","2,539",676.3,"1,717","2,539",676.3,279,411,678.8,"1,438","2,128",675.8,0,0,.,"1,438","2,128",675.8,"23,563",..,..,"6,223",..,..,"17,340",..,..,"3,927",818,92.3,"2,180",328,127.8,"1,747",490,68.6,"6,005",532,217.1,"4,595",316,279.6,"1,410",216,125.5,"1,763",319,106.3,64,5,246.2,"1,699",314,104.1,308,51,116.1,22,6,70.5,286,45,122.2,311,739,8.10,0,0,.,311,739,8.10
106-Gateshead,"69,901","97,962",713.6,"32,288","54,654",590.8,"28,169","53,958",522.1,"9,739","14,505",671.4,"22,549","40,149",561.6,"4,206","4,576",919.1,"18,343","35,573",515.6,"15,808","9,145","1,728.6","9,403","7,439","1,264.0",348,292,"1,191.8","15,460","8,853","1,746.3",440,39,"11,282.1","15,020","8,814","1,704.1","1,530","1,854",825.2,989,"1,854",533.4,91,115,791.3,"1,439","1,739",827.5,63,57,"1,105.3","1,376","1,682",818.1,"3,497","2,877","1,215.5","2,981","2,877","1,036.1","1,388","1,086","1,278.1","2,109","1,791","1,177.6",85,85,"1,000.0","2,024","1,706","1,186.4","16,778","845,415",19.8,"8,204","323,080",25.4,"8,574","522,335",16.4,"1,122",276,78.2,"1,084",181,115.2,38,95,7.7,"4,421",224,379.6,"4,251",209,391.1,170,15,217.9,914,72,244.1,914,72,244.1,0,0,.,266,42,121.8,215,37,111.7,51,5,196.2,491,"1,614",5.90,491,"1,614",5.90,0,0,.
107-Newcastle upon Tyne,"81,116","130,444",621.8,"32,705","65,644",498.2,"30,574","65,224",468.8,"9,707","21,924",442.8,"22,998","43,720",526.0,"4,515","2,869","1,573.6","18,483","40,851",452.5,"5,319","3,924","1,355.4","4,589","3,325","1,380.0",205,255,803.7,"5,114","3,669","1,393.7",723,337,"2,144.9","4,391","3,332","1,317.8","2,988","5,918",504.9,"2,357","4,660",505.8,"1,278","3,161",404.3,"1,710","2,757",620.1,497,717,693.5,"1,212","2,040",594.3,"2,185","2,958",738.6,"2,185","2,958",738.6,"1,316","1,604",820.2,869,"1,354",642.0,0,0,.,869,"1,354",642.0,"37,920",..,..,"7,726",..,..,"30,193",..,..,"2,758",446,118.9,550,50,211.6,"2,208",396,107.2,"3,292",246,257.3,"3,033",185,315.3,258,61,81.5,160,42,73.1,76,10,145.3,84,32,50.5,312,72,83.4,98,8,234.6,215,64,64.5,397,"1,193",6.40,397,"1,193",6.40,0,0,.
108-North Tyneside,"48,336","80,375",601.4,"25,423","51,210",496.4,"24,031","51,210",469.3,"8,420","19,051",442.0,"17,003","32,159",528.7,"3,499","1,858","1,883.2","13,504","30,301",445.7,"11,824","9,552","1,237.9","3,884","6,254",621.0,36,68,529.4,"11,788","9,484","1,242.9","1,955","1,362","1,435.4","9,833","8,122","1,210.7","1,598","2,669",598.7,423,"1,167",362.5,125,199,628.1,"1,473","2,470",596.4,0,0,.,"1,473","2,470",596.4,"1,042","1,968",529.5,888,"1,968",451.2,342,524,652.7,700,"1,444",484.8,0,0,.,700,"1,444",484.8,"8,449","516,710",16.4,"3,604","139,077",25.9,"4,845","377,633",12.8,"1,078",389,53.3,472,59,153.8,606,330,35.3,"4,800",239,386.2,"3,436",60,"1,101.3","1,364",179,146.5,"1,010",116,167.4,365,27,260.0,645,89,139.4,530,35,291.2,0,0,.,530,35,291.2,516,"4,627",2.10,516,"4,627",2.10,0,0,.
109-South Tyneside,"50,138","98,758",507.7,"25,428","47,402",536.4,"22,120","46,247",478.3,"7,043","12,651",556.7,"18,385","34,751",529.0,"4,833","5,368",900.3,"13,552","29,383",461.2,"6,637","4,282","1,550.0","3,165","4,282",739.1,"1,715","1,311","1,308.2","4,922","2,971","1,656.7",0,7,.,"4,922","2,964","1,660.6","2,093","5,945",352.1,"1,369","3,372",406.0,533,665,801.5,"1,560","5,280",295.5,0,32,.,"1,560","5,248",297.3,"1,486","2,181",681.3,"1,157","2,181",530.5,992,"1,272",779.9,494,909,543.5,0,90,.,494,819,603.2,"14,494",..,..,"3,803",..,..,"10,691",..,..,"3,012",..,..,"2,884",376,147.5,128,..,..,"3,489",160,419.4,"2,301",160,276.6,"1,188",0,.,81,..,..,81,..,..,0,0,.,584,..,..,525,86,117.4,59,..,..,41,254,3.10,21,125,3.20,20,129,3.00
110-Sunderland,"63,690","109,314",582.6,"31,518","65,834",478.7,"30,084","64,472",466.6,"7,757","16,297",476.0,"23,761","49,537",479.7,"1,351","2,673",505.4,"22,410","46,864",478.2,"13,440","8,245","1,630.1","5,118","4,046","1,265.0",197,264,746.2,"13,243","7,981","1,659.3","3,191","2,114","1,509.5","10,052","5,867","1,713.3","1,530","1,687",906.9,"1,067","1,687",632.5,478,920,519.6,"1,052",767,"1,371.6",64,32,"2,000.0",988,735,"1,344.2","1,761","2,088",843.4,"1,715","1,984",864.4,699,"1,069",653.9,"1,062","1,019","1,042.2",461,331,"1,392.7",601,688,873.5,"15,441","897,508",17.2,"4,346","112,198",38.7,"11,095","785,310",14.1,"1,981",301,126.6,"1,080",81,256.4,901,220,78.8,"5,045",282,344.0,"4,183",258,311.8,862,24,690.7,783,106,142.1,716,104,132.4,67,2,644.2,576,32,346.2,412,27,293.4,164,5,630.8,748,"2,006",7.20,748,"2,006",7.20,0,0,.
111-Hartlepool UA,"22,317","47,501",469.8,"11,684","28,891",404.4,"11,448","28,375",403.5,"1,509","4,233",356.5,"10,175","24,658",412.6,0,0,.,"10,175","24,658",412.6,"3,340","2,977","1,121.9","1,612","2,264",712.0,18,41,439.0,"3,322","2,936","1,131.5",0,0,.,"3,322","2,936","1,131.5","1,160","1,838",631.1,960,"1,786",537.5,547,711,769.3,613,"1,127",543.9,0,0,.,613,"1,127",543.9,388,847,458.1,367,847,433.3,56,107,523.4,332,740,448.6,0,0,.,332,740,448.6,"5,745","305,023",18.8,"1,384","33,647",41.1,"4,361","271,376",16.1,583,203,55.2,153,39,75.4,430,164,50.4,"1,661",183,174.5,"1,654",176,180.7,7,7,19.2,23,2,221.2,22,1,423.1,1,1,19.2,274,33,159.7,274,33,159.7,0,0,.,20,147,2.60,0,0,.,20,147,2.60
112-Middlesbrough UA,"39,104","65,390",598.0,"17,381","35,149",494.5,"17,010","35,149",483.9,"3,004","6,243",481.2,"14,377","28,906",497.4,891,723,"1,232.4","13,486","28,183",478.5,"6,535","5,995","1,090.1","4,329","5,995",722.1,730,836,873.2,"5,805","5,159","1,125.2",986,481,"2,049.9","4,819","4,678","1,030.1","2,174","3,024",718.9,"1,834","3,024",606.5,339,719,471.5,"1,835","2,305",796.1,764,477,"1,601.7","1,071","1,828",585.9,"1,622","2,450",662.0,"1,540","2,450",628.6,315,507,621.3,"1,307","1,943",672.7,91,108,842.6,"1,216","1,835",662.7,"11,392","928,249",12.3,"2,359","54,710",43.1,"9,033","873,539",10.3,"1,452",284,98.3,"1,391",278,96.2,61,6,195.5,"3,066",229,257.5,"2,361",154,294.8,705,75,180.8,634,72,169.3,634,72,169.3,0,0,.,"1,262",69,351.7,"1,055",46,441.1,207,23,173.1,0,0,.,0,0,.,0,0,.
113-Redcar and Cleveland UA,"47,251","72,354",653.0,"24,101","35,742",674.3,"23,476","35,742",656.8,"5,158","9,756",528.7,"18,943","25,986",729.0,"7,658","2,754","2,780.7","11,285","23,232",485.7,"6,806","5,163","1,318.2","5,235","5,163","1,013.9",487,313,"1,556.6","6,319","4,850","1,302.8","1,829",771,"2,372.8","4,489","4,079","1,100.6","2,197","3,447",637.5,"2,186","3,447",634.2,983,"1,402",700.8,"1,215","2,045",594.0,0,0,.,"1,215","2,045",594.0,"1,906","2,002",952.2,"1,806","2,002",901.9,424,348,"1,217.6","1,483","1,654",896.4,0,0,.,"1,483","1,654",896.4,"12,240","701,158",17.5,"3,167","69,158",45.8,"9,073","632,000",14.4,"1,030",341,58.1,735,213,66.4,295,128,44.3,"3,360",299,216.1,"2,856",237,231.7,504,62,156.4,186,97,36.9,0,0,.,186,97,36.9,152,2,"1,457.5",0,0,.,152,2,"1,457.5",19,83,4.30,0,0,.,19,83,4.30
114-Stockton-on-Tees UA,"38,523","79,613",483.9,"21,150","48,685",434.4,"20,770","48,580",427.5,"4,709","11,306",416.5,"16,441","37,378",439.9,"1,624",920,"1,765.0","14,817","36,458",406.4,"7,489","7,120","1,051.9","7,188","6,702","1,072.4",184,278,662.8,"7,305","6,842","1,067.7","1,034",579,"1,784.8","6,271","6,263","1,001.3","1,558","2,261",689.0,"1,516","2,261",670.4,38,82,463.0,"1,520","2,179",697.5,658,427,"1,540.6",862,"1,752",492.0,"1,108","1,268",874.0,"1,060","1,164",911.0,153,256,597.3,955,"1,012",944.0,638,366,"1,745.4",317,646,490.6,"7,218",..,..,"1,869",..,..,"5,349",..,..,"1,330",280,91.3,"1,330",280,91.3,0,0,.,"3,651",240,292.5,"2,741",164,321.4,910,76,230.3,394,60,126.3,390,59,127.1,4,1,76.9,526,36,281.0,469,32,281.9,57,4,274.0,0,0,.,0,0,.,0,0,.
116-Durham UA,"137,134","290,240",472.5,"77,009","141,579",543.9,"76,993","141,579",543.8,"14,866","30,025",495.1,"62,143","111,554",557.1,"12,172","12,819",949.5,"49,971","98,735",506.1,"15,178","16,834",901.7,"14,570","16,834",865.5,400,599,667.8,"14,778","16,235",910.3,"1,558",676,"2,304.4","13,221","15,559",849.7,"2,854","5,621",507.7,"2,660","5,621",473.2,731,"1,416",516.4,"2,122","4,205",504.7,0,0,.,"2,122","4,205",504.7,"4,096","5,306",771.9,"4,096","5,306",771.9,"1,509","1,660",909.0,"2,587","3,646",709.5,0,0,.,"2,587","3,646",709.5,"37,997","2,931,041",13.0,"10,964","326,597",33.6,"27,033","2,604,444",10.4,"4,721","1,242",73.1,"1,190",247,92.7,"3,530",995,68.2,"12,176","1,106",211.7,"6,456",570,217.8,"5,720",536,205.2,"1,426",362,75.7,692,132,100.8,734,230,61.4,"1,447",497,56.0,"1,042",430,46.6,405,67,116.2,0,0,.,0,0,.,0,0,.
