"Personal Social Services Expenditure and Unit Cost - England and Councils with Adult Social Services Responsibilites tables, 2010-11: Activity Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ASSESSMENTS, REVIEWS AND SERVICES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORTED RESIDENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEOPLE IN SUPPORTED AND OTHER ACCOMMODATION,,,,,,,,,,,,HOME CARE,,,,,DAY CARE / DAY SERVICES,,,,,,,,,,,,"DIRECT PAYMENTS - Carers, caring for adults",,,,,,EQUIPMENT AND ADAPTATIONS,,,OTHER,
,"Overall total of existing clients with completed reviews (RAP A1 Page 1, Box 1)",Reviews completed between 1 April 2010 and 31 March 2011,,,,People with completed assessments in 2010-11,,,,,,People receiving services at 31 March 2011,,,,,,,,,,,,,,,,,,Numbers of people resident in residential or nursing care (both permanent and temporary) at 31st March excluding full cost paying residents and residents wholly funded under Section 256 [formerly Section 28a],,,,Number of weeks spent in residential and nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 [formerly Section 28a] during the year,,,,,,,,,,,,,,,,,,Full cost paying residents: Number of weeks spent in LA residential homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Full cost paying residents: Number of weeks spent in residential homes provided by others (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Full cost paying residents: Number of weeks spent in nursing homes (both permanent and temporary placements) by residents whose full costs are included under expenditure (and income),,,,Residents wholly funded under Section 256 [formerly Section 28a] : Number of weeks spent in LA residential homes (both permanent and temporary placements),,,,Residents wholly funded under Section 256 : Number of weeks spent in residential homes provided by others (both permanent and temporary placements),,,,Residents wholly funded under Section 256 : Number of weeks spent in nursing homes (both permanent and temporary placements),,,,Number of weeks supported residents spent in residential and nursing care (both permanent and temporary):,,,,,,,,,,,,Number of supported weeks over year:,Supported living / group homes,,,Adult Placement settings (including for respite care),,,,Number of people supported during year through Community Support Services:,,,,Number of clients receiving homecare of more than 10 hours AND 6 or more visits per week,Actual hours of home care provided during the year:,,Number of people supported during the year with:,,Number of day care or day services clients per week on average during the year,,,,,,,,Numbers of clients supported during the year in day care or day services with a view to employment,,,,Carers receiving direct payments during year,,,,,,Numbers of clients who have received one or more prescriptions in the year  ,Telecare,,"Total number of meals per week, on average during the year:",
,,Number of completed reviews of clients aged 65 and over,Number of completed reviews of clients aged 18-64 with a Physical disability,Number of completed reviews of clients aged 18-64 with Mental health needs,Number of completed reviews of clients aged 18-64 with a Learning disability,"Physical disability, 18-64, completed assessments (RAP A7 Page 2, column 1, sum of rows 1-5)","Mental health, 18-64, completed assessments (RAP A7 Page 2, column 2, sum of rows 1-5)","Learning disability, 18-64, completed assessments (RAP A7 Page 2, column 3, sum of rows 1-5)","Substance misuse, 18-64, completed assessments (RAP A7 Page 2, column 4, sum of rows 1-5)","Other vulnerable people, 18-64, completed assessments (RAP A7 Page 2, column 5, sum of rows 1-5)","All clients aged 65 and over, completed assessments (RAP A7 Page 1, column 1, sum of rows 6-10)","Physical disability, 18-64, Home care (RAP P2s Page 1, column 2, row 1)","Physical disability, 18-64, Day care (RAP P2s Page 1, column 3, row 1)","Physical disability, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 1)","Mental health, 18-64, Home care (RAP P2s Page 1, column 2, row 6)","Mental health, 18-64, Day care (RAP P2s Page 1, column 3, row 6)","Mental health, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 6)","Learning disability, 18-64, Home care (RAP P2s Page 1, column 2, row 8)","Learning disability, 18-64, Day care (RAP P2s Page 1, column 3, row 8)","Learning disability, 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 8)","Total 18-64, Existing / new Direct payments and Personal Budgets (RAP P2s Page 2, column 1, row 11)","Total 65 and over, Home care (sum of RAP P2s Pages 3 and 5, column 2, row 11)","Total 65 and over, Day care (sum of RAP P2s Pages 3 and 5, column 3, row 11)","Total 65 and over, Meals (sum of RAP P2s Pages 3 and 5, column 4, row 11)","Total 65 and over, Direct payments (RAP P2s Page 4, column 1, row 11)","Total all ages, Home care (sum of RAP P2s Pages 1, 3 and 5, column 2, row 11)","Total all ages, Day care (sum of RAP P2s Pages 1, 3 and 5, column 3, row 11)","Total all ages, Meals (sum of RAP P2s Pages 1, 3 and 5, column 4, row 11)","Total all ages, Existing / new Direct payments and Personal Budgets (sum of RAP P2s Pages 2, 4 and 6, column 1, row 11)",Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,of which:  Rehabilitation / Intermediate care,Respite Care,Short term care,Older People aged 65 or over with Mental health needs,,Older People Aged 65 or over with a Learning disability,,Residents aged 18-64 with a Physical disability,,,,Residents aged 18-64 with Mental health needs,,,Residents aged 18-64 with a Learning disability,,,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over,Residents aged 18-64 with a Physical disability,Residents aged 18-64 with Mental Health needs,Residents aged 18-64 with a Learning disability,Residents aged 65 and over in nursing placements,Residents aged 65 and over in own provision residential placements,Residents aged 65 and over in residential placements provided by others,Residents aged 18-64 with a Physical disability in nursing placements,Residents aged 18-64 with a Physical disability in own provision residential placements,Residents aged 18-64 with a Physical disability in residential placements provided by others,Residents aged 18-64 with Mental health needs in nursing placements,Residents aged 18-64 with Mental health needs in own provision residential placements,Residents aged 18-64 with Mental health needs in residential placements provided by others,Residents aged 18-64 with a Learning disability in nursing placements,Residents aged 18-64 with a Learning disability in own provision residential placements,Residents aged 18-64 with a Learning disability in residential placements provided by others,Older People in Extra Care Housing,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,People aged 65 and over,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,People aged 65 and over,People aged 18-64 with a Physical disability,People aged 18-64 with Mental health needs,People aged 18-64 with a Learning disability,,Provided by the council,Provided by the independent sector,Rehabilitation / re-enablement / intermediate care home care ,Live in Home Care,"Clients aged 65 and over, own provision","Clients aged 65 and over, provision by others","Clients aged 18-64 with a Physical disability, own provision","Clients aged 18-64 with a Physical disability, provision by others","Clients aged 18-64 with Mental health needs, own provision","Clients aged 18-64 with Mental health needs, provision by others","Clients aged 18-64 with a Learning disability, own provision","Clients aged 18-64 with a Learning disability, provision by others",People aged 18-64 with a Physical disability,People aged 18-64 with Mental Health needs,People aged 18-64 with a Learning disability,People aged 18-64 receiving other adult services,Young carers (aged 16-17),Carers aged 18-64,Carers aged 65-74,Carers aged 75-84,Carers aged 85 and over,Carers receiving direct payments at 31 March 2010,,"Numbers of clients newly provided in year with one or more telecare services (incl telecare maintenance) funded, at least in part, by the CASSR ","Numbers of clients at year end with one or more telecare services (incl telecare maintenance) funded, at least in part, by the CASSR ",provided by the independent sector,provided by LA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of weeks spent in residential care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in residential care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,Number of weeks spent in nursing care (both permanent and temporary) excluding full cost paying residents and residents wholly funded under Section 256 ,,of which:  Rehabilitation / Intermediate care,Respite Care,Short term care,,of which:  Respite Care,Short term care,,of which:  Respite Care,Short term care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1.1,A2.1,A2.2,A2.3,A2.4,A3.1,A3.2,A3.3,A3.4,A3.5,A3.6,A4.1,A4.2,A4.3,A4.4,A4.5,A4.6,A4.7,A4.8,A4.9,A4.10,A4.11,A4.12,A4.13,A4.14,A4.17,A4.18,A4.19,A4.20,B1,B2,B3,B4,C1,C1.1,C1.2,C1.3,C2.1,C2.2,C3.1,C3.2,C4,C4.1,C4.2,C4.3,C5,C5.2,C5.3,C6,C6.2,C6.3,C7.1,C7.2,C7.3,C7.4,C8.1,C8.2,C8.3,C8.4,C9.1,C9.2,C9.3,C9.4,C10.1,C10.2,C10.3,C10.4,C11.1,C11.2,C11.3,C11.4,C12.1,C12.2,C12.3,C12.4,D1.1,D1.2,D1.3,D1.4,D1.5,D1.6,D1.7,D1.8,D1.9,D1.10,D1.11,D1.12,E1,E2.1,E2.2,E2.3,E3.1,E3.2,E3.3,E3.4,E4.1,E4.2,E4.3,E4.4,F1.1,F2.1,F2.2,F3.1,F3.2,G1.1,G1.2,G1.3,G1.4,G1.5,G1.6,G1.7,G1.8,G2.1,G2.2,G2.3,G2.4,H3.1,H3.2,H3.3,H3.4,H3.5,H4,I1,I2.1,I2.2,J1.1,J1.2
102-Cumbria,"15,005","31,465","4,515","1,695","2,155","1,030","1,625",90,0,35,"4,450",395,200,670,115,340,55,465,750,710,"1,455","2,855","1,070",680,"4,130","3,845","2,365",725,"5,585","1,885",50,40,190,"101,400",..,..,..,"1,560",180,"2,000",260,"3,070",..,..,..,"2,030",..,..,"10,060",..,..,"14,120",25,0,0,"14,120",80,25,105,"7,360",155,50,0,0,0,0,0,235,0,"1,455",0,0,0,0,0,"25,400","31,330","44,670","1,625",155,"1,290",300,110,"1,620","1,435","1,575","7,050","11,040",890,70,155,0,0,0,105,..,..,..,..,"1,770","629,180","2,480,310",..,..,615,605,285,330,200,230,200,230,..,..,..,..,0,0,0,0,0,0,..,505,360,"2,455",0
104-Northumberland UA,"9,735","19,625","2,460",790,"2,335",780,170,60,0,0,"4,130",265,45,130,80,300,10,210,370,75,215,"1,930",545,150,245,"2,490","1,265",155,455,"1,350",50,60,245,"69,185",0,0,"1,890","27,765","5,155","4,570",195,"2,170",0,0,130,"3,010",0,40,"13,315",0,235,95,0,0,0,"16,890",330,385,430,"4,715",50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,810","1,015","52,360",455,0,"1,715",330,0,"2,685",105,"1,025","12,190",..,..,..,..,275,0,50,"1,940",..,..,..,..,975,"157,200","1,297,895",..,..,80,545,0,45,5,315,290,220,..,..,..,..,0,10,5,0,0,10,..,..,..,555,0
106-Gateshead,"4,715","6,345","1,135",355,585,465,175,45,35,65,"1,770",175,30,215,75,55,65,150,140,160,460,"1,125",160,295,640,"1,540",390,305,"1,100",910,55,40,115,"50,045","3,745","1,270","1,835","10,990","2,580",515,60,"2,740",100,205,510,"1,970",65,130,"6,095",370,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,0,0,"2,805",0,0,0,0,"11,265","3,845","34,935",755,100,"1,885",160,55,"1,750",245,35,"5,815",..,..,..,..,..,..,..,..,..,..,..,..,575,"310,140","623,820",..,..,240,120,45,10,80,0,230,25,..,..,..,..,0,15,5,10,15,..,..,..,..,0,"1,365"
107-Newcastle upon Tyne,"7,755","5,455","1,075",485,615,580,105,10,45,10,"2,165",330,55,215,120,45,30,520,185,135,380,"1,955",520,220,170,"2,945",800,240,555,"1,220",60,80,55,"64,450",0,"1,600","1,225","9,820","5,490",850,255,"2,870",0,65,45,"4,380",110,615,"3,265",360,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,455,555,50,0,730,0,"21,395","2,820","40,235","1,415",45,"1,410","2,075",665,"1,640",230,380,"2,650","3,015",0,0,0,0,0,0,625,"5,635","1,335",580,780,"1,155","230,365","2,228,895","1,250",0,125,415,5,50,5,35,170,25,..,..,..,..,0,180,40,30,15,320,..,600,"2,645",0,"1,085"
108-North Tyneside,"4,230","6,440",770,760,530,390,180,35,30,30,"1,910",125,25,95,15,110,20,15,200,90,210,"1,115",255,305,110,"1,270",590,325,320,"1,375",50,60,325,"49,845","1,490","1,705","1,590","12,340","5,150","1,180",75,"2,170",50,130,15,990,..,..,"5,235","1,095",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,080","2,320",0,0,0,0,"14,855","3,235","31,760",505,50,"1,620",260,0,730,60,"1,065","4,110",..,..,..,..,130,0,0,"1,040","4,305",740,465,405,175,"142,895","539,290",800,0,60,295,0,30,25,90,115,125,5,60,45,0,0,10,5,0,0,15,0,610,"1,430",0,"4,150"
109-South Tyneside,"5,550","7,135",750,240,420,450,260,35,5,5,"1,960",120,45,120,15,0,25,165,250,40,185,"1,290",315,30,100,"1,590",610,35,285,..,..,..,..,"42,380",..,..,..,..,..,..,..,"2,165",..,..,..,"4,015",..,..,"4,715",..,..,645,0,0,0,15,0,15,0,20,0,0,0,0,0,0,0,790,0,0,"1,845",0,0,0,0,"13,325","3,120","25,935","1,395",0,770,"1,240",0,"2,775","1,705",0,"3,010",..,..,..,..,..,..,..,..,..,..,..,..,665,"70,090","1,075,180",..,..,365,..,65,0,0,145,140,60,..,..,..,..,0,315,90,45,5,..,..,..,..,95,265
