,,,,,NW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,YH,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,WM,EM,EM,EM,EM,EM,EM,EM,EM,EM,E,E,SE,E,E,SE,SE,SE,SE,SE,SE,SE,SE,E,E,E,E,E,E,E,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,SE,SE,SE,SW,SW,SW,SE,SE,SE,SE,SE,SW,SW,SE,SE,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
Support type,Age category,Primary support reason,Service delivery mechanism,Accounting category,102 - Cumbria,104 - Northumberland,106 - Gateshead,107 - Newcastle upon Tyne,108 - North Tyneside,109 - South Tyneside,110 - Sunderland,111 - Hartlepool,112 - Middlesbrough,113 - Redcar and Cleveland,114 - Stockton on Tees,116 - Durham,117 - Darlington,204 - Barnsley,205 - Doncaster,206 - Rotherham,207 - Sheffield,209 - Bradford,210 - Calderdale,211 - Kirklees,212 - Leeds,213 - Wakefield,214 - East Riding of Yorkshire,215 - Kingston upon Hull,216 - North East Lincolnshire,217 - North Lincolnshire,218 - North Yorkshire,219 - York,304 - Bolton,305 - Bury,306 - Manchester,307 - Oldham,308 - Rochdale,309 - Salford,310 - Stockport,311 - Tameside,312 - Trafford,313 - Wigan,315 - Knowsley,316 - Liverpool,317 - Sefton,318 - St Helens,319 - Wirral,321 - Halton,322 - Warrington,323 - Lancashire,324 - Blackburn with Darwen,325 - Blackpool,326 - Cheshire East,327 - Cheshire West and Chester,404 - Warwickshire,406 - Birmingham,407 - Coventry,408 - Dudley,409 - Sandwell,410 - Solihull,411 - Walsall,412 - Wolverhampton,413 - Staffordshire,414 - Stoke on Trent,415 - Herefordshire,416 - Worcestershire,417 - Shropshire,418 - Telford and the Wrekin,503 - Lincolnshire,504 - Northamptonshire,506 - Derbyshire,507 - Derby,508 - Leicestershire,509 - Leicester,510 - Rutland,511 - Nottinghamshire,512 - Nottingham,606 - Hertfordshire,607 - Norfolk,608 - Oxfordshire,609 - Suffolk,611 - Luton,612 - Buckinghamshire,613 - Milton Keynes,614 - Bracknell Forest,615 - West Berkshire,616 - Reading,617 - Slough,618 - Windsor and Maidenhead,619 - Wokingham,620 - Essex,621 - Southend on Sea,622 - Thurrock,623 - Cambridgeshire,624 - Peterborough,625 - Bedford Borough,626 - Central Bedfordshire,702 - Camden,703 - Greenwich,704 - Hackney,705 - Hammersmith and Fulham,706 - Islington,707 - Kensington and Chelsea,708 - Lambeth,709 - Lewisham,710 - Southwark,711 - Tower Hamlets,712 - Wandsworth,713 - Westminster,714 - City of London,716 - Barking and Dagenham,717 - Barnet,718 - Bexley,719 - Brent,720 - Bromley,721 - Croydon,722 - Ealing,723 - Enfield,724 - Haringey,725 - Harrow,726 - Havering,727 - Hillingdon,728 - Hounslow,729 - Kingston upon Thames,730 - Merton,731 - Newham,732 - Redbridge,733 - Richmond upon Thames,734 - Sutton,735 - Waltham Forest,803 - Isle of Wight Council,805 - Surrey,807 - West Sussex,809 - Dorset,810 - Bournemouth,811 - Poole,812 - Hampshire,813 - Portsmouth,814 - Southampton,815 - East Sussex,816 - Brighton and Hove,817 - Wiltshire,819 - Swindon,820 - Kent,821 - Medway,902 - Cornwall,904 - Gloucestershire,905 - Somerset,906 - Isles of Scilly,908 - Bath and North East Somerset,909 - Bristol,910 - North Somerset,911 - South Gloucestershire,912 - Devon,913 - Plymouth,914 - Torbay
Long term,Age 65 to 74,Physical support,Nursing,Gross total cost: provision by others,:,507,:,629.5,:,:,:,:,:,:,:,:,206,:,:,:,:,:,:,:,1803,0,:,259.86,:,:,:,:,:,:,:,:,:,:,663,:,:,:,:,:,:,:,:,:,:,:,191,:,:,873.82,:,:,:,1124.8,:,:,:,:,0,:,1484,:,:,:,659,:,1975,:,517,:,:,1763.71,:,:,:,:,:,:,1786,:,:,:,:,:,:,:,:,:,100.88,1601,295.62,384,:,:,:,:,:,:,:,:,1413.52,769.11,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,338.73,:,:,426.93,:,:,0,:,:,3201.88,:,:,:,:,:,:,:,:,:,:,295,:,:,1599.13,:,:,:,:,:,715.85,712,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Gross total cost: grants to voluntary org,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,0,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Gross total cost: total expenditure,:,507,:,629.5,:,:,:,:,:,:,:,:,206,:,:,:,:,:,:,:,1803,0,:,259.86,:,:,:,:,:,:,:,:,:,:,663,:,:,:,:,:,:,:,:,:,:,:,191,:,:,873.82,:,:,:,1124.8,:,:,:,:,0,:,1484,:,:,:,:,:,1975,:,517,:,:,1763.71,:,:,:,:,:,:,1786,:,:,:,:,:,:,:,:,:,100.88,1601,295.62,384,:,:,:,:,:,:,:,:,1413.52,769.11,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,338.73,:,:,426.93,:,:,0,:,:,3201.88,:,:,:,:,:,:,:,:,:,:,295,:,:,1599.13,:,:,:,:,:,715.85,712,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Income: client contributions,:,210,:,80.2,:,:,:,:,:,:,:,:,61,:,:,:,:,:,:,:,504,0,:,47.02,:,:,:,:,:,:,:,:,:,:,190,:,:,:,:,:,:,:,:,:,:,:,38,:,:,323.7,:,:,:,325.41,:,:,:,:,0,:,190,:,:,:,128,:,658,:,185,:,:,411.17,:,:,:,:,:,:,405,:,:,:,:,:,:,:,:,:,38.48,449,80.63,89,:,:,:,:,:,:,:,:,346.06,222.28,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,11.97,:,:,136.33,:,:,0,:,:,1002.99,:,:,:,:,:,:,:,:,:,:,144,:,:,398.11,:,:,:,:,:,93.64,138,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Income: joint arrangements,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,0,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0.54,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Income: Income from NHS,:,0,:,63.9,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,92.74,:,:,:,:,:,:,:,:,:,:,36,:,:,:,:,:,:,:,:,:,:,:,0,:,:,21.1,:,:,:,22.93,:,:,:,:,0,:,0,:,:,:,18,:,144,:,187,:,:,122.24,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,48.84,0,:,:,:,:,:,:,:,:,77.21,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,6.01,:,:,:,:,:,:,:,:,:,:,13,:,:,49.31,:,:,:,:,:,3.19,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Income: other income,:,0,:,0,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,0,0,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,0,:,:,6.75,:,:,:,0,:,:,:,:,0,:,0,:,:,:,:,:,0,:,0,:,:,0,:,:,:,:,:,:,0,:,:,:,:,:,:,:,:,:,0,0,0,0,:,:,:,:,:,:,:,:,0,0,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,0,:,:,0,:,:,0,:,:,0,:,:,:,:,:,:,:,:,:,:,0,:,:,68.8,:,:,:,:,:,0,0,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Income: total,:,210,:,144.1,:,:,:,:,:,:,:,:,61,:,:,:,:,:,:,:,504,0,:,139.76,:,:,:,:,:,:,:,:,:,:,226,:,:,:,:,:,:,:,:,:,:,:,38,:,:,351.55,:,:,:,348.34,:,:,:,:,0,:,190,:,:,:,:,:,802,:,372,:,:,533.4,:,:,:,:,:,:,405,:,:,:,:,:,:,:,:,:,38.48,449,129.47,89,:,:,:,:,:,:,:,:,423.27,222.28,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,11.97,:,:,136.33,:,:,0,:,:,1009.54,:,:,:,:,:,:,:,:,:,:,157,:,:,516.22,:,:,:,:,:,96.82,138,:,:,:
Long term,Age 65 to 74,Physical support,Nursing,Net total expenditure,:,297,:,485.4,:,:,:,:,:,:,:,:,145,:,:,:,:,:,:,:,1299,0,:,120.1,:,:,:,:,:,:,:,:,:,:,437,:,:,:,:,:,:,:,:,:,:,:,153,:,:,522.26,:,:,:,776.46,:,:,:,:,0,:,1294,:,:,:,:,:,1173,:,145,:,:,1230.3,:,:,:,:,:,:,1381,:,:,:,:,:,:,:,:,:,62.4,1152,166.15,295,:,:,:,:,:,:,:,:,990.25,546.82,:,:,:,0,:,:,:,:,:,:,:,:,:,:,:,:,326.76,:,:,290.6,:,:,0,:,:,2192.34,:,:,:,:,:,:,:,:,:,:,138,:,:,1082.91,:,:,:,:,:,619.03,574,:,:,:
