,"GDP DEFLATORS AT MARKET PRICES, AND MONEY GDP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Outturn data are as at the Quarterly National Accounts from ONS - last updated 22 December 2023.,,,,,,,,,,,,,,,,
,Forecast data are consistent with OBR Autumn Statement EFO data as at 22 November 2023.,,,,,,,,,,,,,,,,
,Financial year,,,,,,Calendar year,,,,,,,,,,
,,GDP deflator at market prices ,,"Money GDP (3), (4)",,,,GDP deflator at market prices ,,Money GDP (3),,,,,,,
,Financial year,2022-23 = 100,per cent change on previous year,"Cash £ million
Non-Season-ally Adjusted","Cash £ million
Seasonally Adjusted",,Calendar year,2022 = 100,per cent change on previous year,"Cash £ million
Non-Seasonally Adjusted",,,,,,,
,1955-56,3.521,,"19,574","19,589",,1955,3.536,,"19,169",,,,,,,
,1956-57,3.739,6.21,"21,162","21,138",,1956,3.781,6.94,"20,844",,,,,,,
,1957-58,3.912,4.61,"22,509","22,524",,1957,3.932,4.01,"22,104",,,,,,,
,1958-59,4.007,2.43,"23,335","23,305",,1958,4.076,3.65,"23,220",,,,,,,
,1959-60,4.027,0.52,"24,873","24,928",,1959,4.105,0.72,"24,388",,,,,,,
,1960-61,4.108,2.00,"26,639","26,657",,1960,4.148,1.04,"26,201",,,,,,,
,1961-62,4.259,3.67,"28,141","28,169",,1961,4.306,3.79,"27,918",,,,,,,
,1962-63,4.392,3.12,"29,450","29,468",,1962,4.460,3.60,"29,235",,,,,,,
,1963-64,4.465,1.68,"31,921","31,876",,1963,4.525,1.46,"31,099",,,,,,,
,1964-65,4.676,4.71,"34,855","34,924",,1964,4.687,3.58,"34,047",,,,,,,
,1965-66,4.927,5.38,"37,461","37,415",,1965,4.966,5.94,"36,828",,,,,,,
,1966-67,5.178,5.09,"39,949","39,946",,1966,5.231,5.33,"39,394",,,,,,,
,1967-68,5.320,2.73,"42,504","42,612",,1967,5.385,2.95,"41,673",,,,,,,
,1968-69,5.598,5.23,"46,763","46,784",,1968,5.611,4.20,"45,795",,,,,,,
,1969-70,5.985,6.91,"50,843","50,895",,1969,5.983,6.63,"49,761",,,,,,,
,1970-71,6.575,9.87,"57,723","57,807",,1970,6.559,9.63,"56,041",,,,,,,
,1971-72,7.073,7.56,"64,575","64,483",,1971,7.102,8.28,"62,870",,,,,,,
,1972-73,7.674,8.51,"73,925","74,025",,1972,7.638,7.55,"70,578",,,,,,,
,1973-74,8.348,8.78,"82,855","82,879",,1973,8.316,8.88,"81,793",,,,,,,
