"Table 46: Gross current expenditure on other (not long or short term) social care, by primary support reason, 2024 to 2025",,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,
Blank cells indicate where geography information is not applicable (e.g. CASSR codes for regions).,,,,,,,,,,,,,
Values in £thousands.,,,,,,,,,,,,,
Source: Adult social care finance return (ASC-FR),,,,,,,,,,,,,
Geography code,LA code,LA name,Region code,Region name,Social support: Substance misuse support,Social support: Asylum seeker support,Social support: Support to carer,Social support: Support for social isolation/other,Assistive equipment and technology,Social care activities,Information and early intervention,Commissioning and service delivery,Total
,,,E92000001,England,"£48,531","£83,356","£202,954","£152,798","£266,466","£2,355,617","£232,165","£1,441,800","£4,783,687"
,,,E12000001,North East,"£1,988","£2,938","£8,006","£2,620","£23,362","£113,892","£13,489","£70,980","£237,275"
,,,E12000002,North West,"£6,531","£5,156","£23,110","£27,706","£34,675","£325,528","£24,916","£207,027","£654,649"
,,,E12000003,Yorkshire and The Humber,"£5,368","£9,829","£30,186","£9,674","£31,664","£252,835","£41,305","£132,441","£513,301"
,,,E12000004,East Midlands,"£2,903",£188,"£25,654","£13,656","£14,604","£153,039","£13,330","£121,335","£344,710"
,,,E12000005,West Midlands,£591,£931,"£8,946","£19,797","£26,332","£278,057","£21,113","£146,747","£502,514"
,,,E12000006,East of England,"£2,691","£18,097","£32,155","£21,501","£30,929","£273,067","£38,875","£199,445","£616,761"
,,,E12000007,London,"£9,946","£24,378","£19,526","£11,235","£32,075","£367,716","£31,451","£192,100","£688,427"
,,,E12000008,South East,"£8,585","£14,857","£39,660","£25,910","£48,559","£347,691","£25,101","£257,765","£768,127"
,,,E12000009,South West,"£9,929","£6,981","£15,711","£20,699","£24,265","£243,792","£22,585","£113,961","£457,923"
E06000057,104,Northumberland,E12000001,North East,£0,£0,£230,£0,"£2,484",£891,£978,"£6,108","£10,691"
E08000037,106,Gateshead,E12000001,North East,£0,"£1,492",£0,£0,"£1,728","£8,549","£2,018","£11,323","£25,110"
