"","percent_sector","SupportSetting","DH_GEOGRAPHY_NAME","ActivityProvision","ITEMVALUE","year"
"1",28.2172373081464,"Residential","BARNSLEY","In House",12428,2001
"2",31.485801936041,"Residential","BIRMINGHAM","In House",48854,2001
"3",32.1626617375231,"Residential","BOLTON","In House",14268,2001
"4",NA,"Residential","BRADFORD","In House",NA,2001
"5",39.1935483870968,"Residential","BURY","In House",12636,2001
"6",33.8983559342374,"Residential","CALDERDALE","In House",11299,2001
"7",NA,"Residential","COVENTRY","In House",NA,2001
"8",24.3125599232982,"Residential","DONCASTER","In House",12679,2001
"9",28.3068783068783,"Residential","DUDLEY","In House",11128,2001
"10",32.0512935138784,"Residential","GATESHEAD","In House",14339.3,2001
"11",38.0001262148176,"Residential","KIRKLEES","In House",24086,2001
"12",NA,"Residential","KNOWSLEY","In House",NA,2001
"13",39.3882012861677,"Residential","LEEDS","In House",43058,2001
"14",16.1410329456715,"Residential","LIVERPOOL","In House",14448,2001
"15",2.2834116856951,"Residential","MANCHESTER","In House",1768,2001
"16",9.77255204317656,"Residential","NEWCASTLE UPON TYNE","In House",5070,2001
"17",NA,"Residential","NORTH TYNESIDE","In House",NA,2001
"18",21.266705403835,"Residential","OLDHAM","In House",9516,2001
"19",24.6129180027485,"Residential","ROCHDALE","In House",10746,2001
"20",30.2762430939227,"Residential","ROTHERHAM","In House",14248,2001
"21",28.8820395192698,"Residential","SALFORD","In House",12088,2001
"22",35.7509994288978,"Residential","SANDWELL","In House",16276,2001
"23",18.1362429961663,"Residential","SEFTON","In House",8610,2001
"24",27.0214414879876,"Residential","SHEFFIELD","In House",27196,2001
"25",35.265069814962,"Residential","SOLIHULL","In House",6213,2001
"26",31.0463898559339,"Residential","SOUTH TYNESIDE","In House",10969,2001
"27",41.6257769054629,"Residential","ST HELENS","In House",10180,2001
"28",0,"Residential","STOCKPORT","In House",0,2001
"29",15.6465454309492,"Residential","SUNDERLAND","In House",9645,2001
"30",NA,"Residential","TAMESIDE","In House",NA,2001
"31",50.0741839762611,"Residential","TRAFFORD","In House",17550,2001
"32",23.2430310168826,"Residential","WAKEFIELD","In House",15392,2001
"33",42.2314694408322,"Residential","WALSALL","In House",16238,2001
"34",3.39995098366865,"Residential","WIGAN","In House",1526,2001
"35",13.895999598454,"Residential","WIRRAL","In House",5537,2001
"36",26.1649830723074,"Residential","WOLVERHAMPTON","In House",9506,2001
"37",0,"Residential","BEDFORDSHIRE","In House",0,2001
"38",22.0140829328266,"Residential","BUCKINGHAMSHIRE","In House",9848,2001
"39",41.9858156028369,"Residential","CAMBRIDGESHIRE","In House",30784,2001
"40",16.3895630335301,"Residential","CHESHIRE","In House",13574,2001
"41",0,"Residential","CORNWALL","In House",0,2001
"42",40.5409740988907,"Residential","CUMBRIA","In House",32854,2001
"43",40.4487800115531,"Residential","DERBYSHIRE","In House",49716,2001
"44",20.63298348385,"Residential","DEVON","In House",32968,2001
"45",28.3886630315408,"Residential","DORSET","In House",14734,2001
"46",38.2608851492424,"Residential","DURHAM","In House",42698,2001
"47",18.9245359160613,"Residential","EAST SUSSEX","In House",9379,2001
"48",21.0770707321789,"Residential","ESSEX","In House",61051,2001
"49",2.87520672546858,"Residential","GLOUCESTERSHIRE","In House",1669,2001
"50",33.3941955148499,"Residential","HAMPSHIRE","In House",45358,2001
"51",NA,"Residential","HERTFORDSHIRE","In House",NA,2001
"52",NA,"Residential","ISLES OF SCILLY","In House",NA,2001
"53",NA,"Residential","KENT","In House",0,2001
"54",24.9048286107601,"Residential","LANCASHIRE","In House",61692,2001
"55",28.9974985568597,"Residential","LEICESTERSHIRE","In House",24112,2001
"56",15.6054588655098,"Residential","LINCOLNSHIRE","In House",18193,2001
"57",29.4965084404367,"Residential","NORFOLK","In House",44225,2001
"58",45.5353354105794,"Residential","NORTH YORKSHIRE","In House",37558,2001
"59",41.9479744826261,"Residential","NORTHAMPTONSHIRE","In House",41492,2001
"60",22.5905277103113,"Residential","NORTHUMBERLAND","In House",16370,2001
"61",28.3826241910776,"Residential","NOTTINGHAMSHIRE","In House",36315,2001
"62",64.1472450359684,"Residential","OXFORDSHIRE","In House",32726,2001
"63",6.18134120347598,"Residential","SHROPSHIRE","In House",3016,2001
"64",0,"Residential","SOMERSET","In House",0,2001
"65",37.9323636029918,"Residential","STAFFORDSHIRE","In House",41333,2001
"66",38.9656654996622,"Residential","SUFFOLK","In House",38064,2001
"67",31.3116370808679,"Residential","SURREY","In House",33020,2001
"68",33.200160571942,"Residential","WARWICKSHIRE","In House",17368,2001
"69",25.3986931856231,"Residential","WEST SUSSEX","In House",26549,2001
"70",21.0666974293899,"Residential","WILTSHIRE","In House",10957,2001
"71",8.11287477954145,"Residential","WORCESTERSHIRE","In House",4784,2001
"72",46.2365591397849,"Residential","BATH AND NORTH EAST SOMERSET","In House",10062,2001
"73",28.8900643568721,"Residential","BLACKBURN WITH DARWEN","In House",9831,2001
"74",22.3643993161685,"Residential","BLACKPOOL","In House",8634,2001
"75",4.23452768729642,"Residential","BOURNEMOUTH","In House",1352,2001
"76",47.9968883702839,"Residential","BRACKNELL FOREST","In House",3702,2001
"77",19.5530183408235,"Residential","BRIGHTON AND HOVE","In House",8049,2001
"78",51.0539119287972,"Residential","BRISTOL","In House",35048,2001
"79",29.3999329534026,"Residential","DARLINGTON","In House",5262,2001
"80",40.2330363262509,"Residential","DERBY","In House",15262,2001
"81",5.8321479374111,"Residential","EAST RIDING OF YORKSHIRE","In House",4715,2001
"82",17.4221434112823,"Residential","HALTON","In House",3144,2001
"83",3.57980987232011,"Residential","HARTLEPOOL","In House",900,2001
"84",30.8406162717362,"Residential","HEREFORDSHIRE","In House",6846,2001
"85",5.64439740152745,"Residential","ISLE OF WIGHT","In House",2049.86,2001
"86",10.5998879665937,"Residential","KINGSTON UPON HULL","In House",8326,2001
"87",30.2784810126582,"Residential","LEICESTER","In House",15548,2001
"88",59.0163934426229,"Residential","LUTON","In House",13104,2001
"89",23.6807339449541,"Residential","MEDWAY TOWNS","In House",6453,2001
"90",33.6332958380203,"Residential","MIDDLESBROUGH","In House",8372,2001
"91",8.01867549068492,"Residential","MILTON KEYNES","In House",1769,2001
"92",8.38936999081909,"Residential","NORTH EAST LINCOLNSHIRE","In House",3381,2001
"93",11.8427299703264,"Residential","NORTH LINCOLNSHIRE","In House",3991,2001
"94",21.0544939844303,"Residential","NORTH SOMERSET","In House",5355,2001
"95",29.1240551356158,"Residential","NOTTINGHAM","In House",17030,2001
"96",54.8524287763886,"Residential","PETERBOROUGH","In House",10705,2001
"97",16.2174261344894,"Residential","PLYMOUTH","In House",6883,2001
"98",14.3046776232617,"Residential","POOLE","In House",2263,2001
"99",51.0338664447937,"Residential","PORTSMOUTH","In House",16561,2001
"100",58.1859756097561,"Residential","READING","In House",7634,2001
"101",40.9527468305801,"Residential","REDCAR AND CLEVELAND","In House",8528,2001
"102",46.9700284401663,"Residential","RUTLAND","In House",2147,2001
"103",56.9333996023857,"Residential","SLOUGH","In House",4582,2001
"104",46.6865332765716,"Residential","SOUTH GLOUCESTERSHIRE","In House",9870,2001
"105",25.5725704443308,"Residential","SOUTHAMPTON","In House",9502,2001
"106",12.3502056877124,"Residential","SOUTHEND ON SEA","In House",4143,2001
"107",23.4122305855325,"Residential","STOCKTON ON TEES","In House",7745,2001
"108",54.4271901552886,"Residential","STOKE ON TRENT","In House",27864,2001
"109",52.6315789473684,"Residential","SWINDON","In House",10400,2001
"110",0,"Residential","TELFORD AND WREKIN","In House",0,2001
"111",24.7351578018098,"Residential","THURROCK","In House",4483,2001
"112",17.6690565228783,"Residential","TORBAY","In House",7418,2001
"113",20.7834913977982,"Residential","WARRINGTON","In House",4361,2001
"114",40.8163265306122,"Residential","WEST BERKSHIRE","In House",4160,2001
"115",39.9846212995002,"Residential","WINDSOR AND MAIDENHEAD","In House",4160,2001
"116",36.8866151597411,"Residential","WOKINGHAM","In House",3533,2001
"117",57.843137254902,"Residential","YORK","In House",12272,2001
"118",28.495617639003,"Residential","CAMDEN","In House",8323,2001
"119",0,"Residential","LONDON","In House",0,2001
"120",30.4516085610446,"Residential","GREENWICH","In House",9049,2001
"121",4.39024390243902,"Residential","HACKNEY","In House",936,2001
"122",28.4938212644021,"Residential","HAMMERSMITH AND FULHAM","In House",4773,2001
"123",14.7869115549215,"Residential","ISLINGTON","In House",3317,2001
"124",32.5286445197089,"Residential","KENSINGTON AND CHELSEA","In House",4514,2001
"125",23.1578947368421,"Residential","LAMBETH","In House",5720,2001
"126",23.1157591056617,"Residential","LEWISHAM","In House",6410,2001
"127",32.5320189083269,"Residential","SOUTHWARK","In House",8052,2001
"128",19.8181818181818,"Residential","TOWER HAMLETS","In House",5668,2001
"129",0,"Residential","WANDSWORTH","In House",0,2001
"130",32.5773732119636,"Residential","WESTMINSTER","In House",6263,2001
"131",83.2459148678636,"Residential","BARKING AND DAGENHAM","In House",24759,2001
"132",44.5508982035928,"Residential","BARNET","In House",19344,2001
"133",0,"Residential","BEXLEY","In House",0,2001
"134",6.54205607476635,"Residential","BRENT","In House",1456,2001
"135",NA,"Residential","BROMLEY","In House",NA,2001
"136",46.9891295847345,"Residential","CROYDON","In House",12017,2001
"137",31.6313626304142,"Residential","EALING","In House",8004,2001
"138",20.1886334687936,"Residential","ENFIELD","In House",6657,2001
"139",NA,"Residential","HARINGEY","In House",0,2001
"140",6.60377358490566,"Residential","HARROW","In House",1274,2001
"141",40.3010199029607,"Residential","HAVERING","In House",8140,2001
"142",1.9352437662821,"Residential","HILLINGDON","In House",416,2001
"143",40.2257780539589,"Residential","HOUNSLOW","In House",7768,2001
"144",44.2445605931688,"Residential","KINGSTON UPON THAMES","In House",7280,2001
"145",8.91247994074805,"Residential","MERTON","In House",1444,2001
"146",25.7182657147832,"Residential","NEWHAM","In House",5908,2001
"147",8.3669936526255,"Residential","REDBRIDGE","In House",2030,2001
"148",49.8899610631454,"Residential","RICHMOND UPON THAMES","In House",8841,2001
