"","percent_sector","SupportSetting","DH_GEOGRAPHY_NAME","ActivityProvision","ITEMVALUE","year"
"1",28.2172373081464,"Residential","BARNSLEY","In House",12428,2001
"2",71.7827626918536,"Residential","BARNSLEY","External",31616,2001
"3",31.485801936041,"Residential","BIRMINGHAM","In House",48854,2001
"4",68.514198063959,"Residential","BIRMINGHAM","External",106308,2001
"5",32.1626617375231,"Residential","BOLTON","In House",14268,2001
"6",67.8373382624769,"Residential","BOLTON","External",30094,2001
"7",NA,"Residential","BRADFORD","In House",NA,2001
"8",NA,"Residential","BRADFORD","External",NA,2001
"9",39.1935483870968,"Residential","BURY","In House",12636,2001
"10",60.8064516129032,"Residential","BURY","External",19604,2001
"11",33.8983559342374,"Residential","CALDERDALE","In House",11299,2001
"12",66.1016440657626,"Residential","CALDERDALE","External",22033,2001
"13",NA,"Residential","COVENTRY","In House",NA,2001
"14",NA,"Residential","COVENTRY","External",NA,2001
"15",24.3125599232982,"Residential","DONCASTER","In House",12679,2001
"16",75.6874400767018,"Residential","DONCASTER","External",39471,2001
"17",28.3068783068783,"Residential","DUDLEY","In House",11128,2001
"18",71.6931216931217,"Residential","DUDLEY","External",28184,2001
"19",32.0512935138784,"Residential","GATESHEAD","In House",14339.3,2001
"20",67.9487064861216,"Residential","GATESHEAD","External",30399.3,2001
"21",38.0001262148176,"Residential","KIRKLEES","In House",24086,2001
"22",61.9998737851824,"Residential","KIRKLEES","External",39298,2001
"23",NA,"Residential","KNOWSLEY","In House",NA,2001
"24",NA,"Residential","KNOWSLEY","External",18669,2001
"25",39.3882012861677,"Residential","LEEDS","In House",43058,2001
"26",60.6117987138323,"Residential","LEEDS","External",66259,2001
"27",16.1410329456715,"Residential","LIVERPOOL","In House",14448,2001
"28",83.8589670543285,"Residential","LIVERPOOL","External",75063,2001
"29",2.2834116856951,"Residential","MANCHESTER","In House",1768,2001
"30",97.7165883143049,"Residential","MANCHESTER","External",75660,2001
"31",9.77255204317656,"Residential","NEWCASTLE UPON TYNE","In House",5070,2001
"32",90.2274479568234,"Residential","NEWCASTLE UPON TYNE","External",46810,2001
"33",NA,"Residential","NORTH TYNESIDE","In House",NA,2001
"34",NA,"Residential","NORTH TYNESIDE","External",NA,2001
"35",21.266705403835,"Residential","OLDHAM","In House",9516,2001
"36",78.733294596165,"Residential","OLDHAM","External",35230,2001
"37",24.6129180027485,"Residential","ROCHDALE","In House",10746,2001
"38",75.3870819972515,"Residential","ROCHDALE","External",32914,2001
"39",30.2762430939227,"Residential","ROTHERHAM","In House",14248,2001
"40",69.7237569060774,"Residential","ROTHERHAM","External",32812,2001
"41",28.8820395192698,"Residential","SALFORD","In House",12088,2001
"42",71.1179604807302,"Residential","SALFORD","External",29765,2001
"43",35.7509994288978,"Residential","SANDWELL","In House",16276,2001
"44",64.2490005711022,"Residential","SANDWELL","External",29250,2001
"45",18.1362429961663,"Residential","SEFTON","In House",8610,2001
"46",81.8637570038337,"Residential","SEFTON","External",38864,2001
"47",27.0214414879876,"Residential","SHEFFIELD","In House",27196,2001
"48",72.9785585120124,"Residential","SHEFFIELD","External",73450,2001
"49",35.265069814962,"Residential","SOLIHULL","In House",6213,2001
"50",64.734930185038,"Residential","SOLIHULL","External",11405,2001
"51",31.0463898559339,"Residential","SOUTH TYNESIDE","In House",10969,2001
"52",68.9536101440661,"Residential","SOUTH TYNESIDE","External",24362,2001
"53",41.6257769054629,"Residential","ST HELENS","In House",10180,2001
"54",58.3742230945371,"Residential","ST HELENS","External",14276,2001
"55",0,"Residential","STOCKPORT","In House",0,2001
"56",100,"Residential","STOCKPORT","External",50493,2001
"57",15.6465454309492,"Residential","SUNDERLAND","In House",9645,2001
"58",84.3534545690508,"Residential","SUNDERLAND","External",51998,2001
"59",NA,"Residential","TAMESIDE","In House",NA,2001
"60",NA,"Residential","TAMESIDE","External",34118,2001
"61",50.0741839762611,"Residential","TRAFFORD","In House",17550,2001
"62",49.9258160237389,"Residential","TRAFFORD","External",17498,2001
"63",23.2430310168826,"Residential","WAKEFIELD","In House",15392,2001
"64",76.7569689831174,"Residential","WAKEFIELD","External",50830,2001
"65",42.2314694408322,"Residential","WALSALL","In House",16238,2001
"66",57.7685305591678,"Residential","WALSALL","External",22212,2001
"67",3.39995098366865,"Residential","WIGAN","In House",1526,2001
"68",96.6000490163313,"Residential","WIGAN","External",43357,2001
"69",13.895999598454,"Residential","WIRRAL","In House",5537,2001
"70",86.104000401546,"Residential","WIRRAL","External",34309,2001
"71",26.1649830723074,"Residential","WOLVERHAMPTON","In House",9506,2001
"72",73.8350169276926,"Residential","WOLVERHAMPTON","External",26825,2001
"73",0,"Residential","BEDFORDSHIRE","In House",0,2001
"74",100,"Residential","BEDFORDSHIRE","External",48152,2001
"75",22.0140829328266,"Residential","BUCKINGHAMSHIRE","In House",9848,2001
"76",77.9859170671733,"Residential","BUCKINGHAMSHIRE","External",34887,2001
"77",41.9858156028369,"Residential","CAMBRIDGESHIRE","In House",30784,2001
"78",58.0141843971631,"Residential","CAMBRIDGESHIRE","External",42536,2001
"79",16.3895630335301,"Residential","CHESHIRE","In House",13574,2001
"80",83.6104369664699,"Residential","CHESHIRE","External",69247,2001
"81",0,"Residential","CORNWALL","In House",0,2001
"82",100,"Residential","CORNWALL","External",74423,2001
"83",40.5409740988907,"Residential","CUMBRIA","In House",32854,2001
"84",59.4590259011093,"Residential","CUMBRIA","External",48185,2001
"85",40.4487800115531,"Residential","DERBYSHIRE","In House",49716,2001
"86",59.5512199884469,"Residential","DERBYSHIRE","External",73195,2001
"87",20.63298348385,"Residential","DEVON","In House",32968,2001
"88",79.36701651615,"Residential","DEVON","External",126815,2001
"89",28.3886630315408,"Residential","DORSET","In House",14734,2001
"90",71.6113369684592,"Residential","DORSET","External",37167,2001
"91",38.2608851492424,"Residential","DURHAM","In House",42698,2001
"92",61.7391148507576,"Residential","DURHAM","External",68899,2001
"93",18.9245359160613,"Residential","EAST SUSSEX","In House",9379,2001
"94",81.0754640839387,"Residential","EAST SUSSEX","External",40181,2001
"95",21.0770707321789,"Residential","ESSEX","In House",61051,2001
"96",78.9229292678211,"Residential","ESSEX","External",228605,2001
"97",2.87520672546858,"Residential","GLOUCESTERSHIRE","In House",1669,2001
"98",97.1247932745314,"Residential","GLOUCESTERSHIRE","External",56379,2001
"99",33.3941955148499,"Residential","HAMPSHIRE","In House",45358,2001
"100",66.6058044851501,"Residential","HAMPSHIRE","External",90468,2001
"101",NA,"Residential","HERTFORDSHIRE","In House",NA,2001
"102",NA,"Residential","HERTFORDSHIRE","External",158308,2001
"103",NA,"Residential","ISLES OF SCILLY","In House",NA,2001
"104",NA,"Residential","ISLES OF SCILLY","External",NA,2001
"105",NA,"Residential","KENT","In House",0,2001
"106",NA,"Residential","KENT","External",0,2001
"107",24.9048286107601,"Residential","LANCASHIRE","In House",61692,2001
"108",75.0951713892399,"Residential","LANCASHIRE","External",186019,2001
"109",28.9974985568597,"Residential","LEICESTERSHIRE","In House",24112,2001
"110",71.0025014431403,"Residential","LEICESTERSHIRE","External",59040,2001
"111",15.6054588655098,"Residential","LINCOLNSHIRE","In House",18193,2001
"112",84.3945411344902,"Residential","LINCOLNSHIRE","External",98388,2001
"113",29.4965084404367,"Residential","NORFOLK","In House",44225,2001
"114",70.5034915595633,"Residential","NORFOLK","External",105708,2001
"115",45.5353354105794,"Residential","NORTH YORKSHIRE","In House",37558,2001
